policy_entropy,nupdates,fps,approxkl,clipfrac,explained_variance,value_loss,time_elapsed,eprewmean,serial_timesteps,total_timesteps,policy_loss,eplenmean
1.0133669,41,370,0.011329854,0.14472656,0.8789057731628418,0.0009880867,236.65176272392273,0.0,83968,83968,-0.006628713,1501.0
0.6975795,42,344,0.006407012,0.088085935,0.6629238724708557,0.0027646336,242.5964937210083,0.0,86016,86016,-0.00321021,1501.0
0.78334796,43,366,0.011450304,0.16972657,0.9463395439088345,0.001223748,248.1879870891571,0.0,88064,88064,-0.0059483806,1501.0
0.89867604,44,346,0.004763973,0.055517577,0.4037604331970215,0.0011762672,254.10629963874817,0.0,90112,90112,-0.0008094702,1501.0
0.5859399,45,364,0.006560579,0.08291016,0.5873390138149261,0.0029120245,259.7238676548004,0.0,92160,92160,-0.008579006,1501.0
0.8447377,46,369,0.009269098,0.13066407,0.8643174767494202,0.0010550328,265.26843881607056,0.0,94208,94208,-0.0035190836,1501.0
0.7760719,47,350,0.012563522,0.18168946,0.8915304020047188,0.0023055081,271.11001801490784,0.0,96256,96256,-0.010449223,1501.0
0.568975,48,369,0.012947043,0.093896486,0.9063319861888885,0.0007456992,276.6537868976593,0.0,98304,98304,-0.0020149108,1501.0
0.85925514,49,364,0.0059468937,0.06645508,0.7266674935817719,0.00088909717,282.270370721817,0.0,100352,100352,-0.0026272447,1501.0
0.6541551,50,350,0.0067146444,0.08554687,0.7716251462697983,0.00070808496,288.1128611564636,0.0,102400,102400,-0.0022571178,1501.0
0.53472,51,369,0.009745513,0.09506836,0.5263083577156067,0.0008434751,293.6577527523041,0.0,104448,104448,-0.010632,1501.0
0.8057133,52,362,0.005434198,0.07148437,0.8543716669082642,0.0011635812,299.3039994239807,0.0,106496,106496,-0.00483125,1501.0
0.4824229,53,345,0.0054748477,0.0796875,-0.2487725019454956,0.0013228497,305.2263777256012,0.0,108544,108544,-0.0019430785,1501.0
0.6047958,54,359,0.0051217168,0.06723633,-1.6224899291992188,0.002194515,310.91858315467834,0.0,110592,110592,-1.170029e-05,1501.0
0.76189905,55,344,0.007190431,0.09990235,0.05669534206390381,0.001350859,316.8644564151764,0.0,112640,112640,-0.0053021237,1501.0
0.44815,56,366,0.002851342,0.036474608,0.06991881132125854,0.0010108281,322.44642639160156,0.0,114688,114688,-0.0016554722,1501.0
0.6919083,57,363,0.008302351,0.09863281,-0.17047631740570068,0.0026455524,328.0879201889038,0.0,116736,116736,-0.007386827,1501.0
0.7115997,58,340,0.0085432,0.097802736,-0.16046881675720215,0.001852702,334.1025855541229,0.0,118784,118784,-0.0071081305,1501.0
0.49309182,59,365,0.003578029,0.051464844,-0.17862367630004883,0.0005975315,339.70639967918396,0.0,120832,120832,-0.002532005,1501.0
0.8003806,60,360,0.004693216,0.063085936,0.40650516748428345,0.0028886285,345.3840193748474,0.0,122880,122880,-0.0029622621,1501.0
0.6600693,61,349,0.004407224,0.045996092,0.400695264339447,0.0021548688,351.2483034133911,0.0,124928,124928,-0.0011899212,1501.0
0.5366528,62,364,0.0062339106,0.07978515,0.8065820038318634,0.00097556657,356.86186170578003,0.0,126976,126976,-0.0046408055,1501.0
0.79959774,63,366,0.008416081,0.10200195,0.6553182303905487,0.00094980036,362.4427704811096,0.0,129024,129024,-0.00046219537,1501.0
0.52936316,64,340,0.005000359,0.06484375,0.33971065282821655,0.0017064698,368.4521908760071,0.0,131072,131072,-0.0042855344,1501.0
0.7142657,65,361,0.0071180104,0.06660156,0.29865115880966187,0.00079774373,374.12395095825195,0.0,133120,133120,-0.0017157482,1501.0
0.67708915,66,347,0.011243497,0.111376956,0.07782196998596191,0.00050194503,380.0127418041229,0.0,135168,135168,-0.0040303348,1501.0
0.5614654,67,355,0.006363853,0.07011719,0.6101928353309631,0.002580376,385.77308988571167,0.0,137216,137216,-0.0031978278,1501.0
0.7290665,68,367,0.005687918,0.0680664,0.20760023593902588,0.00072338636,391.33893513679504,0.0,139264,139264,-0.0046015144,1501.0
0.7033664,69,342,0.037861515,0.07719727,0.24666988849639893,0.0032619077,397.3217785358429,0.0,141312,141312,-0.0051816995,1501.0
0.46860853,70,368,0.009360887,0.07094727,-1.8503189086914062,0.0019058274,402.88539838790894,0.0,143360,143360,-0.0028975029,1501.0
0.67552936,71,370,0.15052627,0.175,0.27457940578460693,0.0008455174,408.41334223747253,0.0,145408,145408,-0.008260365,1501.0
0.46734062,72,344,0.017527502,0.119824216,0.08713799715042114,0.0044047977,414.35566234588623,0.0,147456,147456,-0.004754275,1501.0
0.34560353,73,368,0.009528464,0.079638675,0.6067904233932495,0.0014631234,419.9163897037506,0.0,149504,149504,-0.004635929,1501.0
0.34229568,74,367,0.019428123,0.10976563,0.13676214218139648,0.00348573,425.49538016319275,0.0,151552,151552,-0.0071663,1501.0
0.23355691,75,344,0.007843119,0.06870117,0.5174006521701813,0.0024146202,431.44364285469055,0.0,153600,153600,-0.0025638049,1501.0
0.24736094,76,365,0.010807653,0.08242188,0.8137659281492233,0.0023993237,437.0496060848236,0.0,155648,155648,-0.004308162,1501.0
0.3073017,77,342,0.0062375264,0.065136716,0.7522665411233902,0.0020613873,443.0243043899536,0.0,157696,157696,-0.001215207,1501.0
0.3486909,78,371,0.13837254,0.25507814,0.7557698339223862,0.0015978314,448.53805565834045,0.0,159744,159744,-0.02686936,1501.0
0.44266653,79,357,0.01048424,0.11582031,0.614842027425766,0.0005240363,454.2637083530426,0.0,161792,161792,0.0022761913,1501.0
0.49510002,80,348,0.008446366,0.10078125,0.062369465827941895,0.0011033586,460.14680528640747,0.0,163840,163840,-5.7017885e-05,1501.0
0.43952322,81,364,0.0136239175,0.118945315,0.37883180379867554,0.0007876189,465.75899267196655,0.0,165888,165888,0.0014658287,1501.0
0.50128186,82,351,0.0117155975,0.12412109,0.4800698757171631,0.0010662184,471.58808755874634,0.0,167936,167936,-0.00053712446,1501.0
0.7082803,83,346,0.010683924,0.10898437,0.6295998692512512,0.0012784407,477.49267840385437,0.0,169984,169984,0.0024784761,1501.0
0.724601,84,357,0.018007055,0.17592773,0.4075891971588135,0.0014497536,483.2226417064667,0.0,172032,172032,0.0107171405,1501.0
0.91676044,85,367,0.016256688,0.1550293,0.18108052015304565,0.00088305835,488.7981276512146,0.0,174080,174080,-0.0030040906,1501.0
0.69109374,86,349,0.013003344,0.13544922,-0.12070691585540771,0.002448165,494.6522800922394,0.0,176128,176128,-0.0014050078,1501.0
0.79233557,87,362,0.010555897,0.12475586,0.5027773976325989,0.0013578892,500.30178666114807,0.0,178176,178176,-0.000592375,1501.0
0.83100766,88,348,0.012931636,0.15449218,0.6496118009090424,0.000731883,506.1790146827698,0.0,180224,180224,-0.0003427759,1501.0
0.789781,89,371,0.0101638045,0.12612304,0.5101822316646576,0.0018102254,511.6877210140228,0.0,182272,182272,-0.0060333596,1501.0
0.80618507,90,358,0.01670077,0.14985351,0.83290895819664,0.0010149861,517.4050872325897,0.0,184320,184320,-0.0033562821,1501.0
0.79158914,91,335,0.009321227,0.11601563,0.4254903197288513,0.001200793,523.5186219215393,0.0,186368,186368,-0.002680497,1501.0
0.81781185,92,373,0.014966136,0.1741211,0.16837310791015625,0.0019609178,529.0026965141296,0.0,188416,188416,-0.0061953627,1501.0
0.9181563,93,375,0.011735104,0.15317383,0.6993436515331268,0.0013954248,534.4508073329926,0.0,190464,190464,-0.0054899426,1501.0
0.9401678,94,347,0.022231555,0.23154297,0.5333438217639923,0.001464824,540.3397309780121,0.0,192512,192512,-0.009580038,1501.0
0.89995396,95,363,0.012120421,0.16499023,0.5432430803775787,0.0018280229,545.9669144153595,0.0,194560,194560,-0.0027778423,1501.0
0.9374606,96,371,0.021906441,0.19077149,0.5613859593868256,0.00043343985,551.4778578281403,0.0,196608,196608,-0.0007488652,1501.0
0.95659924,97,351,0.012748279,0.17563477,0.5545276999473572,0.00083323696,557.2971546649933,0.0,198656,198656,-0.0002777322,1501.0
0.96339476,98,368,0.010932063,0.1625,0.36223042011260986,0.0018525531,562.8580913543701,0.0,200704,200704,-0.001523013,1501.0
0.9203512,99,349,0.011488551,0.15737304,0.7614729553461075,0.00087570713,568.7205340862274,0.0,202752,202752,-0.00019320051,1501.0
0.96189404,100,371,0.015060862,0.19975586,0.6667959094047546,0.0008242922,574.2404065132141,0.0,204800,204800,9.5835116e-05,1501.0
0.8731574,101,371,0.014104296,0.17851563,0.7196547389030457,0.00045088428,579.758448600769,0.0,206848,206848,0.0016776988,1501.0
0.9254575,102,350,0.009558566,0.13569336,-1.1319537162780762,0.0026008354,585.6085243225098,0.0,208896,208896,-0.0019624159,1501.0
0.88896817,103,367,0.010777443,0.14160156,-0.023365497589111328,0.0018592862,591.1803684234619,0.0,210944,210944,-0.003908395,1501.0
0.91275674,104,376,0.011017452,0.13105468,0.850639209151268,0.0009578996,596.6142072677612,0.0,212992,212992,0.00027878344,1501.0
0.8816106,105,348,0.010737345,0.13657227,0.6234965324401855,0.00093917514,602.4863336086273,0.0,215040,215040,0.0014835765,1501.0
