eplenmean,policy_entropy,total_timesteps,eprewmean,value_loss,clipfrac,nupdates,serial_timesteps,approxkl,fps,explained_variance,policy_loss,time_elapsed
739.0,0.509498,61500,405.446335,18.10998,0.0242,41,61500,0.0018265701,294,0.9696828164160252,-0.0046800803,186.7018723487854
670.0,0.59098387,63000,393.410153,29.216303,0.031266652,42,63000,0.0034054925,294,0.953949011862278,-0.0049056313,191.791118144989
1103.0,0.71375984,64500,613.869765,7.2606993,0.032799996,43,64500,0.0031097336,305,0.987961582839489,-0.00290734,196.6951413154602
807.0,0.46043828,66000,298.500977,4.4813366,0.04573331,44,66000,0.003635981,342,0.9911686452105641,-0.006727123,201.07084941864014
655.0,0.4978312,67500,256.984194,17.230484,0.04953331,45,67500,0.0032910404,325,0.9718060903251171,-0.005076374,205.6743266582489
627.0,0.4042766,69000,332.778903,17.620922,0.004399998,46,69000,0.0007726467,301,0.9700644519180059,-0.0014111218,210.65697264671326
950.0,0.54946506,70500,474.00927,3.6338556,0.012333331,47,70500,0.001476127,348,0.9941653851419687,-0.0017923288,214.96569204330444
708.0,0.32789215,72000,243.117503,16.16258,0.04419998,48,72000,0.003529883,313,0.9687154740095139,-0.011629198,219.75251984596252
828.0,0.5538525,73500,316.114849,5.4036903,0.031333324,49,73500,0.0026215152,329,0.9913572669029236,-0.0043904213,224.2987837791443
634.0,0.39202592,75000,267.925696,7.2499366,0.014666663,50,75000,0.0012599537,321,0.9812756758183241,-0.0016728895,228.9594087600708
728.0,0.39446983,76500,354.560989,17.509645,0.016199995,51,76500,0.0011695069,317,0.9696591105312109,-0.0020074598,233.67999958992004
906.0,0.65680474,78000,351.844677,6.930812,0.0146,52,78000,0.0016164217,314,0.9897065870463848,-0.0026693738,238.45529770851135
876.0,0.4374133,79500,295.400542,17.41261,0.0075333314,53,79500,0.000805806,315,0.9657913036644459,-0.00061044085,243.21620965003967
598.0,0.68378496,81000,231.428821,2.4145935,0.015199998,54,81000,0.0015303023,347,0.9951722444966435,-0.0016036971,247.53712821006775
1137.0,0.88926107,82500,607.679655,19.207504,0.024466667,55,82500,0.0021408033,318,0.9739367235451937,-0.0015458262,252.24583101272583
