time_elapsed,eplenmean,value_loss,nupdates,eprewmean,approxkl,fps,policy_entropy,explained_variance,serial_timesteps,policy_loss,clipfrac,total_timesteps
2485.3360369205475,1285.68,17.993542,275,591.73,6.930117e-05,521,0.74465024,0.9713517725467682,412500,-0.00025114394,0.0,1237500
2493.8170857429504,1291.39,20.605003,276,596.52,2.4538524e-05,530,0.86583257,0.9646129608154297,414000,-0.0001377245,0.0,1242000
2502.2160103321075,1294.85,21.860579,277,597.17,0.00013402861,535,0.84869415,0.962832860648632,415500,-0.0005685515,0.0,1246500
2511.010433912277,1300.99,23.982811,278,604.58,7.649358e-05,511,0.93658274,0.9624089226126671,417000,-0.0005133042,0.0,1251000
2519.8356347084045,1293.96,23.124435,279,590.93,6.27765e-05,509,0.81843597,0.9607218615710735,418500,-0.00026041348,0.0,1255500
2528.310322999954,1290.67,21.067974,280,588.74,7.1064685e-05,531,0.82308507,0.9655059427022934,420000,-0.0001102235,0.0,1260000
2537.9078550338745,1284.0,33.294956,281,581.38,6.127921e-05,468,0.74612314,0.9444165602326393,421500,-0.00021928636,0.0,1264500
2546.479532957077,1278.62,20.886242,282,574.72,3.9012943e-05,525,0.84890807,0.9655593298375607,423000,-0.0001614721,0.0,1269000
2555.1932916641235,1289.01,23.86477,283,583.01,9.959128e-05,516,0.88763756,0.9639991633594036,424500,-0.00034327936,0.0,1273500
2564.0983016490936,1286.11,26.823902,284,575.66,2.0505593e-05,505,0.8991865,0.953963503241539,426000,-0.0002037707,0.0,1278000
2572.6103959083557,1299.18,22.647524,285,587.78,0.00032054284,528,0.8587175,0.967046394944191,427500,-0.0006331426,0.0,1282500
2581.106604576111,1304.14,20.903135,286,588.54,3.462674e-06,529,0.94216,0.9628361910581589,429000,-4.8125064e-05,0.0,1287000
2589.622748851776,1308.04,23.537687,287,597.54,0.00010936019,528,0.7478041,0.9651872180402279,430500,-0.00022205399,0.0,1291500
2598.7590832710266,1312.67,29.19437,288,599.26,7.9824036e-05,492,0.80972815,0.9522169232368469,432000,-0.00033524894,0.0,1296000
2607.337976694107,1319.71,19.638355,289,605.83,3.5611167e-05,524,0.78728765,0.971185177564621,433500,-0.0001406874,0.0,1300500
2616.202132701874,1317.12,23.921421,290,603.78,5.243382e-05,507,0.9151722,0.9619940370321274,435000,-0.00015628347,0.0,1305000
2624.810157775879,1322.81,18.523792,291,609.06,1.9307887e-05,522,0.8109749,0.9681083187460899,436500,-0.00019936195,0.0,1309500
2633.538565158844,1316.83,18.973513,292,604.23,3.6866793e-05,515,0.8278917,0.9688699077814817,438000,-0.00013981253,0.0,1314000
2642.3367943763733,1308.84,27.86431,293,594.29,2.8485132e-05,511,0.89634806,0.9542594067752361,439500,-0.0001480881,0.0,1318500
2651.0004568099976,1314.73,21.935997,294,597.35,1.3266241e-05,519,0.8294498,0.9669041857123375,441000,-0.00015331512,0.0,1323000
2660.3713488578796,1307.14,21.455853,295,587.34,0.00020754003,480,0.83486295,0.9651710949838161,442500,-0.0006978944,0.0,1327500
2668.911279439926,1308.9,17.884424,296,585.41,5.9793774e-06,526,0.83972734,0.9718969538807869,444000,-1.2615903e-05,0.0,1332000
2678.049108982086,1303.31,20.771713,297,578.78,4.761854e-05,492,0.7730568,0.9689937401562929,445500,-0.00033333802,0.0,1336500
2687.139234304428,1307.24,18.71372,298,576.78,1.5025747e-05,495,0.8629843,0.9701450113207102,447000,-4.0335784e-05,0.0,1341000
2695.819035768509,1307.06,20.709023,299,573.46,2.5708809e-05,518,0.8255217,0.9604511521756649,448500,-0.00027011184,0.0,1345500
2704.475010871887,1300.06,24.185339,300,562.92,9.304961e-05,519,0.8606325,0.9573164246976376,450000,-0.00030395357,0.0,1350000
2713.9098405838013,1290.29,24.71482,301,545.45,0.000105068444,477,0.7112574,0.9473048560321331,451500,-0.00037571424,0.0,1354500
2722.94447350502,1271.74,21.663641,302,522.98,4.268316e-05,498,0.7931848,0.9638067930936813,453000,-0.00031844305,0.0,1359000
2731.936168193817,1276.06,21.161846,303,525.01,4.3789143e-05,500,0.90036935,0.965438686311245,454500,-0.0003330579,0.0,1363500
2740.917172193527,1278.33,22.295279,304,528.71,0.00020060994,501,0.8362369,0.9653761088848114,456000,-0.0005742958,0.0,1368000
2749.7165701389313,1280.94,20.704138,305,531.42,4.565965e-05,511,0.8728716,0.9640965275466442,457500,-0.0002403152,0.0,1372500
2759.0292532444,1274.3,24.506018,306,524.97,0.000114118724,483,0.8834637,0.9612164944410324,459000,-0.00036978777,0.0,1377000
2767.5585749149323,1280.9,24.23184,307,538.04,1.49510215e-05,527,0.87670743,0.9616798907518387,460500,-5.30551e-05,0.0,1381500
2776.2452499866486,1289.24,21.72451,308,548.78,3.0990857e-05,518,0.80059403,0.968221440911293,462000,-6.2335144e-05,0.0,1386000
2785.252023935318,1282.9,26.082003,309,537.42,0.00028881402,499,0.79022604,0.9513329043984413,463500,-0.0010082868,0.0,1390500
2793.921108007431,1286.56,21.178215,310,542.5,4.1664447e-05,519,0.8285477,0.9678161069750786,465000,-0.00025016002,0.0,1395000
2803.1046726703644,1279.89,26.60354,311,534.58,4.4059452e-05,490,0.84042966,0.9529619961977005,466500,-0.00031955296,0.0,1399500
2811.428009748459,1273.46,20.80711,312,531.31,9.722346e-05,540,0.7519829,0.9694908577948809,468000,-0.00041244886,0.0,1404000
2820.1932723522186,1279.86,22.313305,313,535.71,6.7838926e-05,513,0.94311357,0.9626762792468071,469500,-0.00035951284,0.0,1408500
2829.123802423477,1278.3,22.390877,314,532.37,9.8651064e-05,503,0.89949083,0.9654608182609081,471000,-0.0005127704,0.0,1413000
2837.383686065674,1280.35,21.636873,315,532.72,7.629681e-05,544,0.953128,0.9616580903530121,472500,-0.0002800758,0.0,1417500
2846.440325498581,1287.83,29.3052,316,542.69,0.0007698755,496,0.88066965,0.9492389857769012,474000,-0.0011387602,0.0,1422000
2855.6473336219788,1285.01,26.651169,317,544.24,7.475887e-05,488,0.6924498,0.9602020159363747,475500,-0.00039821517,0.0,1426500
2864.0691769123077,1271.32,20.289036,318,533.59,5.3929758e-05,534,0.67033845,0.9636395424604416,477000,-0.00018566742,0.0,1431000
2872.8608767986298,1274.62,22.574835,319,541.1,3.958691e-05,511,0.97195214,0.960702158510685,478500,-0.00023252457,0.0,1435500
2881.9557597637177,1265.5,25.67812,320,539.72,1.0042993e-05,494,0.8313008,0.9608854353427887,480000,-0.000106606036,0.0,1440000
2890.774270057678,1269.8,21.87003,321,544.4,0.00014633917,510,0.6782782,0.9671945422887802,481500,-0.00057652144,0.0,1444500
2899.511021375656,1269.94,19.073248,322,540.38,8.180517e-06,515,0.952804,0.9701899290084839,483000,-4.1929394e-05,0.0,1449000
2908.101714849472,1272.82,21.833336,323,545.59,1.8090706e-05,523,0.9155722,0.9641919322311878,484500,-9.576699e-05,0.0,1453500
2916.6092641353607,1283.67,17.403597,324,560.88,5.0815277e-05,528,0.8844754,0.9754370003938675,486000,-0.00018367881,0.0,1458000
2925.727069377899,1277.46,20.71192,325,546.84,6.376961e-05,493,0.8316158,0.9683365412056446,487500,-0.0004471802,0.0,1462500
2934.465038061142,1272.8,23.672129,326,551.58,9.73539e-06,515,0.7014082,0.9613203816115856,489000,-5.2020205e-05,0.0,1467000
2943.190079689026,1265.85,24.033276,327,545.32,6.734964e-05,515,0.8997227,0.9595444798469543,490500,-0.00035167427,0.0,1471500
2952.314733505249,1275.04,26.79428,328,551.93,2.5202406e-05,493,0.90111107,0.9578453972935677,492000,-8.004796e-05,0.0,1476000
2961.367723941803,1282.49,28.472614,329,564.71,1.7332422e-05,497,0.81969714,0.9601251780986786,493500,-0.0001324531,0.0,1480500
2970.7639393806458,1291.6,22.604599,330,577.25,7.4162817e-06,478,0.86153525,0.9683939404785633,495000,-0.00010479101,0.0,1485000
2979.5455644130707,1298.61,19.44725,331,583.47,0.00019684518,512,0.8149352,0.969852689653635,496500,-0.00079565635,0.0,1489500
2988.561118364334,1287.77,27.939531,332,576.23,6.129103e-05,499,0.81625754,0.9550063759088516,498000,-0.00023120029,0.0,1494000
2997.828407764435,1277.72,34.876614,333,567.83,0.00023572205,485,0.6291282,0.9459421634674072,499500,-0.00074522494,0.0,1498500
3006.7403841018677,1272.6,21.366167,334,562.64,1.7412904e-05,504,0.9026956,0.9649447649717331,501000,-0.0001060186,0.0,1503000
3015.54007935524,1275.49,24.883913,335,564.55,0.00011140024,511,0.9488504,0.9618513956665993,502500,-0.00059189834,0.0,1507500
3024.3356518745422,1271.8,20.670977,336,558.66,1.9553783e-05,511,0.9391874,0.9672406911849976,504000,-7.661194e-05,0.0,1512000
3033.505973815918,1274.69,28.246033,337,562.84,6.833388e-05,490,0.8676771,0.9582837298512459,505500,-0.0006309976,0.0,1516500
3042.324251651764,1277.6,23.163513,338,564.1,2.3666107e-05,510,0.87911355,0.9634714014828205,507000,-0.00018500851,0.0,1521000
3051.652190208435,1278.29,27.051424,339,564.2,3.6970087e-05,482,0.8502576,0.9552788622677326,508500,-0.00012866718,0.0,1525500
3060.8680276870728,1279.95,27.062141,340,563.98,2.8021474e-05,488,0.8516974,0.9589008428156376,510000,-0.00016372748,0.0,1530000
3069.654623746872,1282.86,20.889168,341,568.08,0.0001799212,512,0.83639574,0.9709229301661253,511500,-0.0004619198,0.0,1534500
3078.163883447647,1279.09,21.171711,342,566.59,0.00020189642,528,0.8834542,0.9630391150712967,513000,-0.0005052757,0.0,1539000
3087.091297388077,1279.09,20.337248,343,569.31,0.00031825903,504,0.89811563,0.972015080973506,514500,-0.0008238403,2.2222222e-05,1543500
3095.6741847991943,1277.67,21.37501,344,563.38,3.2433592e-05,524,0.97828275,0.9679175205528736,516000,-0.00017254813,0.0,1548000
3104.3585011959076,1285.46,20.593203,345,567.33,4.850988e-05,518,0.92115027,0.9681244157254696,517500,-0.00031174265,0.0,1552500
3112.832563638687,1291.95,23.325048,346,573.11,6.7995734e-06,531,0.9670926,0.9638228379189968,519000,-2.604712e-05,0.0,1557000
3122.0437054634094,1302.47,26.925133,347,575.37,2.467171e-05,488,0.834786,0.9582676775753498,520500,-0.00013947181,0.0,1561500
3131.1201136112213,1305.29,29.47969,348,575.27,8.653817e-05,495,0.8428537,0.9550298936665058,522000,-0.00025227814,0.0,1566000
3140.172163963318,1306.67,27.333258,349,567.49,2.6748006e-05,497,0.87515086,0.9535659849643707,523500,-6.8150955e-05,0.0,1570500
3149.140468597412,1313.91,20.7244,350,572.05,0.000243136,501,0.91962737,0.9679988548159599,525000,-0.0006871373,0.0,1575000
3157.8833169937134,1322.8,23.965452,351,585.59,2.0163798e-05,514,0.96124613,0.9620697982609272,526500,-0.0001653798,0.0,1579500
3166.5226480960846,1318.78,25.622429,352,581.2,0.0002269737,520,0.8248297,0.9610944129526615,528000,-0.000600007,0.0,1584000
3175.1478700637817,1319.92,22.996504,353,580.7,4.7392066e-05,521,0.8714866,0.9671238102018833,529500,-0.00012107159,0.0,1588500
3184.1978764533997,1316.13,20.816862,354,578.6,1.8345423e-05,497,0.8142104,0.967183455824852,531000,-9.626962e-05,0.0,1593000
3193.2698941230774,1316.01,25.148436,355,579.18,0.00032085806,496,0.68673635,0.9644163325428963,532500,-0.00072448864,0.0,1597500
3202.148227930069,1323.85,24.399918,356,585.56,7.2544253e-06,506,0.98989207,0.9577084220945835,534000,2.6113079e-05,0.0,1602000
3210.7988188266754,1318.22,21.418879,357,586.58,4.7375877e-05,520,0.83603936,0.9682754091918468,535500,-0.00017431592,0.0,1606500
3219.871079683304,1314.61,26.618187,358,584.8,0.00022068319,496,0.7980699,0.9542291536927223,537000,-0.0006702265,0.0,1611000
3228.5772693157196,1319.59,21.820707,359,586.08,7.838014e-06,516,0.9144616,0.9667011201381683,538500,-3.569891e-05,0.0,1615500
3237.655893087387,1311.12,24.917387,360,577.77,0.00014551113,495,0.6459474,0.9579832926392555,540000,-0.0005425855,0.0,1620000
3246.7351636886597,1316.61,23.528358,361,582.93,5.5931203e-05,495,0.878908,0.968224186450243,541500,-0.0003754382,0.0,1624500
3255.5987927913666,1331.2,20.231054,362,595.3,4.195072e-06,507,0.9462856,0.9720551706850529,543000,-1.301033e-05,0.0,1629000
3264.2980637550354,1338.05,20.599478,363,595.48,3.553007e-05,517,0.82803047,0.9631608538329601,544500,-0.0002502465,0.0,1633500
3273.6934349536896,1319.9,31.43614,364,577.59,6.9060356e-05,478,0.72397184,0.9512740448117256,546000,-0.00069175963,0.0,1638000
3282.4788773059845,1323.59,24.356285,365,582.2,5.9124748e-05,512,0.9364904,0.9615865014493465,547500,-0.00023793611,0.0,1642500
3291.203253030777,1327.35,21.761097,366,584.6,1.1237837e-05,515,0.9311468,0.963242419064045,549000,-0.0001202178,0.0,1647000
3299.9927158355713,1327.66,22.973282,367,585.6,0.00013620604,512,0.8654357,0.9595539383590221,550500,-0.00057294266,0.0,1651500
3308.75479221344,1333.57,23.235573,368,590.68,2.3696884e-05,513,0.89864403,0.9639010615646839,552000,-0.00016536925,0.0,1656000
3317.51478099823,1327.96,22.086187,369,586.36,3.617791e-05,513,0.86458045,0.9656539373099804,553500,-0.00027135154,0.0,1660500
3326.54395198822,1329.74,26.951286,370,585.08,4.314448e-06,498,0.89747804,0.9612365216016769,555000,-4.8633156e-05,0.0,1665000
3335.34929227829,1330.79,22.549265,371,589.23,0.00026457952,511,0.8918539,0.9617487154901028,556500,-0.00048284561,0.0,1669500
3344.670809030533,1328.78,31.057781,372,589.59,1.3741427e-05,482,0.81731725,0.9567253701388836,558000,-0.00011424947,0.0,1674000
3353.53387260437,1325.6,24.51486,373,585.84,0.00017083791,507,0.8178683,0.9623329192399979,559500,-0.00043813855,0.0,1678500
3362.6040699481964,1317.89,28.470406,374,579.25,0.00019001875,496,0.68614787,0.9500962160527706,561000,-0.0006844372,0.0,1683000
3371.8211715221405,1309.09,27.310192,375,570.84,0.00013100017,488,0.832638,0.9609985388815403,562500,-0.00052201643,0.0,1687500
3380.9007308483124,1299.12,30.923328,376,567.31,1.3638694e-05,495,0.7954612,0.9472985416650772,564000,-0.0002235051,0.0,1692000
3389.710282802582,1298.61,21.571983,377,566.27,3.4580858e-06,510,0.83024263,0.9683741070330143,565500,-3.4178759e-06,0.0,1696500
3399.085656642914,1285.24,34.194107,378,562.34,0.00016030436,480,0.79890037,0.94703059643507,567000,-0.00053452817,0.0,1701000
3407.7822573184967,1285.26,23.80551,379,566.93,4.2089167e-05,517,0.8850259,0.9654239006340504,568500,-0.00025369166,0.0,1705500
3416.6800532341003,1285.17,23.560093,380,559.69,5.4620454e-05,505,0.8333891,0.9633684977889061,570000,-0.00039493895,0.0,1710000
3425.5078914165497,1279.6,23.88689,381,555.15,2.749185e-05,509,0.80747116,0.9616095311939716,571500,-0.0001903392,0.0,1714500
3434.015100955963,1286.38,23.892036,382,562.66,0.00017163344,528,0.91612387,0.960368387401104,573000,-0.00031477763,0.0,1719000
3442.6882054805756,1282.3,21.328482,383,559.49,1.7200404e-05,518,0.7184947,0.9662362150847912,574500,-0.00012451685,0.0,1723500
3451.8562355041504,1275.82,27.336103,384,551.06,1.65531e-05,490,0.7630951,0.9557339027523994,576000,-8.797446e-05,0.0,1728000
3461.0334227085114,1277.73,20.92593,385,552.75,5.061781e-05,490,0.8380457,0.9664061293005943,577500,-0.00015256299,0.0,1732500
3469.97217297554,1280.79,21.94361,386,551.0,0.0001130446,503,0.95103526,0.9672510027885437,579000,-0.000343768,0.0,1737000
3478.5601015090942,1285.23,22.896805,387,561.52,6.0052906e-05,524,0.8848326,0.9653478302061558,580500,-0.00031543217,0.0,1741500
3488.028500556946,1283.38,33.55674,388,561.14,2.363486e-05,475,0.73462236,0.9526660963892937,582000,-0.00021666955,0.0,1746000
3496.9707713127136,1283.23,23.267101,389,561.29,0.00010466555,503,0.78129107,0.9641302302479744,583500,-0.00040864397,0.0,1750500
3506.105057477951,1266.4,27.721506,390,548.02,4.3263617e-06,492,0.69354093,0.9561072215437889,585000,8.758311e-06,0.0,1755000
3515.0548570156097,1261.71,26.943886,391,546.32,0.00012763617,502,0.8687834,0.9624149650335312,586500,-0.000524268,0.0,1759500
3523.9218072891235,1262.13,21.09564,392,547.61,4.734991e-05,507,0.75049645,0.9651520624756813,588000,-0.0001038593,0.0,1764000
3533.2730844020844,1256.73,32.28296,393,541.59,1.34406855e-05,481,0.83260083,0.9538636729121208,589500,-8.265306e-05,0.0,1768500
3542.0685501098633,1245.97,24.478426,394,531.64,4.6124696e-05,511,0.5941793,0.9534720629453659,591000,-0.00033982485,0.0,1773000
3551.0272431373596,1228.14,25.653938,395,520.54,0.00022635041,502,0.7338324,0.961489837616682,592500,-0.0005675552,0.0,1777500
3559.7238824367523,1235.13,19.470768,396,525.3,9.120771e-05,517,0.89240366,0.9698348119854927,594000,-0.00024880705,0.0,1782000
3568.173439979553,1238.86,22.8471,397,527.7,0.00022765675,532,0.9299709,0.9662630446255207,595500,-0.0007849822,0.0,1786500
3576.908942461014,1242.39,22.253025,398,531.01,8.2619e-05,515,0.91782767,0.9687464646995068,597000,-0.00015857157,0.0,1791000
3585.6345522403717,1244.38,22.138416,399,528.8,4.2433006e-05,515,0.9806338,0.9636300466954708,598500,-0.00015619857,0.0,1795500
3594.444501399994,1250.68,24.507065,400,535.2,3.2155134e-05,510,0.91562444,0.9628144204616547,600000,-0.00016342357,0.0,1800000
3603.430789232254,1236.92,22.301846,401,522.29,5.70257e-05,500,0.8241556,0.9645304419100285,601500,-0.0002219659,0.0,1804500
3612.4006860256195,1252.97,24.988031,402,540.16,7.1978197e-06,501,0.8293212,0.9663794673979282,603000,-6.332302e-05,0.0,1809000
3621.203361749649,1256.34,24.474068,403,536.33,0.00033157435,511,0.95709336,0.9594412706792355,604500,-0.0009956553,0.0,1813500
3629.8704895973206,1264.95,22.93955,404,542.42,0.00010179216,519,0.9290742,0.9650434739887714,606000,-0.00025025333,0.0,1818000
3638.6954774856567,1268.11,22.871702,405,548.43,0.00011381368,509,0.77316874,0.9658243432641029,607500,-0.0005205179,0.0,1822500
3647.6763966083527,1274.58,23.538397,406,554.8,9.3173885e-06,501,0.89202476,0.9680103473365307,609000,-3.8408067e-05,0.0,1827000
3656.4657855033875,1282.41,20.609308,407,555.77,0.000533113,512,0.93107176,0.9710937850177288,610500,-0.0014569995,2.2222222e-05,1831500
3665.4482872486115,1273.72,28.595598,408,544.42,1.839154e-05,500,0.6948758,0.9488453157246113,612000,-7.582313e-05,0.0,1836000
3674.6015286445618,1269.89,18.892052,409,544.24,7.6790624e-05,491,0.83310837,0.9712260700762272,613500,-0.0004714485,0.0,1840500
3683.9783008098602,1262.84,30.185207,410,535.2,7.6174016e-05,479,0.7549739,0.9570790342986584,615000,-0.00036471034,0.0,1845000
3692.609251022339,1273.8,22.620949,411,547.08,0.00028396893,521,0.9005487,0.9655634239315987,616500,-0.00070271845,0.0,1849500
3701.67897439003,1280.96,22.378412,412,556.36,2.2004635e-05,496,0.85564756,0.9646251648664474,618000,-0.00010121181,0.0,1854000
3710.5299668312073,1280.39,26.240107,413,555.96,0.00010157615,508,0.7861233,0.9623079635202885,619500,-0.0004632561,0.0,1858500
3719.391530275345,1275.97,21.891657,414,556.75,1.9758649e-05,507,0.8440285,0.9655615128576756,621000,-0.00012377648,0.0,1863000
