value_loss,approxkl,time_elapsed,fps,eplenmean,policy_loss,serial_timesteps,nupdates,eprewmean,total_timesteps,policy_entropy,clipfrac,explained_variance
50.33779,6.502361e-05,10.01315712928772,449,1384.0,-0.0003020771,1500,1,110.0,4500,0.91613805,0.0,0.9179032370448112
45.57036,2.1729327e-05,20.034526109695435,449,1382.6666666666667,-0.0001452769,3000,2,156.66666666666666,9000,0.99565023,0.0,0.9077069610357285
42.575836,2.3194946e-06,30.006690740585327,451,1355.0,-1.3514608e-05,4500,3,179.88888888888889,13500,0.9621408,0.0,0.9259470626711845
40.07942,9.881868e-06,40.109360456466675,445,1361.4166666666667,-0.00010861617,6000,4,198.0,18000,0.90646607,0.0,0.9321815967559814
35.327232,1.0339016e-05,49.92375135421753,458,1355.6,-5.0369763e-05,7500,5,222.73333333333332,22500,0.9559893,0.0,0.9393722154200077
52.606644,0.00022978222,59.99122452735901,447,1368.0555555555557,-0.00034569713,9000,6,227.0,27000,1.091108,0.0,0.8877213299274445
48.918003,1.0034115e-05,70.53956079483032,426,1387.7727272727273,-0.0001412737,10500,7,228.86363636363637,31500,1.0166671,0.0,0.9055416360497475
39.02673,0.00014026518,80.87416410446167,435,1387.28,-0.00066706986,12000,8,234.72,36000,0.93645525,0.0,0.9141435548663139
45.373756,3.2023385e-05,91.2710473537445,432,1399.357142857143,-0.00013474542,13500,9,241.39285714285714,40500,1.047901,0.0,0.8904906511306763
34.69389,7.617888e-06,101.4381992816925,442,1398.5806451612902,-0.00012644063,15000,10,252.38709677419354,45000,0.99127597,0.0,0.9238969087600708
36.55395,1.2517574e-05,111.58864974975586,443,1392.7058823529412,-0.00016282404,16500,11,256.88235294117646,49500,1.0388896,0.0,0.9303029030561447
31.038847,5.124282e-05,122.05313277244568,430,1391.8157894736842,-0.00039891043,18000,12,274.8157894736842,54000,0.88643456,0.0,0.9420717172324657
30.55719,1.7369268e-05,132.40738987922668,434,1381.780487804878,-0.000114578645,19500,13,279.0,58500,0.905252,0.0,0.9385378733277321
29.861494,1.4979829e-06,142.8023202419281,432,1375.5111111111112,-4.123595e-05,21000,14,296.8,63000,0.93708396,0.0,0.936536967754364
30.206327,9.5195055e-06,153.00314688682556,441,1369.125,-9.793335e-05,22500,15,299.4791666666667,67500,0.8652102,0.0,0.9359354600310326
34.228153,2.4044364e-05,162.92355298995972,453,1376.8235294117646,-0.00010667516,24000,16,308.0,72000,1.0232459,0.0,0.9165020734071732
32.099735,8.734087e-05,173.23151659965515,436,1383.462962962963,-0.00047936413,25500,17,319.9074074074074,76500,1.0359621,0.0,0.9168471917510033
28.990313,4.2956235e-05,183.5017545223236,438,1382.4912280701753,-0.00024056353,27000,18,327.7368421052632,81000,1.0456167,0.0,0.9239343851804733
32.17893,3.2428834e-05,194.4469976425171,411,1373.8360655737704,-0.00013015655,28500,19,333.91803278688525,85500,0.9728669,0.0,0.9247220531105995
31.190168,5.1196716e-06,204.4684703350067,449,1372.1875,-7.393809e-05,30000,20,341.59375,90000,0.91447276,0.0,0.9443308897316456
37.140438,2.7155345e-05,215.11384081840515,422,1369.4705882352941,-0.00014559139,31500,21,344.55882352941177,94500,0.9924425,0.0,0.9289370179176331
29.930237,8.098211e-06,225.53042030334473,432,1374.1549295774648,-4.739158e-05,33000,22,352.6901408450704,99000,0.9991847,0.0,0.9343512952327728
26.639162,3.07561e-05,236.0357723236084,428,1364.0133333333333,-0.00013741014,34500,23,351.72,103500,0.7713498,0.0,0.9412965066730976
30.336739,0.00011607189,246.1006600856781,447,1369.2435897435898,-0.00029796007,36000,24,360.87179487179486,108000,1.0431257,0.0,0.9100271835923195
27.629953,8.645418e-06,256.3080940246582,440,1369.0987654320988,-6.519035e-05,37500,25,363.7901234567901,112500,0.95125043,0.0,0.9301567450165749
29.808996,1.635903e-05,265.76349234580994,476,1368.0357142857142,-0.00012392348,39000,26,366.3809523809524,117000,1.0559486,0.0,0.928612194955349
32.22041,8.865173e-06,275.3536376953125,469,1367.183908045977,-0.00010819161,40500,27,366.1609195402299,121500,0.91483366,0.0,0.9342902824282646
30.738073,2.2614451e-05,284.7470471858978,479,1371.611111111111,-0.00012889091,42000,28,368.0111111111111,126000,1.005073,0.0,0.9360101222991943
30.600159,6.061798e-06,294.20675349235535,475,1364.3191489361702,-6.3325075e-05,43500,29,368.43617021276594,130500,0.9444245,0.0,0.9311970546841621
28.05067,4.043651e-05,303.30958366394043,494,1366.2268041237114,-0.00023063278,45000,30,372.07216494845363,135000,0.94438154,0.0,0.9370662048459053
30.959326,2.659369e-05,312.7852735519409,474,1364.76,-0.00014956696,46500,31,373.84,139500,0.94824547,0.0,0.9333638399839401
31.810562,8.623721e-05,322.87186765670776,446,1359.58,-0.00028608734,48000,32,387.28,144000,0.96129423,0.0,0.9218760132789612
30.632341,0.00011198353,332.7785255908966,454,1365.59,-0.00025149877,49500,33,395.16,148500,1.0187137,0.0,0.9128940179944038
26.30916,5.8865488e-05,342.83393383026123,447,1368.23,-0.00027668924,51000,34,404.02,153000,0.9536029,0.0,0.9447504505515099
25.62739,3.73514e-05,352.7772946357727,452,1361.53,-0.00021517368,52500,35,401.89,157500,0.8215961,0.0,0.9410767629742622
28.456709,9.227112e-06,362.61874651908875,457,1359.01,-2.1252505e-05,54000,36,408.93,162000,1.0005094,0.0,0.9302523136138916
29.711155,3.898245e-05,372.50857973098755,455,1356.64,-0.00022001569,55500,37,417.89,166500,0.98399085,0.0,0.9373837560415268
33.18939,4.3926266e-05,383.1041431427002,424,1346.18,-0.00023271106,57000,38,421.13,171000,0.8427476,0.0,0.933053083717823
28.61879,0.00012981487,393.03065609931946,453,1346.18,-0.00032605964,58500,39,434.01,175500,1.0329038,0.0,0.9159691259264946
24.580173,5.4306787e-05,403.38404083251953,434,1349.44,-0.00013887284,60000,40,445.27,180000,1.0559407,0.0,0.9287125319242477
29.45706,1.907435e-06,413.946480512619,426,1346.61,-4.090443e-05,61500,41,448.24,184500,0.8900843,0.0,0.9309514537453651
25.148994,1.9423314e-05,424.065087556839,444,1340.87,-0.00015848687,63000,42,448.05,189000,0.77656066,0.0,0.9414947181940079
26.469893,2.1246131e-05,434.14977741241455,446,1345.12,-0.00014307289,64500,43,454.27,193500,1.0203927,0.0,0.9312435761094093
29.40427,3.5452114e-05,444.4720594882965,435,1347.74,-0.00015055321,66000,44,457.77,198000,1.039021,0.0,0.9146108254790306
24.602879,8.774367e-05,454.5551288127899,446,1351.84,-0.00022009209,67500,45,465.54,202500,1.0403367,0.0,0.9308131858706474
23.854876,1.4960784e-05,464.44733142852783,454,1354.54,-8.612877e-05,69000,46,477.13,207000,0.9752787,0.0,0.9418713673949242
28.624657,5.0989776e-05,474.8148021697998,434,1346.63,-0.00022324875,70500,47,478.39,211500,1.0101945,0.0,0.9297488927841187
27.228514,2.0422773e-05,485.34894037246704,427,1338.02,-0.00012382954,72000,48,472.04,216000,0.82677925,0.0,0.9436364583671093
21.790634,5.8482852e-05,495.3615503311157,449,1343.6,-0.00030293706,73500,49,481.15,220500,0.9339863,0.0,0.9478219524025917
24.033659,1.4203044e-05,505.5873119831085,440,1343.63,-8.227883e-05,75000,50,483.69,225000,0.95611715,0.0,0.939723614603281
29.246122,4.559762e-05,516.6071488857269,408,1337.57,-0.00023390315,76500,51,487.62,229500,0.86494523,0.0,0.9405104070901871
23.550243,5.541772e-05,526.5967581272125,450,1336.6,-0.0002234501,78000,52,486.54,234000,0.82714105,0.0,0.9497446864843369
24.788141,7.159174e-05,536.9549033641815,434,1337.25,-0.00026055123,79500,53,490.19,238500,0.89800483,0.0,0.939062912017107
24.83631,5.0771705e-05,547.0048542022705,447,1334.08,-0.00035193833,81000,54,489.93,243000,1.0562711,0.0,0.928435243666172
23.610695,1.4493979e-05,557.7375724315643,419,1334.24,-0.0001644459,82500,55,494.73,247500,0.928643,0.0,0.9507513232529163
30.857903,2.0357033e-05,568.384902715683,422,1326.51,-0.00015256304,84000,56,496.86,252000,0.93452394,0.0,0.9388526156544685
24.263039,2.3804057e-06,578.0158405303955,467,1321.3,-5.3441006e-05,85500,57,499.01,256500,0.8873903,0.0,0.9497423358261585
28.591131,2.6583406e-05,588.5225694179535,428,1317.05,-0.0002698286,87000,58,496.73,261000,0.8370761,0.0,0.9371005147695541
