serial_timesteps,policy_loss,nupdates,explained_variance,policy_entropy,time_elapsed,value_loss,clipfrac,fps,eplenmean,total_timesteps,approxkl,eprewmean
19968,-0.00061534304,39,-1.3185477256774902,1.5688612,255.96760892868042,2.7377533e-05,0.0,356,1500.0,159744,0.00018115577,0.8365384615384616
20480,-0.0006739284,40,0.8220929354429245,1.5705159,261.84990310668945,5.9122312e-06,0.0,696,1500.0,163840,0.0002092492,0.8365384615384616
20992,-0.00023024759,41,0.8683000952005386,1.57588,267.34804463386536,0.00020933585,0.0,745,1500.0,167936,6.505258e-05,0.8365384615384616
21504,-0.0009655336,42,-0.39031338691711426,1.5687721,274.560706615448,0.0003125053,0.0,567,1500.0,172032,0.00024202664,0.7767857142857143
22016,-0.0007910097,43,0.4733257293701172,1.5750157,280.0672855377197,0.0002390339,0.0,743,1500.0,176128,0.00030748546,0.7767857142857143
22528,-0.00081928784,44,0.6830931007862091,1.5761319,287.0458149909973,0.00056165335,0.0,586,1500.0,180224,0.00024373799,0.725
23040,-0.0004112005,45,0.5398516356945038,1.558526,292.817556142807,2.4037025e-05,0.0,709,1500.0,184320,0.00014375859,0.725
23552,-0.0006045173,46,0.9622358754277229,1.5657691,298.53697204589844,3.7710553e-05,0.0,716,1500.0,188416,0.00019295611,0.725
24064,-0.00019332558,47,0.7480643093585968,1.5708977,305.7504343986511,0.0012568019,0.0,567,1500.0,192512,7.730689e-05,0.6796875
24576,-0.0007964663,48,0.500132292509079,1.5540025,311.29225397109985,5.8672867e-05,0.0,739,1500.0,196608,0.0002771406,0.6796875
25088,-0.00044003566,49,0.9126910269260406,1.5669711,316.9311616420746,4.4321416e-05,0.0,726,1500.0,200704,0.00013562548,0.6796875
25600,-0.0004174916,50,0.6675647795200348,1.5744765,324.06876158714294,0.0004644398,0.0,573,1500.0,204800,7.716559e-05,0.6397058823529411
26112,-0.0012368436,51,0.7301026582717896,1.547768,329.6692545413971,8.7687215e-05,0.0,731,1500.0,208896,0.0004635627,0.6397058823529411
26624,-0.0002967989,52,0.6776278614997864,1.5625123,334.8600878715515,0.00012018067,0.0,789,1500.0,212992,0.00014845878,0.6397058823529411
27136,-0.0008562235,53,0.0619661808013916,1.5658236,342.3311686515808,0.07093591,0.0,548,1500.0,217088,0.00035035593,0.6736111111111112
27648,-0.0008408999,54,0.7763771414756775,1.5337769,350.96173453330994,0.000104261424,0.0,474,1500.0,221184,0.00032200702,0.6736111111111112
28160,-0.00025026867,55,0.9027588814496994,1.5473258,359.08265709877014,0.00025272445,0.0,504,1500.0,225280,6.814686e-05,0.6736111111111112
28672,-0.00050745654,56,0.9015204980969429,1.5487007,368.63730454444885,0.0002788562,0.0,428,1500.0,229376,0.00011673926,0.6381578947368421
29184,-0.0003188645,57,0.5526638329029083,1.5351689,375.59720945358276,0.00015733397,0.0,588,1500.0,233472,0.00011864334,0.6381578947368421
29696,-0.00046566158,58,0.831111803650856,1.5611844,382.0750160217285,0.00029339906,0.0,632,1500.0,237568,0.00014076482,0.6381578947368421
30208,-0.0004776519,59,0.8633168488740921,1.5587418,389.7204475402832,0.00017288819,0.0,535,1500.0,241664,0.00010765765,0.60625
30720,-0.0009491901,60,0.48153603076934814,1.545807,395.9530611038208,6.2165476e-05,0.0,657,1500.0,245760,0.0003417603,0.60625
31232,-0.00066031655,61,0.8962412253022194,1.5650628,401.96278285980225,0.00018176982,0.0,681,1500.0,249856,0.00017511082,0.60625
31744,-0.00086599786,62,0.8578440546989441,1.5534177,409.23704266548157,0.00016053401,0.0,563,1500.0,253952,0.0002595739,0.5773809523809523
32256,-0.0002267855,63,0.6932283341884613,1.5468435,414.7079916000366,8.3507344e-05,0.0,748,1500.0,258048,0.00012664372,0.5773809523809523
32768,-9.7351134e-05,64,0.03435176610946655,1.5649301,420.0533323287964,0.61542046,0.0,766,1500.0,262144,2.5397714e-05,0.5773809523809523
33280,-8.448452e-05,65,0.07665979862213135,1.5553292,427.0719223022461,6.1502314,0.0,583,1500.0,266240,2.067885e-05,3.1818181818181817
33792,-0.0004146102,66,0.8766163364052773,1.5521183,432.57036781311035,6.5673274e-05,0.0,745,1500.0,270336,0.000107126296,3.1818181818181817
34304,-0.00049730466,67,0.8077075332403183,1.5675194,437.9973771572113,0.00019482701,0.0,754,1500.0,274432,0.000188758,3.1818181818181817
34816,-0.0012256776,68,0.48060697317123413,1.5620357,445.071893453598,0.00011075232,0.0,579,1500.0,278528,0.00040557137,3.0434782608695654
35328,-0.00019554576,69,0.806905522942543,1.5651848,450.34066343307495,2.4517625e-05,0.0,777,1500.0,282624,5.3668824e-05,3.0434782608695654
35840,-0.00027260504,70,0.8553583920001984,1.5795639,455.82552909851074,9.8057484e-05,0.0,746,1500.0,286720,0.000104681414,3.0434782608695654
36352,-0.00074231136,71,0.6876642405986786,1.5602454,462.4967305660248,0.00011222802,0.0,614,1500.0,290816,0.00018246777,2.9166666666666665
36864,-0.00031947863,72,0.8501229286193848,1.566958,467.9398696422577,1.9863011e-05,0.0,752,1500.0,294912,8.066e-05,2.9166666666666665
37376,-0.0014403476,73,0.6627395451068878,1.5780518,473.54710507392883,7.068579e-05,0.0,730,1500.0,299008,0.0005758941,2.9166666666666665
37888,-0.0022742844,74,0.5776850581169128,1.543966,480.8651649951935,5.2875625e-05,0.0,559,1500.0,303104,0.00077078043,2.8
38400,-0.00026665372,75,0.6922189295291901,1.5523126,486.3618004322052,1.933045e-05,0.0,745,1500.0,307200,7.1051225e-05,2.8
38912,-0.0019387195,76,0.6485606133937836,1.556012,491.7740955352783,0.00011417669,0.0,756,1500.0,311296,0.0012339323,2.8
39424,-0.00042604865,77,0.6517042815685272,1.5200713,498.7370238304138,3.552197e-05,0.0,588,1500.0,315392,7.039543e-05,2.6923076923076925
39936,-0.0009675635,78,0.8422252386808395,1.5281525,504.3821773529053,5.91976e-05,0.0,725,1500.0,319488,0.00034776021,2.6923076923076925
40448,-0.001958033,79,0.6100129783153534,1.5512987,509.7961513996124,0.00010183772,0.0,756,1500.0,323584,0.0008764103,2.6923076923076925
40960,-0.0017617315,80,0.24432122707366943,1.5023768,516.8519260883331,2.3706672e-05,0.0,580,1500.0,327680,0.000671476,2.5925925925925926
41472,-0.00063772744,81,0.9104836359620094,1.5166672,522.3546323776245,8.2532715e-05,0.0,744,1500.0,331776,0.00014980041,2.5925925925925926
41984,-0.0003097736,82,0.7513200491666794,1.5560298,527.4521551132202,9.7821096e-05,0.0,803,1500.0,335872,0.00027094595,2.5925925925925926
42496,-0.00036766732,83,0.6546262800693512,1.4949265,535.1563084125519,1.2684749e-05,0.0,531,1500.0,339968,7.4112424e-05,2.5
43008,-0.0007397678,84,0.45057588815689087,1.5227989,540.6107528209686,7.537518e-05,0.0,751,1500.0,344064,0.00019833345,2.5
43520,-0.0014404156,85,0.610139787197113,1.5509346,547.368809223175,4.9681355e-05,0.0,606,1500.0,348160,0.0017186457,2.413793103448276
44032,-0.00027143632,86,0.5194232761859894,1.4749708,552.7600347995758,4.2023403e-05,0.0,759,1500.0,352256,6.1800936e-05,2.413793103448276
44544,-0.00064183894,87,0.7757702469825745,1.4932307,557.976188659668,0.00013782766,0.0,785,1500.0,356352,0.00018545132,2.413793103448276
45056,-0.0017461678,88,0.49575942754745483,1.5426457,564.7924723625183,9.952402e-05,0.0,600,1500.0,360448,0.0012425208,2.3333333333333335
