#{"t_start": 1534273743.0173073, "env_id": "SetDown-v3"}
r,l,t
0,1500,20.1324
0,1500,38.828684
0,1500,56.314253
0,1500,74.274346
0,1500,92.293282
0,1500,111.125458
0,1500,129.706301
0,1500,153.418326
0,1500,171.35956
0,1500,189.589121
0,1500,208.269846
0,1500,226.759583
0,1500,248.390626
0,1500,270.444092
0,1500,287.151184
0,1500,305.467282
0,1500,323.46628
0,1500,341.028185
0,1500,366.423519
0,1500,387.903558
0,1500,407.447215
100,1500,424.910331
0,1500,442.713368
0,1500,460.003041
0,1500,477.578863
0,1500,495.568549
0,1500,513.250256
0,1500,530.610226
0,1500,547.59323
0,1500,564.634881
0,1500,587.859304
0,1500,605.482431
0,1500,623.026299
0,1500,640.191108
0,1500,657.622258
0,1500,675.055277
152,1500,698.554415
0,1500,715.808602
0,1500,733.621454
0,1392,752.378224
0,1500,771.641799
0,1500,791.46132
23,1500,818.193947
0,1500,837.529613
0,1500,856.663263
0,1500,875.854552
0,1500,895.123135
0,1500,914.622414
0,1326,940.670983
0,1500,958.542669
0,1500,977.038147
221,1269,995.86526
0,1500,1016.322739
69,1500,1037.308657
0,1500,1057.85424
21,1377,1077.375077
0,1500,1097.264741
0,1500,1116.723587
0,1500,1136.384387
165,1500,1156.056299
0,1500,1176.817257
11,1500,1197.188421
0,1392,1215.794152
23,1500,1234.940294
2,1500,1253.075662
0,1495,1274.510822
13,1500,1295.869201
305,1500,1318.367532
60,1500,1338.616074
0,1427,1358.090429
0,1500,1378.766926
0,1500,1397.98142
56,1500,1417.711057
46,1500,1437.450174
0,929,1449.883016
0,1500,1469.163288
0,1500,1488.250779
0,1500,1507.638005
0,1469,1526.352329
0,1500,1550.365709
269,1500,1572.042547
0,1500,1591.683265
0,1500,1611.862779
0,1500,1631.536133
0,1500,1651.471472
0,1500,1671.362011
0,1500,1691.497457
0,1500,1714.277767
0,1500,1733.860889
0,1500,1754.724732
0,1500,1779.828923
0,1500,1799.472268
0,1500,1820.41873
0,1500,1840.639396
0,1500,1860.838934
0,1500,1880.805386
0,1500,1899.987812
0,1500,1919.139804
0,1500,1938.533799
191,1405,1959.351523
0,1500,1979.536085
0,1500,1999.673239
0,1500,2019.625986
151,1500,2039.369152
214,1500,2061.523939
0,1500,2088.28454
7,1500,2110.110309
0,1500,2131.073439
0,1312,2149.406825
0,1492,2173.094785
508,1500,2196.823498
0,1500,2217.859704
495,1500,2239.121758
0,1500,2268.014674
45,1500,2289.641708
0,1500,2309.296645
31,1284,2331.182094
0,1500,2350.653007
0,1500,2379.53555
13,1500,2399.99743
269,1292,2418.792044
336,1133,2436.096454
9,1500,2458.249906
0,1500,2481.856926
0,1340,2501.522049
0,1395,2520.44949
0,1385,2540.214722
0,1300,2557.902787
0,880,2573.800654
289,928,2590.042842
66,1381,2611.517281
0,1060,2627.440162
96,1209,2645.957186
0,1213,2664.802715
0,923,2680.110805
0,852,2695.139849
0,920,2710.952771
0,1159,2728.406984
44,1032,2744.056181
0,1183,2763.194761
253,1185,2783.456697
0,939,2798.876392
32,1317,2819.232001
0,1421,2841.441703
0,1357,2861.31591
0,1238,2880.31479
0,1177,2897.175642
0,1326,2916.11996
129,1500,2938.679511
0,1500,2960.516713
0,1500,2982.116645
5,1500,3004.833737
0,1105,3020.413382
337,1370,3040.009671
0,1500,3060.924803
0,1448,3081.497601
0,1500,3102.917344
0,1500,3122.393199
0,1335,3141.066195
0,1493,3163.000618
0,1500,3183.931061
0,1451,3204.33411
0,1500,3225.659872
0,1490,3246.534963
0,1183,3263.921317
150,1192,3283.341773
100,1364,3302.362408
0,1320,3322.646383
0,1406,3342.365834
0,1500,3363.939929
0,1275,3380.679512
0,1287,3400.714345
0,1281,3418.111377
0,1252,3437.479157
0,1235,3454.865572
0,1175,3471.063308
0,1018,3486.555327
0,1120,3503.030239
0,1046,3519.66448
0,905,3532.245833
0,1018,3547.605733
0,1162,3564.693777
10,1321,3582.732221
0,1121,3599.491224
28,1172,3618.731266
0,1394,3636.999109
0,1500,3657.533527
0,1500,3678.491135
0,1484,3699.094001
0,1500,3719.751244
29,1500,3740.66761
0,1500,3761.93338
0,1500,3784.527567
0,1500,3805.759847
0,1500,3826.662196
0,1500,3847.450988
10,1500,3869.854943
0,1500,3890.46708
0,1500,3911.582073
116,1500,3932.996604
0,1500,3955.920718
0,1500,3976.725191
0,1500,3998.021168
0,1500,4020.062175
0,1500,4040.794984
0,1500,4061.361486
0,1500,4082.496715
0,1500,4103.267961
72,1500,4123.297564
104,1500,4142.96646
4,1500,4162.915309
6,1500,4182.637233
0,1500,4204.048131
0,1500,4224.804346
0,1500,4246.125352
0,1500,4267.940402
32,1500,4289.749749
54,1500,4312.008204
232,1500,4332.492056
0,1500,4353.607399
0,1500,4374.521724
0,1500,4395.057752
0,1500,4415.769715
0,1500,4436.879953
0,1500,4457.687648
0,1500,4478.823681
0,1500,4499.903156
39,1500,4522.360006
25,1500,4543.729981
0,1500,4565.478934
0,1500,4587.366655
0,1500,4609.310201
0,1500,4630.974074
0,1500,4651.387454
0,1500,4671.983712
0,1500,4693.505399
0,1500,4714.843991
136,1500,4736.23717
0,1500,4758.843385
0,1500,4779.842111
0,1500,4802.7756
3,1500,4826.090262
0,1500,4849.724124
0,1500,4871.804746
16,1500,4896.358228
48,1500,4919.849865
0,1500,4943.2542
0,1500,4964.273033
0,1500,4985.113548
0,1500,5004.864423
0,1500,5026.451402
0,1500,5047.147857
0,1500,5068.035385
