#{"t_start": 1534273743.0908978, "env_id": "SetDown-v3"}
r,l,t
1,1500,20.064717
2,1500,38.768791
0,1500,56.24749
0,1500,74.19444
0,1500,92.245339
0,1500,111.059196
0,1500,129.632636
0,1500,153.352755
0,1500,171.289772
0,1500,189.499532
0,1500,208.189242
0,1500,226.700574
0,1500,248.322758
0,1500,270.363645
0,1500,287.083389
0,1500,305.380821
0,1500,323.389341
0,1500,340.959193
0,1500,366.349845
0,1500,387.813011
0,1500,407.373322
8,1500,424.83663
0,1500,442.648643
0,1500,459.929552
0,1500,477.508651
0,1500,495.479864
0,1500,513.176621
0,1500,530.536745
0,1500,547.519561
0,1500,564.561214
0,1500,587.786977
0,1500,605.393247
0,1500,622.94828
0,1500,640.117286
2,1500,657.541576
0,1500,674.99669
5,1500,698.495593
0,1500,715.737915
0,1500,733.54068
165,1405,754.099153
0,1500,772.089023
48,1500,791.901244
213,1500,818.675128
0,1500,837.981629
0,1500,857.10451
0,1500,876.312539
16,1500,895.611231
0,1500,915.200144
0,1288,934.91846
0,1500,957.142706
0,1500,975.609174
0,1319,996.539502
0,1500,1016.907248
363,1500,1037.866735
1,1409,1056.741217
8,1500,1078.242911
0,1500,1098.139579
0,1496,1117.969342
0,1500,1137.80096
47,1500,1157.262083
3,1500,1178.125455
0,1500,1198.374317
0,1435,1216.871868
139,1500,1236.089912
4,1500,1255.315592
253,1470,1276.676328
102,1500,1296.903477
0,1500,1319.630273
111,1500,1339.483806
0,1331,1357.380899
40,1433,1377.041439
0,1261,1392.915284
150,1500,1412.417969
55,1500,1432.21638
0,1259,1449.378443
62,1500,1468.67273
0,1500,1487.761413
0,1500,1507.144493
0,1472,1528.309875
0,1500,1551.195245
67,1500,1572.812375
0,1500,1592.496324
0,1500,1612.608433
0,1500,1632.416739
0,1500,1652.262594
0,1500,1672.120919
0,1500,1692.28106
0,1500,1714.636668
0,1500,1734.208154
0,1500,1755.124075
6,1500,1780.21323
0,1500,1799.828767
0,1500,1820.790452
0,1500,1841.056054
0,1500,1861.233445
0,1500,1881.157484
0,1500,1900.34882
0,1500,1919.48452
0,1500,1938.94301
0,1500,1961.154633
346,1500,1982.327947
0,1500,2002.600971
0,1500,2021.389152
162,1500,2041.107917
415,1500,2063.638194
0,1500,2090.193189
0,1500,2111.71231
0,1500,2132.711046
0,1216,2149.935791
0,1500,2174.31044
277,1500,2197.459634
36,1500,2218.315956
311,1500,2239.646631
0,1500,2268.745226
22,1500,2290.107365
0,1500,2309.927824
22,1172,2327.722121
0,1438,2347.332885
0,1500,2376.766984
37,1500,2397.054118
33,1297,2416.224572
378,1148,2434.263021
1,1500,2456.249766
0,1500,2480.083257
0,1335,2497.384193
0,1343,2517.468626
0,1359,2535.698005
0,1227,2553.809128
0,1095,2572.313332
106,940,2588.335822
7,1334,2608.306826
0,1047,2625.789071
283,1173,2643.109435
0,1280,2662.167698
99,859,2677.701823
0,959,2693.649913
0,846,2709.123856
0,1131,2726.368982
0,1256,2745.967167
0,1205,2766.764395
220,1222,2786.329392
0,1040,2802.901139
0,1240,2821.821232
0,1500,2845.296131
0,1240,2863.182511
186,1195,2882.013083
0,1258,2901.276172
0,1269,2918.977576
269,1500,2940.355268
435,1459,2961.710739
0,1500,2983.390027
121,1440,3004.141711
0,1178,3021.731088
33,1370,3040.999263
0,1500,3061.893432
0,1449,3082.465357
0,1500,3103.83586
0,1500,3123.307756
0,1282,3141.588031
0,1486,3163.602928
0,1447,3182.838829
0,1433,3203.206865
0,1500,3224.462675
0,1407,3244.258397
0,1183,3260.937606
0,1278,3281.771056
174,1297,3300.579045
0,1320,3320.617254
0,1354,3338.265661
0,1500,3359.985209
0,1486,3381.772676
0,1221,3399.845283
0,1209,3416.451392
0,1198,3433.700441
0,1281,3452.939988
0,1135,3469.225162
0,967,3483.689073
0,1118,3499.830769
0,1026,3515.134736
0,954,3529.569042
0,1067,3545.273398
0,1035,3560.290575
0,1270,3579.031294
0,1182,3595.875385
0,1291,3615.164214
0,1462,3635.82711
0,1500,3656.353406
0,1500,3677.358378
0,1496,3698.052649
0,1500,3718.638368
8,1500,3739.65005
33,1500,3760.932262
0,1500,3783.561886
0,1500,3804.68408
0,1500,3825.620097
0,1500,3846.550243
6,1500,3867.535861
0,1500,3889.422418
0,1500,3910.373213
140,1500,3931.638833
7,1500,3954.926653
0,1500,3975.701778
0,1500,3997.030163
0,1500,4019.100641
3,1500,4039.8352
0,1500,4060.347527
0,1500,4081.437991
0,1500,4102.308951
17,1500,4122.335529
117,1500,4142.016298
44,1500,4160.781991
5,1500,4181.578626
0,1500,4202.953953
0,1500,4223.801653
0,1500,4245.052496
0,1500,4266.888705
278,1500,4288.725883
0,1500,4310.93538
33,1500,4331.51374
1,1500,4352.603614
0,1500,4373.572397
0,1500,4394.102296
0,1500,4414.777404
0,1500,4435.804502
0,1500,4455.282245
0,1500,4476.525039
0,1500,4498.785726
0,1500,4521.164264
41,1500,4542.686691
0,1500,4564.432107
0,1500,4586.315496
0,1500,4608.285442
0,1500,4629.897117
0,1500,4650.413789
0,1500,4670.991414
0,1500,4692.444687
0,1500,4713.826619
27,1500,4735.179925
0,1500,4756.492756
0,1500,4777.102703
0,1500,4801.627346
0,1500,4824.929042
0,1500,4848.659579
0,1500,4870.439975
2,1500,4895.174684
62,1500,4918.863567
0,1500,4942.140112
0,1500,4963.209163
0,1500,4984.01631
0,1500,5003.873004
0,1500,5025.436833
0,1500,5046.170945
0,1500,5065.824757
