#{"env_id": "SetDown-v3", "t_start": 1534350539.5723226}
r,l,t
0,2000,26.011844
0,2000,49.010736
0,2000,72.842261
0,2000,96.56629
0,2000,119.919233
0,2000,142.424625
0,2000,164.658761
0,2000,188.536727
0,2000,211.184174
0,2000,234.137999
15.075997,918,248.102194
7.616749,736,259.44267
23.715332,387,266.868237
6.899492,413,274.408348
0,417,282.910969
8.993631,521,291.472072
0,396,298.588188
0,322,305.988679
9.937631,274,312.435314
9.022236,546,322.378754
5.927033,498,331.270745
0,429,339.738455
5.798248,256,349.293032
0,342,359.138089
0,519,368.376926
10.564564,322,375.170031
0,257,381.471145
0,278,387.795357
0,286,393.587619
11.384728,399,403.031047
10.089544,356,410.124958
8.339456,249,415.558567
0,215,420.709771
25.432798,436,427.163221
45.06069,314,437.457463
18.088295,415,444.231308
0,315,449.77041
0,226,455.487123
0,429,461.103611
15.008945,210,465.139376
0,320,471.039133
0,258,477.726044
0,462,484.70413
9.424668,439,492.088811
0,402,499.415861
0,228,502.901727
0,230,507.98543
0,426,514.566855
0,353,526.657627
0,395,534.485593
0,392,539.940495
0,405,547.373593
0,248,552.657326
0,441,558.955521
0,442,567.200709
0,251,570.898002
12.95705,441,579.103189
6.759535,418,585.053562
32.603222,276,591.750283
10.535104,301,595.810592
14.493269,237,603.201379
6.68618,403,616.124202
0,345,622.327832
0,284,626.97949
0,361,633.581434
0,248,638.345319
12.203035,349,644.797817
0,324,650.440263
8.254441,435,657.008847
8.784831,341,663.183305
0,328,668.133214
8.515631,290,674.636415
35.783121,494,682.139243
0,495,696.895741
0,227,700.826439
0,284,706.924011
0,396,713.640537
6.634602,242,717.547924
0,291,724.254936
0,251,730.43979
7.98219,456,738.613874
0,351,745.41066
0,397,752.409925
0,246,757.258425
0,298,764.341523
0,328,775.108671
0,458,784.655154
0,332,790.44863
6.469603,329,796.91669
9.781751,298,803.784209
9.958201,470,811.751326
7.246801,299,819.025758
8.535396,339,825.787754
10.194111,238,831.805787
55.704672,282,838.793822
13.45788,391,847.463796
34.542469,253,852.012354
0,457,864.414033
69.142896,422,875.839048
9.159806,474,882.905508
0,242,889.37371
6.560813,423,896.205977
0,378,901.998137
8.961538,350,908.84906
0,433,915.825038
7.067505,403,922.839597
0,375,931.399367
0,457,940.226684
61.404755,196,946.52774
0,255,958.79015
0,404,965.883223
24.246036,346,971.717023
12.129814,369,981.018681
0,232,986.599657
9.213956,429,993.499872
0,369,1001.277232
26.366967,332,1008.907811
0,226,1014.287945
19.048185,388,1023.120956
0,234,1028.553154
0,326,1038.739431
0,443,1048.272485
0,426,1054.707876
0,223,1060.305721
7.416384,378,1067.894931
0,252,1073.60104
12.224661,257,1080.080091
0,361,1087.596705
10.709204,442,1095.290963
11.054271,413,1102.392435
6.709242,383,1111.32642
8.381177,483,1126.918588
9.755768,380,1134.379783
0,307,1141.109708
9.264947,251,1146.708471
0,477,1155.860523
8.072112,476,1163.935265
8.183535,336,1170.765119
0,418,1179.173324
0,463,1186.887296
0,338,1197.042608
9.591938,338,1207.384319
0,486,1216.756252
7.171035,295,1223.496793
16.343771,349,1231.352993
16.15503,276,1237.210611
0,418,1244.410805
6.929637,216,1249.17572
10.224462,264,1258.605894
9.422435,370,1273.505715
13.25403,398,1282.63994
0,222,1286.012275
0,403,1294.023846
0,419,1301.174948
15.422066,481,1309.723459
8.838581,346,1315.819819
8.001636,381,1325.774377
0,247,1329.952073
0,335,1335.274834
0,262,1349.780145
0,667,1360.871815
0,610,1370.413387
0,513,1380.348983
23.169989,468,1389.315403
6.546128,378,1396.378532
0,401,1402.546062
10.086858,421,1410.753524
0,432,1424.152275
8.560916,423,1434.291244
7.75181,371,1443.533345
0,249,1448.401406
29.446743,339,1454.79604
11.728375,400,1464.376345
0,462,1474.325047
18.724742,263,1480.760519
16.6772,301,1487.98672
7.881969,255,1492.560418
14.477681,419,1508.20609
8.699147,371,1516.935903
6.861998,232,1522.189757
0,325,1528.991264
0,401,1537.229606
8.281321,325,1544.163486
8.930437,305,1549.621787
25.002607,408,1558.268326
0,435,1567.23569
9.357176,257,1573.267832
0,277,1587.449981
12.15856,302,1595.034188
8.330608,325,1600.758912
10.510329,238,1604.982878
9.898988,447,1613.278154
9.889953,357,1621.948238
8.556088,303,1628.303667
0,242,1631.658055
0,515,1641.966841
0,130,1648.472771
7.524144,581,1661.199175
9.187148,455,1671.069413
0,228,1675.813088
0,360,1681.876019
13.548049,503,1690.611803
0,396,1699.636143
11.931786,300,1706.75748
0,247,1713.158106
7.769045,512,1727.205955
12.932179,441,1734.678938
0,296,1740.618963
0,424,1748.385561
10.195745,408,1756.798503
9.421626,372,1764.518199
0,328,1770.921097
7.025701,399,1777.766558
13.031032,446,1787.227483
8.761062,376,1794.782054
0,320,1804.45378
0,418,1817.731194
0,258,1824.384313
9.633262,265,1829.701969
9.276655,299,1835.39016
9.334692,442,1844.413353
9.548422,322,1850.386128
6.144288,515,1859.427192
0,490,1868.108686
6.981964,529,1878.119413
8.03099,327,1883.422195
9.252965,500,1898.73829
0,262,1908.177857
9.667408,501,1916.796329
0,407,1924.578491
8.609049,418,1933.104151
11.019158,445,1941.238253
0,459,1950.044639
