#{"env_id": "SetDown-v3", "t_start": 1534350540.07686}
r,l,t
0,2000,25.507406
0,2000,48.509809
0,2000,72.304867
0,2000,96.061569
0,2000,119.423861
0,2000,141.921392
0,2000,164.142623
0,2000,188.037256
0,2000,210.683841
0,2000,233.637591
6.377315,829,244.671235
0,676,255.67922
10.980304,389,263.415152
6.561266,445,271.555991
0,416,279.043225
9.314707,536,287.71593
0,400,295.055216
0,310,302.457398
17.671679,278,309.200106
12.720204,535,318.30688
0,497,327.301662
0,470,337.021651
10.096175,323,343.687777
0,351,358.625521
0,501,367.260978
8.271112,330,374.095239
0,255,380.42808
8.849793,281,386.757935
0,296,393.626423
0,390,401.976629
9.519354,355,409.108113
0,250,414.54818
0,222,419.774783
0,437,426.657365
0,314,436.950805
0,415,443.718498
0,315,449.269468
0,226,454.986974
0,429,460.600471
34.022818,222,466.238885
0,309,471.046503
0,255,475.893966
0,454,482.885136
0,450,492.139168
0,400,498.233958
0,230,503.168904
0,230,508.004986
0,426,514.799755
0,354,527.359969
7.325415,392,533.050891
0,392,538.731339
0,405,546.033915
0,248,551.388796
0,444,559.636053
0,439,565.746424
42.115905,253,571.083411
15.06525,437,577.082864
16.15228,419,584.128407
8.343945,277,590.499963
44.035807,304,596.487734
0,234,601.770635
0,399,615.074051
0,350,621.826486
0,284,626.474282
7.415729,359,631.907783
0,250,637.839659
11.355348,349,644.29496
12.649426,324,649.941391
0,436,657.269699
10.156251,339,662.058619
13.708801,330,668.635473
0,288,673.189131
0,496,683.50097
50.464932,493,695.968612
0,229,701.197539
14.159211,282,705.880362
0,395,712.220735
0,245,717.484562
7.988535,291,724.204141
0,251,730.598427
24.662142,468,739.753882
0,338,744.910961
0,397,751.908461
0,246,756.759096
7.97835,297,763.301013
0,328,773.342739
0,460,784.588866
11.230443,387,791.717489
0,322,799.894987
6.544683,313,806.517877
0,460,814.562173
0,293,820.615001
13.980949,352,827.54107
0,236,834.088529
0,237,839.782334
0,376,846.548599
7.900246,256,852.931171
12.649059,453,861.407296
0,423,874.740647
0,465,881.902526
0,251,888.182513
0,423,894.739806
0,380,902.260631
0,344,907.806192
0,440,916.300108
9.000028,385,921.74508
16.267224,389,930.026438
0,457,938.787905
3.527505,199,947.381562
18.713899,253,957.39166
0,404,964.729098
6.457086,355,972.223199
19.949739,359,979.434646
0,232,985.15657
0,433,993.889202
0,369,1001.664388
0,330,1008.398741
65.661034,227,1014.264693
0,366,1021.775005
0,224,1025.602626
0,355,1036.243036
0,501,1049.104961
11.41526,418,1055.717627
7.749449,284,1061.940232
0,398,1069.62102
9.214744,273,1076.030223
10.863336,256,1082.593526
16.755754,362,1090.245305
10.964824,440,1097.90484
0,382,1105.270216
17.470931,382,1116.046033
8.077101,450,1127.96029
20.99405,374,1135.379702
8.209325,299,1142.134433
0,234,1148.033418
8.762139,462,1156.062017
0,441,1164.285931
11.691321,336,1171.19425
0,415,1178.175315
10.687048,486,1186.984887
6.53648,319,1199.286687
0,334,1206.121073
0,455,1215.07467
7.460051,290,1221.7837
0,301,1228.610518
0,262,1233.393313
6.795699,423,1240.518277
0,219,1247.091177
0,249,1252.298179
16.906781,115,1265.087655
8.506545,411,1274.731709
0,226,1280.174087
0,352,1288.328938
0,439,1296.303412
0,500,1304.055671
0,358,1310.537018
0,361,1316.735092
0,265,1321.968602
9.984718,346,1329.452382
8.720672,338,1336.976312
0,258,1347.59562
10.466293,666,1359.376651
0,614,1371.065942
11.132837,559,1381.251937
9.477539,439,1389.423062
0,466,1398.201803
9.344479,434,1406.49913
27.852727,471,1414.965225
14.031111,417,1430.221911
8.327227,371,1437.960337
0,250,1443.963903
8.711554,319,1450.439481
17.567057,395,1458.958808
14.173634,473,1467.300849
16.118132,260,1473.376323
14.725645,308,1481.613446
6.775967,260,1487.910211
8.719708,416,1498.747544
9.327246,360,1510.08789
8.896447,232,1515.317109
22.980405,358,1522.933434
0,378,1531.233859
18.89368,336,1537.920264
13.15426,310,1544.715981
32.823932,411,1553.380698
8.491561,436,1561.426779
14.451571,241,1567.634501
0,315,1576.496192
0,213,1585.791661
0,299,1592.682759
0,236,1597.400652
22.44284,443,1607.765057
0,336,1613.194216
11.717714,295,1618.534629
0,248,1624.476184
0,439,1632.604174
0,348,1639.728162
2.961759,217,1649.692486
17.382154,609,1662.756413
0,264,1667.145122
8.150945,370,1673.113938
7.170177,472,1682.478976
9.390751,404,1689.620203
14.336605,290,1695.19347
9.599002,323,1701.944009
0,338,1714.096192
0,406,1724.772582
62.246215,348,1730.33995
6.397667,444,1737.785614
6.005977,426,1746.162476
0,395,1753.726936
0,333,1760.726704
9.972901,399,1768.652877
10.525352,447,1777.894543
0,370,1784.770944
0,397,1793.055146
8.49767,423,1808.280298
11.903154,271,1815.745994
0,292,1822.230257
0,267,1828.435354
9.514838,372,1836.013813
9.701641,297,1841.916415
11.267112,493,1851.206829
10.85307,527,1859.919042
0,514,1868.777275
0,314,1875.259363
10.115787,500,1884.891341
0,213,1891.737164
9.704564,446,1905.643746
9.049156,425,1913.588301
10.493901,454,1922.059191
0,448,1930.539225
0,488,1940.218173
0,441,1948.881549
0,350,1955.703859
0,314,1962.195838
6.717697,437,1970.53709
0,409,1986.489025
12.730246,269,1991.912641
9.240777,420,2000.197069
7.742384,484,2009.451132
21.686111,430,2016.988485
0,308,2023.703687
8.361717,331,2031.460228
9.279722,354,2038.389207
0,238,2043.574136
10.420203,289,2049.902653
8.553513,285,2057.004581
0,315,2064.043559
0,257,2075.194738
0,295,2081.543048
0,428,2089.432223
0,411,2097.32165
0,283,2103.871829
8.518087,351,2109.736694
0,279,2116.489261
8.508206,214,2121.996744
0,285,2128.259889
0,382,2136.89987
0,295,2143.855808
12.57456,419,2152.431806
0,198,2162.931047
0,485,2173.244874
0,299,2180.117001
0,391,2188.027074
9.789014,452,2196.959914
0,291,2203.178055
7.719849,438,2212.006298
0,363,2219.503993
0,342,2225.993912
0,486,2241.387347
12.189112,534,2251.24587
55.124082,492,2259.960405
0,524,2269.038253
14.494525,467,2277.67468
0,295,2283.05986
10.202134,426,2291.64166
8.387052,277,2298.809561
8.416113,275,2310.909318
47.289871,266,2318.32406
8.726908,271,2325.060271
0,259,2330.917954
18.785643,390,2339.296144
7.940505,412,2348.169583
7.541589,328,2354.214803
10.446187,332,2360.803562
14.707161,441,2370.499241
27.400208,394,2378.2381
11.603338,489,2388.465491
8.100265,465,2402.535223
13.6333,528,2412.08249
0,437,2420.517935
9.798778,312,2426.044569
0,241,2431.582464
0,267,2437.452176
0,407,2446.324096
15.246983,333,2453.14398
11.987114,285,2459.576649
0,134,2467.333599
10.286835,402,2478.781666
9.308037,269,2484.665537
0,276,2491.120707
42.546439,466,2500.164952
27.907198,376,2508.397212
7.80272,353,2514.245457
9.617508,234,2520.402642
12.18528,261,2526.684458
11.612485,417,2534.282283
0,309,2541.702524
0,255,2551.572849
12.28626,357,2562.199002
0,496,2572.619509
12.905357,356,2579.640605
10.194204,345,2585.770706
0,415,2594.893681
11.060043,251,2599.591309
0,232,2605.637921
9.597373,501,2615.897506
13.762452,416,2625.113366
0,432,2638.374562
8.494276,372,2649.058855
0,486,2658.461522
9.248469,262,2664.060937
0,482,2673.478232
0,314,2680.397678
9.106416,245,2685.759115
0,229,2691.230159
0,370,2698.870719
0,312,2708.579367
33.727193,231,2718.190029
0,464,2726.807884
11.229529,508,2737.196375
13.025211,509,2745.513961
11.667967,252,2750.358399
9.04829,343,2757.651515
10.933369,504,2765.782014
0,747,2778.846801
0,447,2787.101628
