#{"env_id": "SetDown-v3", "t_start": 1534350539.452086}
r,l,t
0,415,2426.043383
0,321,2433.583426
0,261,2439.32574
11.377493,255,2444.208722
8.482968,435,2454.223598
9.526219,329,2461.09718
0,274,2473.577332
63.900651,253,2480.217164
0,394,2489.00394
15.995395,287,2494.588613
10.639002,293,2500.196896
0,459,2510.109473
30.007428,385,2518.622444
10.58872,308,2524.93408
13.365076,231,2529.518024
12.377399,272,2536.054908
53.899614,404,2545.319353
0,261,2556.018815
0,262,2563.432929
0,353,2571.300572
0,474,2579.802771
13.084298,337,2585.857096
7.481498,383,2593.796701
13.180504,421,2603.789888
0,246,2609.055941
12.103622,249,2614.198653
11.956757,508,2625.099827
0,374,2633.781824
10.610846,446,2649.183722
14.498154,376,2655.909024
0,501,2667.12417
10.905308,271,2670.979137
0,477,2683.000747
11.133837,314,2689.742521
0,233,2694.414322
0,237,2700.032455
11.900279,298,2711.053697
0,351,2721.036288
10.064123,246,2726.04231
9.092823,516,2736.596461
9.96554,606,2747.125141
18.351128,519,2756.807187
20.308755,275,2761.218689
12.891435,299,2767.389577
9.644279,529,2777.09062
0,754,2790.410094
9.053484,460,2802.843497
10.283693,370,2811.575517
10.231806,449,2820.659587
18.695655,422,2828.918231
0,302,2835.364647
8.917205,338,2842.465641
0,258,2847.588153
0,413,2855.448709
7.895195,503,2863.652072
8.404047,480,2873.546998
7.106856,238,2881.118402
0,363,2893.273439
9.395394,258,2896.853387
0,412,2905.880658
15.770401,476,2916.245721
0,254,2921.028493
0,360,2927.049011
0,525,2938.231866
8.244818,397,2944.116869
0,402,2958.281162
0,695,2974.205758
13.184806,269,2977.376183
8.389449,563,2989.683005
0,312,2994.561246
0,628,3006.771849
9.446829,244,3011.058438
0,317,3017.704626
15.341173,351,3025.459934
10.390483,260,3032.043572
0,203,3040.050635
0,255,3049.591778
0,407,3058.349289
8.572839,260,3063.991164
0,278,3069.154887
10.040222,247,3074.678913
7.378611,398,3083.39265
13.62568,549,3093.279883
0,365,3100.646651
9.480202,377,3112.471991
10.545439,332,3120.895334
5.811799,332,3129.696524
0,245,3136.604823
25.485355,372,3146.88854
11.969096,229,3151.906687
9.373241,489,3162.758693
9.92895,474,3170.753326
9.956364,471,3179.792186
6.279737,458,3187.880019
24.181952,466,3196.484103
0,409,3204.064768
0,472,3212.38535
0,521,3221.329278
10.916052,350,3228.428034
0,444,3237.186735
8.416855,237,3242.425841
10.241487,243,3247.041102
0,559,3259.817271
8.152515,238,3264.610854
9.780204,306,3271.325753
18.488252,410,3280.590486
0,299,3286.867427
9.427622,497,3296.546484
0,608,3307.029792
0,648,3318.937829
8.793861,321,3325.230531
0,223,3328.786371
12.451272,710,3343.182292
6.911165,233,3348.536026
7.65309,511,3358.174979
7.191232,328,3365.147053
7.549196,302,3372.711265
11.093988,416,3380.357516
8.330147,330,3386.688434
0,449,3396.00824
0,273,3402.427409
0,268,3407.794806
8.873651,383,3416.606338
0,481,3425.597155
10.303763,362,3432.544519
9.595525,401,3440.050521
13.788721,569,3449.680268
16.511121,1303,3470.439727
0,429,3476.978906
8.509366,349,3482.89597
8.609876,710,3496.004983
17.301283,387,3502.677096
0,355,3509.039438
18.823088,518,3519.130726
35.484492,462,3527.860512
0,608,3538.597221
0,349,3545.571408
9.194728,313,3551.067799
17.297706,326,3558.451372
8.426627,559,3569.861037
15.771617,405,3577.96931
10.403211,247,3582.507275
10.815192,325,3589.59391
0,512,3601.485002
10.205524,326,3607.499581
0,304,3613.202228
15.771934,646,3626.321467
10.878751,265,3632.348626
0,516,3640.084386
9.851472,551,3650.024463
10.707676,376,3656.881089
55.710969,944,3672.676295
8.969339,469,3681.663337
13.727227,407,3689.484441
0,430,3697.113805
11.597154,579,3707.863654
9.371968,423,3715.699759
14.484508,228,3720.219097
13.45627,438,3729.042123
0,463,3739.541061
10.551363,444,3747.124756
12.092238,235,3752.28797
14.911051,399,3760.497968
0,431,3769.791104
0,279,3775.699222
0,408,3783.669201
0,257,3789.408139
8.409933,404,3797.933967
9.486591,380,3805.969723
11.797511,346,3813.812007
8.639513,348,3820.41533
10.563177,474,3830.415984
10.79799,598,3840.918172
0,446,3849.219621
9.241589,585,3860.958139
12.188896,248,3865.332135
0,549,3876.654757
23.037138,228,3881.150881
23.444821,579,3890.967484
17.213799,578,3901.625313
0,487,3911.465301
14.911093,295,3917.237731
10.378945,333,3922.623621
13.542036,495,3932.321861
18.284659,512,3942.488074
10.070799,962,3958.942765
6.950083,414,3966.770817
0,359,3972.384595
10.035833,571,3984.721841
8.770208,304,3989.595036
0,354,3996.073524
7.716695,475,4005.901769
10.110217,742,4018.938418
0,357,4026.337725
16.292285,229,4030.674229
12.875489,557,4041.453154
13.189731,896,4056.652314
0,432,4064.402918
7.352875,713,4076.275321
0,252,4081.160584
0,808,4093.782547
30.788632,837,4107.2364
13.006437,558,4116.523671
8.823856,495,4125.348783
0,594,4136.886044
0,295,4142.652688
0,415,4150.336995
8.924611,328,4156.976003
9.939208,487,4166.180784
0,353,4172.711576
8.052942,637,4185.295713
0,248,4190.954764
9.576667,308,4196.688327
0,426,4205.197162
11.087572,707,4218.556672
0,595,4229.405326
0,665,4240.610998
8.125285,658,4251.041435
12.395585,601,4262.241611
14.628767,374,4269.172727
10.856938,305,4274.544385
9.693201,445,4283.900566
22.308293,601,4294.725811
12.778177,453,4302.302179
0,563,4312.453785
21.089151,482,4321.606685
0,567,4332.245822
12.872101,358,4339.05788
6.75912,646,4351.025987
5.829864,267,4357.481659
6.994441,560,4366.952608
23.229111,456,4375.809933
0,503,4384.959837
11.373609,361,4392.424008
8.712082,259,4397.845233
12.033441,662,4409.209242
12.527877,678,4420.348482
10.461791,338,4426.459078
0,805,4440.106514
11.921335,576,4449.92823
10.13313,563,4459.177888
10.131544,691,4470.636069
9.22211,436,4478.119657
11.217662,957,4493.760487
0,593,4503.604838
0,603,4514.915009
10.118619,619,4525.944852
8.457935,372,4532.917878
0,320,4539.903482
17.212396,528,4550.202497
9.941368,272,4555.611823
11.51924,480,4565.877324
26.12019,708,4577.76772
0,578,4588.737039
0,307,4594.108375
7.679477,392,4601.803184
0,357,4609.173951
0,645,4622.010006
0,343,4627.945366
14.739209,862,4641.937732
7.419694,438,4648.82412
10.466707,491,4659.434106
0,647,4671.269878
9.9848,580,4681.753643
0,628,4693.007712
9.108854,473,4702.817537
0,405,4712.292686
10.191641,291,4718.301531
0,353,4725.282006
8.26911,279,4732.342309
8.005433,236,4738.033154
0,595,4750.75067
9.471484,634,4761.102633
11.87472,677,4772.707234
10.911912,533,4784.014554
19.394217,289,4789.363452
12.307789,678,4802.134463
9.5938,607,4813.591828
0,377,4821.201461
6.261645,534,4831.061354
60.515695,1038,4847.782902
0,281,4855.405725
10.643121,805,4868.403723
11.377442,322,4875.492059
10.530476,377,4882.517242
11.347866,341,4889.807249
9.15146,642,4900.113201
10.314436,752,4912.505781
0,758,4924.752866
7.919787,695,4936.263018
10.136144,378,4943.434848
8.455586,842,4956.991426
0,445,4964.245588
0,751,4977.23955
0,395,4986.063022
12.063288,417,4995.661354
10.02277,319,5001.928828
10.450723,277,5007.133969
31.887752,383,5016.281853
38.073215,383,5024.827375
9.022984,286,5030.494815
8.415634,441,5040.131263
0,329,5047.670144
19.609661,434,5056.853376
0,258,5061.609715
11.906124,253,5066.868147
0,303,5072.932727
25.092127,1047,5090.312605
8.890143,939,5106.710215
12.869579,416,5115.485061
9.120005,540,5126.272037
0,268,5131.875521
12.714043,258,5137.368424
16.690928,304,5144.78969
0,243,5149.783742
10.930981,412,5157.723979
16.029662,642,5170.36895
15.134299,860,5184.555588
10.960283,544,5194.160497
57.450713,257,5200.301304
11.651549,395,5209.203782
0,589,5220.273445
0,216,5225.072108
8.793718,270,5230.348969
10.219826,305,5236.592369
0,327,5243.341217
14.972522,450,5253.65738
8.684513,596,5266.100615
31.306994,312,5273.137331
0,204,5277.663797
10.773533,266,5283.098738
9.496489,226,5288.941822
0,461,5297.422515
8.528534,428,5305.633097
8.442118,488,5315.374077
9.044353,824,5330.841716
8.40385,423,5339.091861
0,411,5347.087901
11.443919,243,5352.59531
9.64007,258,5357.679273
13.298038,1074,5373.913329
10.561023,643,5383.910606
8.656825,259,5389.156644
9.643332,644,5400.004769
8.356429,712,5412.681765
0,549,5423.324822
8.751831,513,5433.394034
0,252,5439.362942
17.258465,297,5444.178041
0,521,5455.597179
0,442,5465.680449
0,409,5474.716319
15.892741,239,5479.641748
11.074803,347,5487.678911
16.770413,287,5494.03402
0,375,5501.794626
16.622353,402,5509.834471
10.981828,507,5519.326095
10.886402,280,5523.565858
0,344,5530.988648
10.239194,666,5542.406109
0,464,5550.688939
0,563,5560.914653
7.118095,401,5568.941065
10.314607,484,5577.626288
0,595,5589.365811
13.679534,577,5601.985646
0,257,5606.215269
15.741743,297,5613.15354
13.864091,421,5620.261195
0,600,5631.056904
0,260,5636.295445
13.949242,646,5647.468447
15.265178,415,5656.856967
8.79063,468,5665.325532
21.039112,535,5678.368492
0,227,5682.640764
0,367,5690.822266
11.991308,270,5697.103109
9.802842,228,5701.066464
0,460,5708.795944
13.714291,812,5721.162086
11.921767,749,5732.83029
33.707112,699,5745.063253
0,461,5753.119497
12.099103,934,5768.378296
0,471,5776.982541
0,631,5786.318165
17.696162,700,5798.298841
9.598009,639,5809.633356
28.851139,637,5821.138948
0,328,5826.452754
38.498385,586,5836.305524
0,594,5846.792127
13.783264,483,5856.683467
0,645,5869.801313
0,275,5875.059076
0,240,5881.228057
5.840203,331,5888.936121
0,504,5898.610054
19.361641,282,5905.209465
13.727155,336,5912.331473
8.502948,397,5919.261908
12.724389,333,5926.701939
0,397,5934.336324
9.164465,327,5940.691049
0,665,5952.220495
14.513185,392,5961.008075
8.562432,266,5966.604566
9.619432,577,5978.151609
27.310232,231,5984.331506
16.588365,254,5989.212235
