#{"env_id": "SetDown-v3", "t_start": 1534350538.7601492}
r,l,t
0,2000,26.826669
0,2000,49.822704
0,2000,73.621066
0,2000,97.382298
0,2000,120.731118
0,2000,143.25782
0,2000,165.461789
0,2000,189.349011
0,2000,212.008541
0,2000,234.98861
0,830,246.447937
0,676,257.622425
6.728792,494,266.298832
10.446667,426,274.579993
23.427604,396,282.712235
7.258097,586,292.817583
0,381,299.829644
0,322,307.316066
12.292077,285,313.772694
0,475,322.051524
8.78682,496,331.052632
27.229465,422,338.872831
0,306,344.452848
17.474217,345,358.206409
10.52158,499,366.659364
7.933268,321,373.870139
0,260,380.252629
10.318596,280,386.563855
10.881638,315,393.320151
0,377,401.681261
0,324,409.540028
0,266,414.831703
12.480052,251,419.823942
0,439,427.974791
10.196676,314,438.278941
14.592823,414,444.559694
0,317,451.284837
0,224,455.662091
0,431,462.856519
9.878925,219,466.429626
0,311,472.356762
0,255,477.20651
41.783609,465,485.977271
0,439,493.460544
0,402,500.958062
0,228,504.483413
0,228,508.276165
0,429,517.370223
0,352,527.988929
0,392,533.839635
0,396,541.819157
0,401,546.927867
0,245,551.750584
8.527838,452,561.414567
0,436,568.005204
0,251,571.711927
7.05901,441,579.906188
0,419,586.276625
0,273,591.024602
10.331453,303,596.626709
10.21554,237,604.021644
5.621096,406,617.872442
0,342,623.140546
0,284,627.801744
0,361,634.388232
0,248,639.16678
0,350,646.479754
0,324,652.330899
0,435,658.590588
13.182329,340,663.996212
0,328,668.936688
0,290,675.442205
9.415046,493,682.169308
0,496,697.709596
0,227,701.632728
18.083396,284,707.7538
0,396,714.451791
0,246,720.101772
0,289,725.936081
0,248,730.547122
7.57923,453,738.489136
6.103001,354,745.62778
0,391,752.330108
0,254,758.718307
0,284,763.022141
0,338,772.95269
7.702104,497,787.736751
0,353,793.671913
0,286,800.467083
0,330,807.264617
0,469,815.363127
12.120684,301,821.421366
9.430942,351,828.003361
10.319684,235,834.010219
0,240,841.09845
5.42505,387,849.692395
7.560032,246,855.068731
0,453,863.705482
6.951493,423,876.642744
0,475,884.167008
0,239,888.918501
8.396963,425,897.014122
0,378,902.80599
0,344,908.692096
20.675623,479,919.31146
6.907945,427,926.508341
9.105731,387,934.817168
0,443,943.423383
7.532238,136,949.671513
20.727885,254,960.893017
0,453,968.137362
11.495147,372,976.969454
17.869612,372,984.226503
8.044462,274,990.708315
8.358214,441,999.002628
9.9528,368,1006.552956
0,329,1013.300681
0,207,1018.946862
8.633003,396,1025.401577
0,243,1030.900451
30.445756,386,1044.732291
7.259815,459,1052.040928
8.534904,423,1060.113248
0,259,1065.684319
23.435186,392,1073.393708
0,258,1080.371362
8.950517,277,1086.470674
8.815772,359,1093.62541
0,439,1101.637222
0,403,1108.931522
7.721626,400,1123.303998
12.990417,489,1133.152505
9.292013,378,1140.281001
0,327,1148.932901
0,246,1153.424452
0,447,1161.559224
12.442955,444,1169.720378
8.84832,295,1176.369087
10.273471,457,1184.449307
0,416,1193.991184
0,157,1202.857875
0,333,1208.196523
7.779838,427,1214.502214
6.927,280,1221.820368
0,323,1228.254188
0,280,1236.203013
7.284519,423,1243.381385
8.36598,216,1248.404756
0,250,1254.160457
0,109,1263.709089
0,417,1276.726208
9.486518,217,1280.830412
7.102041,358,1288.622564
6.895039,430,1296.251995
6.610903,473,1304.211567
8.393133,393,1310.081151
8.148692,397,1319.841275
10.889268,274,1324.86566
0,337,1332.107238
0,305,1338.284818
0,258,1348.910872
0,667,1361.138175
0,611,1371.226389
0,459,1378.525532
10.127879,428,1386.984901
21.654474,444,1396.545285
7.79337,484,1406.201891
6.830307,489,1414.453633
0,422,1429.832454
6.6682,372,1437.814896
0,262,1442.526739
11.30494,327,1450.48789
14.059408,400,1458.847933
0,437,1467.574398
53.26125,251,1472.615034
0,298,1480.120632
0,238,1485.087928
8.998575,417,1494.346076
0,365,1507.667054
0,231,1513.358913
0,310,1520.423353
0,387,1528.905632
8.087389,317,1535.81055
0,318,1542.669153
0,412,1551.453804
8.997916,426,1560.172886
7.756742,244,1564.898381
7.509649,383,1572.952763
0,308,1586.112065
0,301,1594.756765
0,236,1599.296289
0,443,1609.721853
0,336,1615.081822
7.947003,295,1620.323366
0,248,1626.288875
0,440,1634.843704
0,345,1640.405185
0,217,1649.291886
0,582,1662.520586
9.940733,291,1667.935543
39.039924,392,1677.085096
22.768246,487,1684.927499
6.801335,408,1693.414956
11.412372,293,1697.292909
20.629936,322,1704.076264
0,297,1716.506902
0,254,1723.461269
6.87061,355,1729.499683
10.885438,515,1738.07056
6.71376,422,1746.395004
10.440505,398,1753.617152
6.3833,349,1760.09994
0,417,1768.751435
8.626891,448,1777.550551
0,367,1784.293081
0,384,1792.968837
9.385329,409,1803.152765
0,252,1815.124434
9.511029,255,1820.549965
0,276,1826.98154
45.344044,375,1834.610756
0,272,1840.572814
6.583126,489,1849.591043
37.532508,511,1858.103367
0,480,1866.280025
8.183315,296,1872.879877
0,511,1881.711851
7.087271,254,1887.109752
0,413,1901.745644
0,361,1910.969461
0,407,1918.810958
12.723229,479,1926.700783
19.786612,500,1936.366179
9.182501,459,1945.229994
9.787756,349,1951.905188
0,320,1958.641851
0,453,1967.27266
7.755341,426,1978.944221
11.84734,267,1989.198351
0,414,1996.739123
8.481405,505,2006.940142
8.265667,436,2014.543835
8.519047,315,2020.901565
9.569693,313,2027.201004
11.039563,354,2034.587325
13.029414,244,2040.535936
11.679161,289,2046.654808
8.821984,283,2053.637184
0,371,2060.797679
0,350,2072.464559
0,314,2081.798567
13.419881,431,2090.17602
0,432,2099.081525
0,281,2104.703823
13.038772,351,2110.633224
9.49989,312,2118.532375
8.236847,212,2124.11732
11.848164,292,2131.365995
8.946872,372,2138.879697
10.169823,312,2146.154776
11.426915,421,2155.059485
8.736645,318,2169.836745
8.444291,504,2179.401792
7.185865,298,2185.600802
11.984694,390,2194.130175
0,450,2203.210536
0,229,2207.418067
0,416,2215.537637
0,352,2223.100088
0,313,2229.167775
0,447,2243.278087
0,530,2253.691554
0,512,2262.553598
7.682216,512,2271.565029
13.966348,495,2280.250494
0,274,2286.171015
0,399,2293.933286
0,270,2299.253317
0,278,2310.499328
13.901442,267,2319.209557
24.363201,271,2325.923779
0,259,2331.697163
0,376,2340.060585
13.572822,425,2348.612231
9.404705,322,2354.994118
0,292,2360.91712
15.362394,449,2370.58506
0,377,2378.617496
29.231354,478,2387.142395
19.796874,473,2402.930418
9.790106,535,2412.454832
9.700583,428,2420.928722
8.673012,309,2425.988271
0,256,2431.595936
0,262,2437.485895
0,412,2446.293145
11.114309,299,2452.349515
0,284,2458.834334
11.552269,214,2466.26358
10.060835,378,2479.393785
0,299,2486.47236
9.980433,276,2492.868249
9.961341,465,2501.470082
9.087266,350,2508.517726
8.9268,321,2514.632411
15.735301,244,2520.871692
0,267,2527.189677
8.638847,420,2534.784227
13.16326,308,2542.173712
0,252,2549.238406
0,358,2562.768631
10.115484,480,2572.996604
0,350,2579.532215
0,352,2585.820826
11.34412,404,2593.001433
8.270533,248,2599.392223
21.645437,237,2605.772436
9.486901,519,2615.909599
0,412,2625.09974
7.736519,405,2635.511687
8.679853,405,2648.6781
11.822191,488,2658.933195
0,287,2663.839008
8.483446,475,2673.175927
15.880764,339,2681.150343
13.598689,245,2686.651492
8.916078,229,2692.06465
0,370,2699.73232
0,313,2709.905403
9.508218,230,2718.633267
0,490,2730.167713
8.65174,514,2739.726845
15.384831,558,2749.947214
30.429518,246,2753.277987
0,304,2759.716511
19.984312,503,2769.317273
6.636407,759,2781.99322
0,436,2789.118265
0,353,2797.689173
0,557,2813.099241
9.377332,412,2820.382277
11.509654,320,2827.731812
0,303,2833.481944
0,293,2839.935395
10.167826,416,2847.669842
0,433,2856.738383
11.263798,507,2864.94223
7.63202,374,2872.175694
0,320,2880.474582
0,238,2891.208385
0,395,2899.073893
10.443522,494,2907.797621
8.948757,246,2912.388577
0,305,2919.603818
0,485,2928.518052
9.187566,377,2935.764058
0,533,2946.934515
0,665,2966.701336
7.079057,281,2972.425814
11.201166,564,2982.250372
11.514366,264,2987.887612
0,710,3000.193761
19.48681,235,3005.145941
0,327,3010.931832
9.595808,330,3017.787019
0,273,3024.179316
13.273705,309,3031.272145
13.218956,259,3040.744977
11.087278,439,3054.395175
0,255,3060.118701
12.318358,299,3066.254869
7.747595,265,3071.706974
13.476199,407,3079.252354
0,490,3089.554107
9.175844,343,3096.23761
0,400,3105.364602
0,314,3114.603726
0,345,3124.663556
9.03609,245,3131.418515
11.035878,347,3140.653917
18.129582,231,3145.837111
9.845233,517,3156.513784
8.636,471,3165.920471
16.154866,466,3174.98684
10.476042,423,3183.419769
7.966378,455,3191.87511
8.98888,398,3198.973881
10.388096,478,3207.566722
0,525,3216.871871
8.714935,362,3224.07387
0,476,3231.803262
11.16047,233,3236.890954
0,252,3242.646582
0,516,3253.557309
9.110002,239,3258.481678
0,287,3265.83497
0,365,3273.94153
13.78453,298,3279.958482
0,491,3290.403413
8.331964,582,3300.909637
0,584,3311.8524
11.850404,291,3316.458968
0,221,3321.737689
8.340001,657,3333.757673
10.407886,278,3338.589816
0,486,3348.795815
0,400,3357.45171
7.290418,297,3364.200331
16.482651,392,3371.806936
8.005104,325,3379.021867
0,425,3386.46507
8.404825,282,3392.739876
10.575874,263,3397.91935
14.758066,333,3405.387167
9.58903,496,3415.965219
8.33186,327,3423.50725
0,436,3431.789494
10.770099,566,3441.578583
9.834745,1001,3458.131667
0,337,3462.742877
10.338983,373,3469.162445
0,1172,3487.654384
0,370,3494.774919
9.007475,416,3502.512734
8.662202,552,3512.365566
