#{"t_start": 1534282696.1268454, "env_id": "SetDown-v3"}
r,l,t
5,1500,16.98669
0,1500,33.295828
0,1500,49.315554
0,1500,63.253863
0,1500,78.544886
0,1500,93.72151
0,1500,109.736724
0,1500,124.155267
0,1500,139.773632
0,1500,155.956738
0,1500,171.934045
0,1500,186.445679
0,1500,202.194116
120,1500,217.51463
0,1500,231.691673
61,1500,247.133251
0,1500,262.902514
0,1500,278.887885
0,1500,292.820328
0,1500,308.424785
0,1500,323.556239
0,1500,339.549265
0,1500,353.794169
13,1500,368.972698
102,1500,383.889169
77,1500,399.64748
97,1500,413.324356
56,1500,428.232067
226,1500,444.652587
64,1500,458.840412
0,1500,474.932863
23,1500,491.019987
17,1500,506.48463
7,1500,521.468373
0,1500,536.586832
47,1500,552.372878
0,1500,568.237236
355,1500,582.273356
126,1500,597.59684
0,1500,615.09582
117,1500,631.594431
0,1500,646.806973
0,1500,662.496993
150,1500,678.320798
80,1500,692.404824
140,1500,709.144143
0,1500,725.150482
408,1500,741.785594
12,820,750.61804
0,1500,768.276446
145,1500,786.129385
0,1500,805.304771
289,1103,819.363242
0,1500,839.636935
0,1500,858.265673
0,1500,877.774147
0,1500,895.870645
92,1399,912.886221
249,1500,930.306355
0,1500,948.394341
0,1500,966.285491
0,1500,983.142049
267,1220,999.189699
0,1500,1016.990818
0,1500,1033.627837
0,1500,1051.305596
0,1500,1068.612002
0,1500,1086.276177
0,1500,1102.939019
35,1330,1121.437736
0,1500,1140.434233
476,833,1151.093279
0,1500,1168.229801
0,1500,1185.716494
29,763,1195.881506
0,1500,1213.983059
202,992,1226.272894
467,1274,1242.439995
247,647,1251.938441
113,733,1262.588984
0,1500,1281.793658
163,623,1292.239978
97,675,1301.654168
0,1500,1319.871086
0,1500,1336.30816
231,1211,1352.431388
339,1478,1370.32304
0,1500,1387.545548
273,1238,1402.972018
348,1224,1418.735557
231,854,1430.695294
0,1500,1447.8495
0,1500,1464.500388
0,1500,1482.067503
615,1315,1499.174087
565,1500,1519.752301
0,1500,1537.601119
431,1500,1555.269751
551,1500,1572.566663
0,1500,1588.448589
0,1500,1606.498717
437,1500,1624.757011
916,1500,1643.609442
0,1500,1659.826908
0,1500,1678.815667
0,1500,1697.181547
0,1500,1716.198142
911,1500,1733.104111
788,1500,1751.695384
527,1500,1769.724862
0,1500,1787.61207
0,1500,1804.679509
0,1500,1823.06887
622,1500,1842.016258
0,1500,1859.425319
843,1500,1877.44694
0,1500,1895.61474
600,1500,1913.559699
413,1500,1929.97183
0,1500,1948.145331
0,1500,1965.925006
0,1500,1984.108616
0,1500,2000.334856
0,1500,2018.000515
737,1500,2035.501429
309,1500,2052.976664
326,1500,2069.0348
717,1500,2085.915593
0,1500,2103.350966
0,1500,2119.957656
0,1500,2137.884953
650,1500,2155.022194
0,1500,2172.896852
386,1500,2189.671939
0,1500,2207.686306
129,1219,2223.997887
0,1500,2240.760484
772,1500,2258.451918
0,1500,2275.733075
0,1500,2293.094874
0,1500,2309.631925
73,1500,2327.343472
0,1500,2345.30675
295,1500,2363.035813
572,1500,2380.158292
0,1500,2397.33743
518,1500,2415.689217
602,1500,2431.964931
0,1500,2450.159698
0,1500,2468.220327
591,1500,2485.886061
0,1500,2501.553482
96,1500,2519.273319
0,1500,2536.114505
666,1500,2554.148717
232,1500,2570.438466
223,1500,2588.245901
856,1500,2605.711502
300,1500,2624.014879
311,1500,2640.142049
596,1500,2657.928961
636,1500,2675.236945
0,1500,2691.265072
0,1500,2708.521113
388,1500,2725.847902
0,1500,2743.857194
0,1500,2761.176787
397,1500,2779.874714
454,1500,2798.161271
520,1500,2815.716927
470,1500,2831.985433
562,1500,2849.824695
471,1500,2867.24803
340,1500,2887.431058
430,1500,2908.260032
628,1500,2927.9232
443,1500,2945.481016
541,1500,2961.685036
0,1500,2979.266216
793,1500,2996.862398
0,1500,3014.197955
0,1500,3031.425965
0,1500,3049.767735
802,1500,3066.799688
0,1500,3085.35871
442,1500,3101.70574
981,1500,3119.351413
665,1500,3136.673804
493,1500,3154.341427
916,1500,3170.762072
0,1500,3188.78546
0,1500,3206.461376
532,1500,3223.273777
614,1500,3241.237452
889,1500,3259.40234
0,1500,3277.365133
477,1500,3294.2455
0,1500,3312.470352
0,1500,3330.337408
275,1500,3348.214643
509,1500,3364.669247
0,1500,3382.69725
0,1500,3400.183052
0,1500,3417.266125
553,1500,3435.263069
0,1500,3453.382794
0,1500,3471.188408
0,1500,3487.444827
96,1500,3508.045544
385,1500,3531.097039
164,1500,3548.92797
104,1500,3566.038938
0,1500,3583.039965
0,1500,3601.747291
0,1500,3620.403116
0,1500,3636.852868
299,1500,3654.133724
162,1500,3671.982004
411,1500,3688.088565
224,1500,3705.723634
0,1500,3724.681703
0,1500,3742.390826
0,1500,3758.619925
14,1500,3776.024712
195,1500,3795.605165
83,1500,3814.615497
0,1500,3829.925214
220,1500,3847.959876
226,1500,3865.061342
0,1500,3882.325209
0,1500,3898.711195
0,1500,3916.435121
45,1500,3934.318992
0,1500,3951.243963
0,1500,3972.418037
0,1500,3990.843225
0,1500,4014.409064
28,1500,4030.246661
0,1500,4048.397662
