#{"t_start": 1534266201.965145, "env_id": "SetDown-v3"}
r,l,t
0,1500,16.512531
7,1500,32.928432
0,1500,48.688807
0,1500,63.381342
0,1500,78.702614
0,1500,93.832365
0,1500,109.515814
0,1500,123.408497
0,1500,139.109765
26,1500,155.105997
141,1500,177.417925
78,1500,191.572795
179,1500,207.183604
349,1500,222.599559
0,1500,237.606427
126,1500,252.935016
54,1500,267.751791
0,1500,283.132334
18,1500,297.645076
50,1500,312.467952
39,1500,328.388058
0,1500,344.14348
30,1500,359.106978
57,1500,374.741652
137,1500,390.163941
172,1500,406.681144
108,1500,421.336123
66,1500,437.074218
324,1500,453.051001
40,1500,467.417915
0,1500,482.128881
206,1500,497.006422
82,1500,512.021747
42,1500,526.464289
0,1500,542.233466
123,1500,558.371657
0,1500,573.300803
287,1500,587.891963
132,1500,603.545944
0,1500,619.29108
309,1500,635.602604
0,1500,649.440467
0,1500,665.012493
149,1500,685.164774
379,1500,703.064234
208,1500,719.467891
0,1500,734.936022
469,1500,750.952445
450,1500,764.865774
0,1500,780.077229
121,1500,795.012262
0,1500,809.80267
68,1500,823.76574
0,1500,839.137184
0,1500,853.970121
0,1500,875.085461
0,1500,888.587549
651,1500,903.71842
732,1500,918.486825
0,1500,933.291345
0,1500,948.804617
0,1500,963.670775
206,1500,980.235428
0,1500,996.240042
0,1500,1011.932463
0,1500,1027.346841
0,1500,1043.476143
0,1500,1057.626045
0,1500,1073.148808
50,1500,1088.941425
0,1500,1104.549725
144,1500,1119.38531
0,1500,1135.524671
0,1500,1151.544049
185,1500,1165.953715
0,1500,1181.020692
98,1500,1197.012556
48,1500,1213.027706
157,1500,1227.471755
165,1500,1242.495048
0,1500,1258.563905
560,1500,1274.590903
782,1500,1288.807778
0,1500,1304.861687
0,1500,1320.961617
534,1500,1335.910004
581,1500,1351.157922
0,1500,1366.786767
587,1500,1382.949519
501,1500,1397.566487
675,1500,1413.450443
0,1500,1429.350457
0,1500,1444.625497
0,1500,1458.983982
351,1500,1474.780266
236,1500,1490.803363
0,1500,1506.628942
248,1500,1520.204156
218,1500,1536.003121
0,1500,1551.805273
0,1500,1565.963392
318,1500,1581.557334
369,1500,1598.079351
0,1500,1614.245936
0,1500,1628.61115
0,1500,1644.17316
0,1500,1659.792253
407,1500,1675.772514
334,1500,1690.118957
202,1500,1705.490137
0,1500,1721.23031
0,1500,1737.458477
0,1500,1752.414378
0,1500,1768.353256
0,1500,1784.386478
469,1500,1798.82229
0,1500,1814.87396
357,1500,1830.920372
596,1500,1846.807253
0,1500,1861.108749
0,1500,1876.522546
0,1500,1892.531941
0,1500,1908.223712
0,1500,1922.684264
354,1500,1938.624314
19,1500,1954.323211
25,1500,1971.236595
85,1500,1985.427201
0,1500,2001.262638
0,1500,2017.424318
0,1500,2031.750557
885,1500,2048.238128
0,1500,2064.87171
456,1500,2081.197679
0,1500,2096.338986
616,1500,2112.017896
0,1500,2128.142549
706,1500,2144.152977
0,1500,2159.054321
0,1500,2174.565505
0,1500,2190.400656
543,1500,2206.122778
0,1500,2221.434672
168,1500,2238.085915
258,1500,2253.859563
0,1500,2268.342219
339,1500,2284.032511
508,1500,2299.982631
0,1500,2316.13528
0,1500,2330.863984
824,1500,2346.926479
0,1500,2363.04968
787,1500,2379.602623
0,1500,2394.655915
757,1500,2410.87079
492,1500,2426.732581
590,1500,2441.618535
964,1500,2457.067264
540,1500,2472.829262
506,1500,2489.454686
830,1500,2504.27257
647,1500,2519.191556
0,1500,2535.494644
0,1500,2550.97995
754,1500,2565.774626
0,1500,2581.760262
0,1500,2598.127136
679,1500,2614.557318
651,1500,2629.646219
756,1500,2645.506609
629,1500,2661.462975
770,1500,2676.488737
796,1500,2692.546815
440,1500,2708.755114
524,1500,2724.509978
675,1500,2739.357313
442,1500,2754.528486
595,1500,2770.428256
0,1500,2786.350539
957,1500,2800.914498
0,1500,2817.13079
0,1500,2833.135545
0,1500,2848.922546
681,1500,2863.294573
0,1500,2879.098614
436,1500,2894.774257
572,1500,2909.286245
442,1500,2925.29778
641,1500,2940.54634
740,1500,2956.519556
0,1500,2970.807378
0,1500,2986.913911
521,1500,3002.245921
735,1500,3018.116072
793,1500,3033.026545
0,1500,3048.866834
393,1500,3065.038934
0,1500,3081.3704
0,1500,3095.651645
467,1500,3110.915676
770,1500,3126.995016
0,1500,3141.323273
0,1500,3157.262743
0,1500,3173.08264
478,1500,3188.802425
0,1500,3203.060153
0,1500,3218.443182
0,1500,3234.180949
656,1500,3250.464142
743,1500,3265.263186
671,1500,3282.159201
455,1500,3298.462044
0,1500,3315.051013
0,1500,3330.008203
0,1500,3347.007175
0,1500,3363.210982
318,1500,3378.42427
459,1500,3394.341346
596,1500,3409.339055
