#{"t_start": 1534266201.083819, "env_id": "SetDown-v3"}
r,l,t
0,1500,17.405369
56,1500,33.817091
0,1500,49.525541
0,1500,64.26236
0,1500,79.583839
0,1500,94.721153
0,1500,110.435727
0,1500,124.289744
0,1500,139.991082
12,1500,155.980042
218,1500,178.282468
67,1500,192.4374
116,1500,208.05916
206,1500,223.480957
0,1500,238.468823
109,1500,253.816162
24,1500,268.63338
0,1500,284.013901
30,1500,298.523729
87,1500,313.349193
55,1500,329.269745
0,1500,345.024616
132,1500,359.988323
43,1500,375.623242
137,1500,391.036638
140,1500,407.562663
50,1500,422.206223
120,1500,437.954331
114,1500,453.935866
0,1500,468.299117
0,1500,483.015384
60,1500,497.896799
79,1500,512.903107
55,1500,527.345503
0,1500,543.121076
134,1500,559.252885
0,1500,574.181785
308,1500,588.748349
62,1500,604.433527
0,1500,620.177327
189,1500,636.48419
0,1500,650.319337
0,1500,665.903391
131,1500,686.014707
342,1500,703.937064
181,1500,720.337358
0,1500,735.818081
211,1500,751.827491
657,1500,765.756258
0,1500,780.958794
170,1500,795.919341
0,1500,810.690598
25,1500,824.647177
0,1500,840.011069
0,1500,854.853891
0,1500,875.951207
0,1500,889.468649
681,1500,904.609458
474,1500,919.36134
0,1500,934.181609
0,1500,949.671342
0,1500,964.549185
206,1500,981.106226
0,1500,997.11539
0,1500,1012.819461
0,1500,1028.228468
0,1500,1044.323508
0,1500,1058.507035
0,1500,1074.041346
65,1500,1089.82256
0,1500,1105.446576
120,1500,1120.253072
0,1500,1136.406546
0,1500,1152.414662
301,1500,1166.842604
0,1500,1181.902033
0,1500,1197.897765
14,1500,1213.908901
96,1500,1228.357075
261,1500,1243.376408
0,1500,1259.469264
430,1500,1275.485385
676,1500,1289.671175
0,1500,1305.718236
0,1500,1321.844501
442,1500,1336.791405
682,1500,1352.036893
0,1500,1367.647483
482,1500,1383.831176
499,1500,1398.447895
744,1500,1414.32841
0,1500,1430.192535
0,1500,1445.506956
0,1500,1459.872034
245,1500,1475.661821
309,1500,1491.694249
0,1500,1507.510076
258,1500,1521.097956
52,1500,1536.889845
0,1500,1552.668495
0,1500,1566.861068
74,1500,1582.4444
670,1500,1598.960652
0,1500,1615.125397
0,1500,1629.492282
0,1500,1645.039616
0,1500,1660.673624
402,1500,1676.653757
492,1500,1691.012166
439,1500,1706.38795
0,1500,1722.11192
0,1500,1738.32483
0,1500,1753.310732
55,1500,1769.220486
0,1500,1785.244434
474,1500,1799.70377
0,1500,1815.763758
251,1500,1831.801916
588,1500,1847.688667
0,1500,1861.980267
0,1500,1877.404103
0,1500,1893.413286
0,1500,1909.105131
0,1500,1923.560494
393,1500,1939.518933
5,1500,1955.206691
61,1500,1972.117961
146,1500,1986.308565
0,1500,2002.135117
0,1500,2018.305648
0,1500,2032.624585
767,1500,2049.119324
0,1500,2065.764024
388,1500,2082.079036
0,1500,2097.224934
597,1500,2112.888434
0,1500,2129.03195
902,1500,2145.033981
0,1500,2159.939779
0,1500,2175.446109
0,1500,2191.295836
458,1500,2207.004366
0,1500,2222.319792
145,1500,2238.971988
201,1500,2254.740805
0,1500,2269.22363
408,1500,2284.919949
559,1500,2300.864135
0,1500,2317.016764
0,1500,2331.744912
843,1500,2347.803903
0,1500,2363.93119
818,1500,2380.495893
0,1500,2395.520353
881,1500,2411.734972
509,1500,2427.613952
619,1500,2442.500095
906,1500,2457.948802
585,1500,2473.710367
