time_elapsed,nupdates,eprewmean,value_loss,policy_entropy,eplenmean,fps,approxkl,serial_timesteps,clipfrac,explained_variance,policy_loss,total_timesteps
22.272820711135864,1,1.75,0.024564365,1.6093235,1500.0,735,5.6075776e-05,2048,0.0,0.025565803050994873,-0.00011145419,16384
42.90837836265564,2,6.6875,0.24354717,1.609132,1500.0,796,8.4750645e-05,4096,0.0,-0.04499804973602295,-0.00015315533,32768
65.52913331985474,3,3.375,0.0025621012,1.6087697,1500.0,724,0.000112,6144,0.0,0.3238452672958374,-0.0002493264,49152
86.80998611450195,4,2.7,0.0011181084,1.6072878,1500.0,769,0.00054264074,8192,0.0,0.48237913846969604,-0.0010250304,65536
106.94111490249634,5,2.25,0.0013976874,1.6035763,1500.0,813,0.00031002008,10240,0.0,0.7543885558843613,-0.00054014084,81920
129.37826585769653,6,1.6875,0.0011795061,1.6008692,1500.0,730,0.000108326145,12288,0.0,0.536351889371872,-0.00026014858,98304
151.11506915092468,7,1.5,0.0006789983,1.5961835,1500.0,753,0.00064112147,14336,0.0,0.7842778414487839,-0.0010281737,114688
171.8259711265564,8,1.35,0.0012526263,1.58755,1500.0,791,0.0003954196,16384,0.0,0.8530942350625992,-0.00051157735,131072
193.48151683807373,9,1.125,0.0022134406,1.5842029,1500.0,756,7.624899e-05,18432,0.0,0.6726320087909698,-0.00038514155,147456
213.76585459709167,10,1.0384615384615385,0.0008026909,1.5829103,1500.0,807,4.258073e-05,20480,0.0,0.8176926672458649,-0.00012282502,163840
235.79537773132324,11,0.9,0.0010902187,1.5867022,1500.0,743,0.000104783045,22528,0.0,0.839120090007782,-0.00015241826,180224
256.2203359603882,12,0.84375,0.00045066522,1.5774287,1500.0,802,0.00018092329,24576,0.0,0.7989073842763901,-0.00032886793,196608
276.64757466316223,13,0.7941176470588235,0.00049218646,1.5796019,1500.0,802,7.165517e-05,26624,0.0,0.8361872732639313,-0.00025544164,212992
298.788569688797,14,0.7105263157894737,0.00037061892,1.5825182,1500.0,740,9.431988e-05,28672,0.0,0.689115583896637,-0.00017016758,229376
318.6014361381531,15,0.675,0.00029749,1.5740564,1500.0,826,0.00026715396,30720,0.0,0.6324219405651093,-0.00051507796,245760
338.49830055236816,16,0.6428571428571429,0.0001931291,1.5832485,1500.0,823,5.042819e-05,32768,0.0,0.8803814202547073,-0.00014324907,262144
359.9603908061981,17,0.5869565217391305,0.00020615447,1.5711637,1500.0,763,0.0002451379,34816,0.0,0.5190847218036652,-0.00064238487,278528
380.4169099330902,18,0.5625,0.00012414015,1.5680735,1500.0,800,0.00016965109,36864,0.0,0.685216635465622,-0.00041712355,294912
400.4637634754181,19,0.54,6.542911e-05,1.5812657,1500.0,817,0.00012571676,38912,0.0,0.44703441858291626,-0.0005511509,311296
422.56676721572876,20,0.5,0.00012324126,1.5666294,1500.0,741,0.00014623438,40960,0.0,0.5126170814037323,-0.00033132735,327680
441.7945783138275,21,0.48214285714285715,5.4050317e-05,1.5789684,1500.0,852,0.00014538303,43008,0.0,0.4960533380508423,-0.00018564108,344064
463.9679505825043,22,0.45,7.887396e-05,1.5832192,1500.0,738,0.00016205631,45056,0.0,0.6371641457080841,-0.0005446946,360448
484.3391959667206,23,0.43548387096774194,0.00016276319,1.5738647,1500.0,804,1.5587439e-05,47104,0.0,0.7824389338493347,-7.998928e-05,376832
504.1630713939667,24,0.421875,4.523283e-05,1.5796812,1500.0,826,0.00029417226,49152,0.0,0.6904334723949432,-0.0009909668,393216
526.2400102615356,25,0.39705882352941174,4.9820625e-05,1.5696796,1500.0,742,0.00016213048,51200,0.0,0.41994786262512207,-0.00057275646,409600
546.7157039642334,26,0.475,0.055900276,1.5615519,1500.0,800,0.00021910548,53248,0.0,0.013851821422576904,-0.0004149917,425984
566.1812455654144,27,0.4618055555555556,0.00023742905,1.5739145,1500.0,841,0.00011899875,55296,0.0,0.8793953880667686,-0.0002914788,442368
588.6365497112274,28,0.48,0.034877487,1.55185,1500.0,729,0.0002770188,57344,0.0,0.11773520708084106,-0.0005729165,458752
608.8310956954956,29,0.31,0.00031652788,1.5643063,1500.0,811,0.00016654126,59392,0.0,0.8361683338880539,-0.00037615089,475136
629.2586591243744,30,0.4666666666666667,0.25042465,1.5673273,1500.0,802,3.768337e-05,61440,0.0,0.11139094829559326,-0.00010990103,491520
650.7440054416656,31,1.1833333333333333,0.77449596,1.5509027,1500.0,762,7.427829e-05,63488,0.0,0.1173863410949707,-0.00017942558,507904
670.7447309494019,32,1.56,0.31522804,1.5623422,1500.0,819,6.139504e-05,65536,0.0,0.15377825498580933,-0.0001455077,524288
691.9414565563202,33,1.56,0.0011089732,1.5586016,1500.0,772,6.202538e-05,67584,0.0,0.8074423372745514,-0.00011814227,540672
711.8898611068726,34,1.56,0.0008332144,1.5395113,1500.0,821,0.00044371415,69632,1.2207031e-05,0.835796594619751,-0.00058611966,557056
732.3571300506592,35,1.6266666666666667,0.02488141,1.5501981,1500.0,800,8.3835526e-05,71680,0.0,0.5229561626911163,-0.00015741182,573440
753.8276991844177,36,1.6266666666666667,0.0009959899,1.5163696,1500.0,763,0.002544451,73728,0.017095948,0.8178986459970474,-0.002692376,589824
