eprewmean,eplenmean,explained_variance,policy_entropy,value_loss,policy_loss,time_elapsed,fps,serial_timesteps,nupdates,approxkl,total_timesteps,clipfrac
66.20833333333333,1501.0,0.27319884300231934,1.5947332,6.5492866e-05,-0.0002973163,299.88451623916626,543,19456,38,9.996346e-05,155648,0.0
62.55769230769231,1501.0,0.015088379383087158,1.5953459,2.9591131,-0.00016242698,309.59709119796753,421,19968,39,5.373849e-05,159744,0.0
62.55769230769231,1501.0,0.32812434434890747,1.5950729,0.00040864813,-0.00010621567,316.30026388168335,611,20480,40,7.1791095e-05,163840,0.0
62.55769230769231,1501.0,-0.008824586868286133,1.5958732,2.4471796,-0.00053964567,323.33432507514954,582,20992,41,0.00012368726,167936,0.0
56.162757125,1501.0,0.0014360547065734863,1.5979161,0.7386802,7.618644e-05,332.37132453918457,453,21504,42,7.719532e-06,172032,0.0
56.162757125,1501.0,0.34722089767456055,1.5984367,0.0004946748,-0.00039671082,339.5525622367859,570,22016,43,0.00016491523,176128,0.0
52.41857331666667,1501.0,0.2460172176361084,1.5974164,0.00024107023,-0.00013630434,348.31606936454773,467,22528,44,8.62972e-05,180224,0.0
52.41857331666667,1501.0,-0.31516313552856445,1.5952967,0.00043273743,-0.0001466025,355.42978835105896,575,23040,45,6.9495734e-05,184320,0.0
52.41857331666667,1501.0,0.00307309627532959,1.5967288,0.00010410671,-0.00043686316,362.6083915233612,570,23552,46,0.0001517409,188416,0.0
49.376787484375,1501.0,0.004472672939300537,1.5984904,0.4109864,-0.00027589878,370.82326793670654,498,24064,47,9.994684e-05,192512,0.0
49.376787484375,1501.0,-0.055452942848205566,1.5986265,0.000295413,-0.00018395418,377.6298131942749,601,24576,48,8.037613e-05,196608,0.0
49.376787484375,1501.0,0.3039945960044861,1.5983262,8.5264386e-05,-0.00040884208,384.6243965625763,585,25088,49,0.00012820451,200704,0.0
46.472270573529414,1501.0,0.13206148147583008,1.5976712,0.00012576878,-6.760649e-05,399.69697070121765,271,25600,50,3.59792e-05,204800,0.0
46.472270573529414,1501.0,0.05545228719711304,1.5995015,0.00010505662,-0.00025924193,406.51525473594666,600,26112,51,0.00010128001,208896,0.0
46.472270573529414,1501.0,0.004650294780731201,1.5997925,11.475003,5.83454e-05,413.71963143348694,568,26624,52,8.032459e-06,212992,0.0
51.23769998611111,1501.0,0.029499590396881104,1.59874,14.24514,-0.0001445647,422.3840091228485,472,27136,53,5.2555217e-05,217088,0.0
51.23769998611111,1501.0,-0.33228862285614014,1.5967526,0.000306647,-0.0002875044,429.6100859642029,566,27648,54,0.00012760125,221184,0.0
51.23769998611111,1501.0,-0.08377444744110107,1.5957528,0.00018435622,-9.6953125e-05,436.6754596233368,579,28160,55,5.962423e-05,225280,0.0
48.54097893421053,1501.0,-1.1958084106445312,1.5957823,0.00027891734,-0.0006122394,445.3137381076813,474,28672,56,0.0001631464,229376,0.0
48.54097893421053,1501.0,-0.2513922452926636,1.595333,0.00013834325,-9.59704e-05,452.5304892063141,567,29184,57,3.6069454e-05,233472,0.0
48.54097893421053,1501.0,-0.3274332284927368,1.5951594,8.592022e-05,-0.0005440925,459.2790961265564,606,29696,58,0.00014740297,237568,0.0
46.1139299875,1501.0,0.7428106069564819,1.5937128,0.0001671816,-0.00034236265,468.0470161437988,467,30208,59,0.00010791,241664,0.0
46.1139299875,1501.0,-0.17322266101837158,1.5924028,4.9966115e-05,-8.514529e-05,475.30954790115356,564,30720,60,8.171626e-05,245760,0.0
46.1139299875,1501.0,0.04739522933959961,1.5899134,5.934374e-05,-0.00046502717,482.17961740493774,596,31232,61,0.00014554897,249856,0.0
43.91802855952381,1501.0,0.7202282249927521,1.5878248,0.00023544404,-0.00016118433,492.98309659957886,379,31744,62,5.5041262e-05,253952,0.0
43.91802855952381,1501.0,-0.07815039157867432,1.5888907,0.00023058626,2.5816582e-05,503.87179255485535,376,32256,63,4.3854492e-05,258048,0.0
43.91802855952381,1501.0,-0.021510839462280273,1.589744,0.000128811,-0.0003040945,513.5659809112549,422,32768,64,0.000101548365,262144,0.0
41.92175453409091,1501.0,0.6556288003921509,1.5899262,0.00026301175,-9.249404e-05,524.4498624801636,376,33280,65,4.4212255e-05,266240,0.0
41.92175453409091,1501.0,-0.5500484704971313,1.5876497,1.862823e-05,-0.00016514021,532.9111340045929,484,33792,66,5.8835652e-05,270336,0.0
41.92175453409091,1501.0,-0.6241157054901123,1.5855093,2.1736227e-05,2.280266e-05,541.0222942829132,505,34304,67,1.9394076e-05,274432,0.0
40.09906955434783,1501.0,-0.046804189682006836,1.5871104,5.8333007e-05,-0.00024903278,550.4124312400818,436,34816,68,0.000110615794,278528,0.0
