#{"t_start": 1533671746.3105984, "env_id": "SetDown-v3"}
r,l,t
0,1501,21.941792
0,1501,45.058273
0,1501,67.268026
0,1501,90.727212
0,1501,113.026956
0,1501,135.804278
0,1501,160.918073
0,1501,183.762634
0,1501,206.604264
757,1501,229.296488
0,1501,255.462426
0,1501,279.013009
0,1501,302.571865
-33.803987,1501,325.702281
0,1501,346.221902
0,1501,368.348557
0,1501,394.49013
0,1501,419.328253
0,1501,441.801584
0,1501,464.271461
0,1501,487.058916
0,1501,518.857213
0,1501,545.346028
0,1501,569.332321
0,1501,592.044946
0,1501,614.199983
0,1501,636.412144
0,1501,658.382462
0,1501,681.119913
0,1501,701.270783
0,1501,724.288829
136,1501,754.571147
0,1501,780.002605
0,1501,803.694449
0,1501,827.138653
0,1501,849.736667
0,1501,873.020155
0,1501,895.691674
0,1501,918.096067
0,1501,946.805063
0,1501,969.310064
0,1501,992.25308
0,1501,1015.52466
0,1501,1035.315769
0,1501,1064.722003
514,1501,1088.031797
0,1501,1111.517223
0,1501,1134.004316
18,1501,1163.910537
0,1501,1186.823751
0,1501,1209.576773
305,1501,1233.252696
0,1501,1262.602461
0,1501,1285.116665
0,1501,1307.888127
0,1501,1330.295418
0,1501,1352.320876
0,1501,1376.572291
0,1501,1397.596857
-48.600048,1501,1419.686497
-0.052852,1501,1443.236904
0,1501,1465.700228
24,1501,1487.477063
0,1501,1517.074596
0,1501,1539.239015
0,1501,1561.865254
0,1501,1584.802243
0,1501,1607.793859
-37.075692,1501,1630.409379
0,1501,1653.064873
0,1501,1675.128631
0,1501,1705.511626
0,1501,1728.044989
0,1501,1748.363096
706,1501,1771.250325
0,1501,1793.115789
0,1501,1824.549907
0,1501,1850.804822
750,1501,1874.453037
0,1501,1897.116327
0,1501,1919.534173
0,1501,1941.64008
865,1501,1964.841024
0,1501,1987.623581
0,1501,2010.800137
0,1501,2034.244444
0,1501,2057.860186
35,1501,2079.048106
0,1501,2101.727515
0,1501,2124.968664
0,1501,2147.647462
0,1501,2178.111925
0,1501,2199.79668
0,1501,2222.521636
623,1501,2244.889706
0,1501,2267.698388
-525.727,1501,2295.66233
0,1501,2318.917371
0,1501,2341.134144
227,1501,2365.920174
102,1501,2390.435386
0,1501,2420.261829
32,1501,2440.00402
237,1501,2463.330932
174,1501,2487.320699
347.308326,1501,2510.544909
-198.1312,1501,2532.919207
-194.997945,1501,2554.958801
-651.83572,1501,2579.949302
-221.240699,1501,2603.568079
166,1501,2627.542589
-741.928993,1501,2650.863326
43,1501,2673.553047
-693.466144,1501,2696.480824
8,1501,2719.795961
0,1501,2742.804689
847,1501,2769.497176
174,1501,2790.246766
245,1501,2813.978975
401,1501,2838.041095
0,1501,2864.553169
76,1465,2889.274729
29,1501,2913.425321
0,1501,2937.854978
418,1501,2963.350032
318,1501,2989.424102
414,1501,3014.220115
112,1501,3039.63421
0,1205,3063.398934
744,1187,3091.648491
428,1501,3117.66442
427,1103,3135.371877
239,1501,3162.738776
137,1501,3187.677224
0,874,3204.989085
530,1243,3234.255188
0,1031,3254.695958
356,1501,3281.926588
0,1063,3302.051788
688,1392,3334.248331
0,1501,3360.59972
733,1329,3386.244513
0,1501,3418.297909
428,1501,3444.108852
48,1501,3468.066401
0,1128,3498.90459
568,1501,3524.837892
208,1501,3551.156345
338,1501,3581.937551
413,1482,3609.019362
150,1501,3635.303607
472,1501,3669.250477
478,1148,3691.068174
208,1344,3717.466934
397,1501,3752.932459
67,1146,3773.685359
333,1390,3799.506306
736,1501,3832.797791
781,1376,3859.556293
9,1501,3885.711372
176,1501,3916.560762
0,1501,3941.701764
0,1501,3967.606448
48,1501,4001.955261
927,1501,4029.428866
0,1326,4065.662439
712,1301,4088.753399
360,1501,4115.290281
0,1501,4150.430171
153,1501,4176.647567
500,1494,4204.113632
73.676138,1501,4239.447493
789,1390,4264.994422
697,1500,4299.71247
313,1389,4324.373964
618,1273,4356.391262
414,1501,4381.880004
367,1501,4413.473075
33,1501,4443.178679
265,1501,4467.595707
761,1501,4499.498539
55,1501,4527.403798
0,1501,4561.784139
319,1501,4588.665726
0,1440,4614.838361
244,1501,4649.664702
799,1424,4675.84031
492,1501,4710.124201
0,1501,4734.646297
207,1501,4763.338534
0,1501,4793.032521
165,1501,4822.210915
849,1471,4849.071756
591,1501,4873.795011
255,1501,4905.101048
787,1501,4932.248037
831,1501,4961.111425
