#{"t_start": 1533671746.1003463, "env_id": "SetDown-v3"}
r,l,t
0,1501,22.154448
21,1501,45.270733
0,1501,67.478416
0,1501,90.938604
0,1501,113.241887
0,1501,136.020761
0,1501,161.128606
0,1501,183.97274
0,1501,206.829815
882,1501,229.506779
0,1501,255.668867
0,1501,279.223395
0,1501,302.784201
-59.630623,1501,325.909337
0,1501,346.424499
0,1501,368.558766
0,1501,394.717114
435,1501,419.538561
0,1501,442.020849
0,1501,464.481964
0,1501,487.276739
0,1501,519.07001
0,1501,545.547849
0,1501,569.542419
0,1501,592.260251
0,1501,614.41047
0,1501,636.622433
0,1501,658.585004
0,1501,681.332547
0,1501,701.479966
0,1501,724.498952
2,1501,754.788367
0,1501,780.205289
0,1501,803.899026
0,1501,827.341623
275,1501,849.946813
0,1501,873.227247
0,1501,895.911018
0,1501,918.314942
0,1501,947.028961
0,1501,969.514374
0,1501,992.463297
0,1501,1015.735101
0,1501,1035.526102
-50.868636,1501,1064.935405
663,1501,1088.238954
0,1501,1111.726917
0,1501,1134.214855
0,1501,1164.123906
0,1501,1187.034199
0,1501,1209.805835
160,1501,1233.497762
0,1501,1262.812571
0,1501,1285.327106
0,1501,1308.098121
0,1501,1330.504586
0,1501,1352.531128
0,1501,1376.758997
0,1501,1397.807711
0,1501,1419.896715
0,1501,1443.44999
0,1501,1465.906275
0,1501,1487.691149
0,1501,1517.285889
0,1501,1539.451
0,1501,1562.075704
0,1501,1585.019023
0,1501,1608.015195
0,1501,1630.627083
0,1501,1653.272895
0,1501,1675.341031
0,1501,1705.718738
0,1501,1728.255346
0,1501,1748.573705
68,1501,1771.46061
21,1501,1793.326175
0,1501,1824.759911
0,1501,1851.016031
808,1501,1874.659549
0,1501,1897.328031
1,1501,1919.728789
0,1501,1941.856772
658,1501,1965.055737
31,1501,1987.842553
0,1501,2011.013209
0,1501,2034.453159
0,1501,2058.07035
39,1501,2079.261586
0,1501,2101.937982
0,1501,2125.174165
6,1501,2147.85901
0,1501,2178.322075
0,1501,2200.018994
0,1501,2222.723661
0,1501,2245.111136
0,1501,2267.920117
0,1501,2295.862852
0,1501,2319.130635
0,1501,2341.322484
9,1501,2366.120931
33,1501,2390.645713
0,1501,2420.483003
5,1501,2440.221323
18,1501,2463.540572
74,1501,2487.520349
817,1501,2510.750126
-558.856114,1501,2533.129766
-1210.636793,1501,2555.169031
309.128611,1501,2580.164945
-16.820931,1501,2603.761925
850,1501,2627.751362
-196.002795,1501,2651.083065
165.312557,1501,2673.753647
-64.919024,1501,2696.692381
0,1501,2720.009849
0,1501,2743.001837
362,1501,2769.717553
65,1501,2790.430227
0,1501,2814.192179
172,1501,2838.25834
0,1501,2864.760001
124,1483,2890.076975
147,1501,2914.327343
32,1501,2938.799707
551,1501,2964.206759
392,1501,2990.301781
336,1501,3015.012901
287,1501,3040.542941
0,1080,3060.732801
699,1209,3089.857815
231,1501,3116.189275
497,1310,3140.48248
130,1501,3167.839482
81,1501,3192.706564
0,936,3208.034536
289.974911,1275,3242.230767
0,1209,3264.713136
317,1501,3290.993808
0,1190,3318.21362
107,1349,3343.993453
649,1501,3370.433928
510,1199,3398.017654
246,1501,3424.249613
0,1501,3450.011899
682,1501,3483.508193
345,1053,3503.772492
659,1501,3529.708263
484,1501,3558.329183
338,1501,3589.715442
362,1457,3615.724158
-52.876106,1501,3642.672324
472,1501,3675.955868
765,1135,3697.411601
455,1449,3726.731455
160,1501,3761.350723
294,1157,3781.813639
365,1394,3807.834796
461,1501,3841.031038
592,1224,3862.650556
270,1501,3888.130691
357,1501,3921.919569
84,1501,3946.984392
0,1501,3973.343339
299,1501,4007.447674
765,1488,4035.812672
0,1295,4068.499095
277,1196,4089.967896
-16.717704,1501,4116.369959
54.615388,1501,4151.631857
7.0197,1501,4177.734231
24,1292,4201.717254
103,1501,4237.260119
693,1501,4264.332464
750,1456,4296.092269
272,1216,4320.494785
