approxkl,fps,serial_timesteps,eprewmean,value_loss,total_timesteps,policy_loss,eplenmean,clipfrac,time_elapsed,policy_entropy,nupdates,explained_variance
0.013247848,394,61500,8.165709,0.48001578,61500,-0.0062318607,1500.0,0.2554666,158.07324266433716,1.2159415,41,0.668897956609726
0.02514593,386,63000,6.401449,0.636775,63000,-0.0036302088,1500.0,0.09046667,161.95629453659058,1.1571826,42,0.6885056495666504
0.012290573,381,64500,4.409853,0.44666034,64500,-0.008955122,1500.0,0.2138,165.8855803012848,1.280909,43,0.6446897387504578
0.0053760414,389,66000,2.311132,0.45779124,66000,-0.0046332492,1500.0,0.039933313,169.73357272148132,1.2247572,44,0.7186129689216614
0.0082173,385,67500,7.138872,0.5267772,67500,-0.010562699,1500.0,0.16106668,173.62508702278137,1.064329,45,0.6143760681152344
0.008404178,391,69000,4.475277,0.31427175,69000,-0.0064753867,1500.0,0.1368,177.46140885353088,1.1553665,46,0.6775819063186646
0.011404004,382,70500,5.266249,0.39233997,70500,-0.0050448705,1500.0,0.16713333,181.3825397491455,1.1114193,47,0.6691275835037231
0.0050993715,387,72000,4.854665,0.47727492,72000,-0.0015420308,1500.0,0.04813333,185.25881242752075,1.049741,48,0.6097031533718109
0.005797379,390,73500,3.572762,0.46310496,73500,-0.002586637,1500.0,0.07679995,189.10195422172546,1.0598067,49,0.20660865306854248
0.005650741,388,75000,4.00801,0.43692413,75000,-0.0032945161,1500.0,0.070733294,192.96764063835144,1.0057213,50,0.4507465362548828
0.00855533,385,76500,4.473793,0.3399646,76500,-0.0032762839,1500.0,0.10633332,196.86265015602112,1.031726,51,0.6450506150722504
0.00654125,376,78000,0.478465,0.42068595,78000,-0.0025923979,1500.0,0.07993331,200.84949731826782,1.0034579,52,0.7285678386688232
0.009167693,388,79500,0.0,0.20156445,79500,-0.0065849065,1500.0,0.12113332,204.71518731117249,1.033499,53,0.6640714108943939
0.0071112798,393,81000,0.37781,0.34550053,81000,-0.009726585,1500.0,0.10386667,208.5304958820343,1.0315007,54,0.6274987757205963
0.011056666,390,82500,0.0,0.19870545,82500,-0.005534381,1500.0,0.16253334,212.37622928619385,1.0252995,55,0.5844264030456543
0.0065393443,389,84000,0.0,0.13206989,84000,-0.0036124203,1500.0,0.08259995,216.232435464859,1.0921586,56,0.7486011385917664
0.00936978,385,85500,2.526419,0.36360633,85500,-0.011214449,1500.0,0.1413333,220.12000632286072,1.0182045,57,0.7425256669521332
0.0075501692,394,87000,0.0,0.20806867,87000,-0.0045467597,1500.0,0.08679995,223.92011857032776,1.0257767,58,0.5974039435386658
0.009131911,391,88500,0.561785,0.38523528,88500,-0.0035226715,1500.0,0.12793334,227.75079989433289,0.99959487,59,0.5604606568813324
0.0075248675,369,90000,0.0,0.2826001,90000,-0.0057511185,1500.0,0.086333305,231.80970191955566,0.9514409,60,0.2858230471611023
0.008482984,394,91500,0.0,0.3293789,91500,-0.0064159967,1500.0,0.1122,235.60831809043884,1.0403358,61,0.4685528874397278
0.010500746,390,93000,0.0,0.46636447,93000,-0.0044106753,1500.0,0.15166669,239.44616198539734,1.0139799,62,0.5503367185592651
0.0077918507,391,94500,0.0,0.13815261,94500,-0.0044670794,1500.0,0.102333315,243.2763011455536,0.9594239,63,0.7005415558815002
0.011914278,390,96000,0.0,0.39859825,96000,-0.003926002,1500.0,0.06959998,247.11819696426392,0.9135856,64,0.4467813968658447
0.010908241,389,97500,0.0,0.13525806,97500,-0.0068713,1500.0,0.1554,250.97443771362305,0.85844964,65,0.29130131006240845
0.009430854,380,99000,0.0,0.42862165,99000,-0.009759046,1500.0,0.12306664,254.91928362846375,0.9612748,66,0.3740053176879883
0.008112338,365,100500,0.0,0.21605827,100500,-0.004492132,1500.0,0.13066663,259.0285382270813,1.0880802,67,0.20334398746490479
0.0069339876,392,102000,0.0,0.3520843,102000,-0.0030172179,1500.0,0.08279998,262.8512773513794,0.84221476,68,0.6354607045650482
0.0039173025,385,103500,0.0,0.29397586,103500,-0.001827283,1500.0,0.034533326,266.74510955810547,0.85575885,69,0.6677862703800201
0.009946905,385,105000,0.0,0.17595044,105000,-0.009356705,1500.0,0.15593332,270.63306403160095,0.8436243,70,0.5448881387710571
0.007020512,390,106500,0.0,0.22645697,106500,-0.003635203,1500.0,0.08353329,274.47836351394653,0.8068116,71,0.3944050073623657
