eplenmean,total_timesteps,fps,explained_variance,serial_timesteps,eprewmean,policy_entropy,value_loss,clipfrac,nupdates,approxkl,time_elapsed,policy_loss
1500.0,60000,341,0.9581589475274086,60000,897.520224,1.0313817,19.038546,0.051933326,40,0.004214908,171.40637135505676,-0.0031892809
1051.0,61500,365,0.9615786895155907,61500,405.599295,0.63849854,21.194073,0.0008666667,41,0.0005752059,175.51388573646545,-0.0009041278
1500.0,63000,334,0.9667340256273746,63000,879.190729,1.0225106,19.468388,0.008866667,42,0.0016483,179.99459314346313,-0.0010978773
1021.0,64500,329,0.995250013191253,64500,425.894832,0.90289176,1.9695349,0.053666655,43,0.0037670785,184.54442429542542,-0.0034174037
929.0,66000,324,0.018065452575683594,66000,8898.921412,0.77651566,209662.22,0.0073333327,44,0.0018222275,189.16657710075378,-0.002259179
838.0,67500,334,0.9955615759827197,67500,272.728888,0.46341676,2.6215806,0.014199996,45,0.0012650288,193.65149593353271,-0.0012899034
939.0,69000,331,0.001750946044921875,69000,44067.230726,0.9682183,5504987.5,0.034666657,46,0.004012352,198.182133436203,-0.0037537864
1337.0,70500,333,0.99241226259619,70500,773.406052,1.0492231,2.7368853,0.041466657,47,0.0057879216,202.68519043922424,-0.0026361388
1013.0,72000,317,0.05324363708496094,72000,4472.392964,0.6067586,44776.164,0.0002,48,0.00050459703,207.40267252922058,-0.00081320346
1500.0,73500,357,0.9534826204180717,73500,858.461138,0.97811043,20.0684,0.0,49,0.00033917406,211.60259699821472,-0.00047381784
1500.0,75000,338,0.9489612765610218,75000,815.495889,0.9745329,22.758347,0.028866656,50,0.0029483663,216.0350124835968,-0.00094029674
1500.0,76500,328,0.9673481211066246,76500,872.713843,0.992893,18.29058,0.024199998,51,0.0023294422,220.60369277000427,-0.0014703107
890.0,78000,329,0.9266605824232101,78000,408.918818,0.84338677,37.918415,0.0032,52,0.00075691636,225.15407633781433,-0.0009251365
1500.0,79500,333,0.9534556157886982,79500,890.939771,0.99385536,19.736208,0.025199994,53,0.0038026017,229.6528422832489,-0.0032566136
1187.0,81000,352,0.9912422383204103,81000,674.334482,1.0590271,3.0653317,0.0152666615,54,0.0029872046,233.9125633239746,-0.0016730017
986.0,82500,335,0.9683022163808346,82500,414.957551,0.53158796,21.3051,0.0039999983,55,0.0005710496,238.38976073265076,-0.0018971015
1029.0,84000,354,0.9938722769729793,84000,449.419305,0.81749797,2.8407798,0.0021333334,56,0.00074751326,242.6248037815094,-0.0014435377
984.0,85500,350,0.9904491482302547,85500,502.429972,1.0427926,3.6268897,0.11053338,57,0.0070398175,246.90451574325562,-0.006460571
1136.0,87000,328,0.9311321303248405,87000,437.76689,0.71728534,45.616383,0.025799992,58,0.0022077307,251.4671459197998,-0.0038173061
1500.0,88500,353,0.9583852477371693,88500,946.355996,1.1074018,19.78526,0.00046666668,59,0.0010167058,255.70964908599854,-0.000256792
1274.0,90000,359,0.9943233318626881,90000,732.869962,0.86778855,3.3307104,0.0008,60,0.00049244816,259.88386845588684,-0.00080539315
1188.0,91500,355,0.9941214588470757,91500,620.210787,0.8823327,3.6348488,0.008800001,61,0.0013358057,264.1002268791199,-0.0014551656
1500.0,93000,367,0.9509515725076199,93000,762.187129,1.1058116,21.51776,0.0036666663,62,0.0016748643,268.1845963001251,-0.0011780116
1500.0,94500,354,0.9660182222723961,94500,939.581152,0.94403666,20.046646,0.017199999,63,0.00172733,272.4193513393402,-0.0012692102
1181.0,96000,358,0.9948122329078615,96000,564.485217,1.0371032,2.4588654,0.009733333,64,0.0012116785,276.60766220092773,-0.0015271625
1500.0,97500,369,0.9453732632100582,97500,832.193827,1.0479844,19.717001,0.0152,65,0.002913613,280.6709575653076,-0.0021470499
