epoch,acc,loss,val_acc,val_loss
0,0.6925991309530297,1.7135153000190495,0.7920772303595206,0.4713768759040477
1,0.8115188202409954,0.43238914699366315,0.8261567909454062,0.39451879974052845
2,0.8435188951412065,0.3765164779288527,0.85866344873502,0.3512303141160272
3,0.859763918697371,0.3458559527762557,0.8795522636484687,0.32542833726748965
4,0.871628320185981,0.32461826098688984,0.8570614181091878,0.33807365241126913
5,0.8785253812884529,0.3110819851348495,0.837874500665779,0.3902238401528522
6,0.8835072856079941,0.3022291366691419,0.9081100199733688,0.26434087599323847
7,0.888870972943897,0.29221698801574675,0.8736268308921438,0.30744766878700763
8,0.8921738641960726,0.2859698602619755,0.9032123834886817,0.26741478150281384
9,0.8953696065322091,0.2808814439195963,0.9081433089214381,0.26234504159058775
10,0.8979234956722288,0.2766628657768178,0.9059420772303595,0.2528060495456589
11,0.9005335599734057,0.27220538490388246,0.9164489014647137,0.25440984106016223
12,0.9023738165492319,0.26911436406635186,0.9241095206391478,0.23689482531518974
13,0.9053677444287472,0.2643848004199619,0.9018475366178429,0.2651911974191348
14,0.9047987108866872,0.26393839491530396,0.9217751331557923,0.2509657676583441
15,0.906795009563955,0.26146649486798623,0.9006324900133156,0.2770849341162035
16,0.9087715429122096,0.2576039312324781,0.9086259986684421,0.2552535177229565
17,0.9093998724586708,0.2563833385703871,0.9262774633821571,0.23975319131395312
