serial_timesteps,fps,policy_entropy,value_loss,eplenmean,approxkl,explained_variance,eprewmean,policy_loss,clipfrac,time_elapsed,total_timesteps,nupdates
60000,372,1.0516152,22.323341,1500.0,0.0024679399,0.9415984861552715,624.063127,-0.0019402899,0.017066665,156.44132828712463,60000,40
61500,384,0.94893295,17.675514,1500.0,0.007573126,0.953249167650938,900.492501,-0.0044653807,0.08079996,160.3412594795227,61500,41
63000,391,0.9084603,19.74958,1500.0,0.0077970047,0.9444608502089977,973.932196,-0.0057925107,0.10079997,164.1716058254242,63000,42
64500,389,0.9058313,20.972095,1500.0,0.0011336434,0.9494162276387215,953.726254,-0.0007770267,0.006133333,168.02494287490845,64500,43
66000,388,0.88674253,23.662024,1500.0,0.008132704,0.9577892795205116,855.494311,-0.005940114,0.11046666,171.88459825515747,66000,44
67500,393,0.9854989,17.953114,1500.0,0.00042258785,0.9607327878475189,758.091062,-0.0012620245,0.0011333334,175.6938202381134,67500,45
69000,387,0.9447116,21.963825,1500.0,0.00378446,0.9594844691455364,851.325185,-0.0024382481,0.040599994,179.56124353408813,69000,46
70500,390,1.0632544,19.37811,1500.0,0.0024436389,0.9501141645014286,788.913746,-0.0021542937,0.009733334,183.4015760421753,70500,47
72000,383,0.9457269,20.965893,1500.0,0.0031317004,0.9609976224601269,898.505428,-0.0021087173,0.02893332,187.3103334903717,72000,48
73500,370,1.0358218,25.204796,1500.0,0.002967434,0.9354307353496552,814.815918,-0.002407144,0.033600006,191.35457730293274,73500,49
75000,382,0.9051103,19.71832,1500.0,0.00020156607,0.9673416204750538,940.966087,-0.0003052128,0.0,195.27632451057434,75000,50
76500,385,1.0213974,24.116,1500.0,0.00015899754,0.9528056271374226,672.525779,-0.00035592902,0.0,199.16917157173157,76500,51
78000,395,1.0208933,20.871132,1500.0,0.001204905,0.9595255143940449,643.625746,-0.0009452214,0.0015333333,202.9666883945465,78000,52
79500,381,1.0016372,17.26903,1500.0,0.00031078796,0.9602397978305817,803.649412,-0.000810367,0.00013333333,206.9038360118866,79500,53
81000,386,0.9011045,19.286686,1500.0,0.005303884,0.9587503969669342,874.63294,-0.003119406,0.068399966,210.78320860862732,81000,54
82500,382,0.8857411,26.249409,1500.0,0.0035867624,0.9374263882637024,800.083961,-0.0016025059,0.020399999,214.70596361160278,82500,55
84000,390,0.9258065,19.221003,1500.0,0.0020993357,0.9586202949285507,802.991387,-0.0013710228,0.033599988,218.55054020881653,84000,56
85500,390,0.9556278,20.038507,1500.0,0.0016576742,0.9515389986336231,892.358725,-0.001578552,0.008933335,222.38964533805847,85500,57
87000,383,0.96759826,20.998154,1500.0,0.0060424265,0.9509882628917694,892.076936,-0.0068724127,0.058866635,226.29729580879211,87000,58
88500,386,0.9289706,19.136406,1500.0,0.00212251,0.9613515920937061,869.938838,-0.0027461916,0.022133328,230.18308115005493,88500,59
90000,391,1.0063995,20.140886,1500.0,0.0053056525,0.9485631212592125,856.799019,-0.0026696364,0.071333334,234.0185718536377,90000,60
91500,379,0.99566627,19.561361,1500.0,0.0035981918,0.9594300761818886,908.688287,-0.0018671054,0.010133332,237.97193264961243,91500,61
93000,373,1.0229567,22.914854,1500.0,0.00257438,0.951138012111187,885.015035,-0.0028352162,0.008866667,241.98760747909546,93000,62
94500,392,0.9705974,22.827461,1500.0,0.00091913133,0.9509177058935165,747.018755,-0.00043274194,0.0010666667,245.8102331161499,94500,63
96000,381,0.9503861,19.866276,1500.0,0.0033452748,0.9593472480773926,846.704442,-0.0018457993,0.042533327,249.73839211463928,96000,64
97500,382,0.94464815,19.673038,1500.0,0.0032461095,0.9588777720928192,847.045419,-0.001484994,0.027466666,253.66042160987854,97500,65
99000,374,1.0096517,21.291853,1500.0,0.0015673636,0.9471529461443424,805.563219,-0.0016927172,0.0018666665,257.6673815250397,99000,66
100500,385,0.9006677,19.495064,1500.0,0.0002380198,0.9670312404632568,847.385474,-0.00030456894,0.0006666667,261.5575671195984,100500,67
102000,371,0.982478,8.107391,1329.0,0.0017559037,0.9858209332451224,606.338977,-0.002474879,0.019199999,265.5939815044403,102000,68
103500,391,1.0860507,18.98636,1500.0,0.00038411547,0.9424774497747421,776.467075,-0.0003349832,0.0,269.4226088523865,103500,69
105000,385,1.07053,21.813887,1500.0,0.0025763058,0.9370440915226936,919.549224,-0.0015501998,0.0112,273.3188669681549,105000,70
106500,392,0.95607066,20.731146,1500.0,0.0021154375,0.963577926158905,909.820782,-0.004088919,0.028000003,277.14485931396484,106500,71
108000,366,1.0697881,19.33903,1500.0,9.6874115e-05,0.9549948275089264,829.961993,-0.0001713762,0.0,281.2362253665924,108000,72
109500,375,1.0111784,24.018589,1500.0,0.0004311005,0.9488665536046028,797.02499,-0.000805503,0.00013333333,285.23144793510437,109500,73
