nupdates,total_timesteps,approxkl,policy_loss,value_loss,eplenmean,explained_variance,fps,serial_timesteps,eprewmean,time_elapsed,clipfrac,policy_entropy
33,67584,0.007875131,-0.0013849835,17.172916,1326.56,0.4551761746406555,330,67584,125.04,200.507422208786,0.1109375,0.85631734
34,69632,0.0039886306,-0.001828037,19.948826,1312.6415094339623,0.789102092385292,305,69632,126.37735849056604,207.20094299316406,0.032568358,0.8762081
35,71680,0.0022765507,-0.0021145714,11.514355,1293.4727272727273,0.8939942717552185,331,71680,125.0909090909091,213.37650632858276,0.015136719,0.7580354
36,73728,0.0033858693,-0.0043602963,29.580902,1268.3793103448277,0.5840759873390198,310,73728,130.60344827586206,219.97383069992065,0.029541016,1.0017349
37,75776,0.0046049235,-0.0045649717,19.93777,1253.35,0.7771774381399155,307,75776,133.63333333333333,226.63739728927612,0.05517578,0.81881255
38,77824,0.0060992944,-0.006166958,28.674137,1232.968253968254,0.7745029032230377,301,77824,138.8095238095238,233.43266558647156,0.08549805,0.9280397
39,79872,0.011955889,-0.0035562343,5.3007092,1225.59375,0.6595079600811005,324,79872,138.546875,239.73758506774902,0.12670898,0.74134606
40,81920,0.007767749,-0.0026419288,36.371,1215.641791044776,0.76888008415699,304,81920,135.044776119403,246.46995782852173,0.08413086,0.72546464
41,83968,0.0032743216,-0.0020392854,16.536282,1198.0285714285715,0.903525672852993,304,83968,135.28571428571428,253.1992359161377,0.021142578,0.70878166
42,86016,0.030846888,0.012288211,10.107927,1202.2957746478874,0.7357886433601379,330,86016,133.38028169014083,259.3920364379883,0.21606445,0.7309718
43,88064,0.0032126617,0.00020439565,23.608,1183.3108108108108,0.7084753513336182,301,88064,138.47297297297297,266.1741805076599,0.031982422,0.84536743
44,90112,0.009366634,-0.002408749,19.18812,1164.012987012987,0.6574138104915619,309,90112,138.23376623376623,272.7853524684906,0.09648438,0.7164829
45,92160,0.005655414,-0.0044569736,25.076519,1150.1375,0.8400136828422546,306,92160,141.8875,279.4610102176666,0.054882813,0.8024241
46,94208,0.0065906085,-0.00080442196,13.58889,1143.4146341463415,0.8454470932483673,321,94208,140.3780487804878,285.8350558280945,0.06933594,0.84361184
47,96256,0.0031210163,-0.0019010352,18.805597,1129.4705882352941,0.8289544582366943,315,96256,141.14117647058825,292.3366484642029,0.03022461,0.79244184
48,98304,0.015603165,-0.0049391724,15.298929,1122.3793103448277,0.6775161623954773,321,98304,138.5632183908046,298.71667218208313,0.14233398,0.8012007
49,100352,0.005259378,-0.0035039545,16.394592,1112.088888888889,0.8699170053005219,313,100352,141.61111111111111,305.240478515625,0.06962891,0.8166172
50,102400,0.0070853755,-0.0029490674,16.25726,1096.8602150537633,0.771927684545517,308,102400,141.21505376344086,311.8840801715851,0.09125976,0.57393175
51,104448,0.0038446642,-0.0013813225,17.783611,1091.0526315789473,0.869773656129837,293,104448,142.77894736842106,318.86448764801025,0.04057617,0.8838113
52,106496,0.0036146236,-0.0031173073,16.727121,1085.0204081632653,0.9020115062594414,208,106496,142.01020408163265,328.7063527107239,0.030859375,0.81546783
53,108544,0.0070134513,-0.008618621,10.354796,1078.24,0.9098375961184502,260,108544,141.96,336.56271052360535,0.071826175,0.8707795
54,110592,0.009687403,-0.001801954,19.810398,1069.04,0.8792754039168358,259,110592,143.24,344.4635293483734,0.10366211,0.78049046
55,112640,0.0064252564,-0.00019432396,7.6116548,1040.04,0.703490138053894,272,112640,144.53,351.9687774181366,0.076416016,0.63801324
56,114688,0.011928264,-0.0053653144,9.853552,1012.21,0.8693171590566635,266,114688,140.84,359.65846371650696,0.11655273,0.63670754
57,116736,0.009233857,0.002910213,5.863469,1014.82,0.8386299908161163,317,116736,137.59,366.1130871772766,0.09326172,0.7414401
58,118784,0.04511162,0.00013308064,9.595277,1006.39,0.8314525187015533,314,118784,140.16,372.63449263572693,0.29560548,0.80311507
59,120832,0.016781671,-0.0030759142,2.7520275,1001.01,0.836220383644104,318,120832,140.16,379.0656864643097,0.19316407,0.9873371
60,122880,0.009332692,-0.0041939127,1.7029892,991.8,0.41056668758392334,286,122880,132.5,386.2161490917206,0.14624023,0.7505375
61,124928,0.011562823,0.0003870011,7.2244196,986.25,0.8413317650556564,287,124928,128.33,393.3519768714905,0.15708008,0.8962944
62,126976,0.0054901764,-0.004364061,13.024355,971.62,0.8189227730035782,298,126976,127.86,400.2239909172058,0.07070313,0.6909639
63,129024,0.008779802,-0.00088285207,1.4864452,943.07,0.8190658688545227,281,129024,130.79,407.50202775001526,0.11884765,0.69700444
64,131072,0.018805388,-0.0038727366,0.29295862,942.97,0.5787355601787567,283,131072,130.79,414.73238706588745,0.22304687,0.90406275
65,133120,0.0030354685,-0.0010213426,5.5556593,911.08,0.5718492865562439,274,133120,125.99,422.18550205230713,0.041308593,0.6277367
66,135168,0.007266308,-0.00757336,2.3975549,897.32,0.6769739091396332,284,135168,120.55,429.3827407360077,0.08540039,0.7105596
67,137216,0.0071773194,-0.00036471797,6.857459,886.38,0.7333823442459106,302,137216,121.63,436.156747341156,0.08046875,0.84906703
68,139264,0.013414001,-0.012065176,1.5806334,871.26,0.8640493005514145,290,139264,118.23,443.20830273628235,0.13994141,0.728664
69,141312,0.012372429,-0.0024576369,4.1808934,871.26,0.8943997323513031,326,141312,118.23,449.4809048175812,0.17207031,1.035237
70,143360,0.0071455487,-0.005794891,21.243105,871.62,0.715791255235672,289,143360,120.45,456.559778213501,0.08686523,0.8684864
71,145408,0.0071177697,-0.000816462,4.9852505,871.62,0.7047012746334076,316,145408,121.42,463.03044962882996,0.08242188,1.1438805
72,147456,0.011332227,-0.0025620412,2.0124466,858.35,0.837427094578743,288,147456,114.51,470.1187219619751,0.1394043,0.87395346
73,149504,0.005592826,0.0010097453,19.010296,849.04,0.7057594656944275,277,149504,115.2,477.4956169128418,0.068408206,0.9009407
74,151552,0.004621278,-0.0019777373,8.436826,829.36,0.6967867314815521,303,151552,110.4,484.23612928390503,0.058789063,0.6738202
75,153600,0.004692919,-0.0021673727,24.23415,824.38,0.6352079808712006,285,153600,109.62,491.4082992076874,0.057910156,0.7760933
76,155648,0.006385791,0.00014748196,3.0049818,816.65,0.7787479162216187,306,155648,103.48,498.08878326416016,0.08305664,0.6226176
77,157696,0.008364489,0.004573299,22.15337,818.39,0.6802192628383636,305,157696,104.15,504.8006203174591,0.11391602,0.9774356
78,159744,0.007305841,-0.0007399969,9.115218,822.25,0.7692012339830399,318,159744,104.04,511.233304977417,0.099658206,1.047705
79,161792,0.0037272074,-0.0021656936,10.971765,808.93,0.706040769815445,281,161792,100.55,518.5087237358093,0.0496582,0.6477645
80,163840,0.0068998523,-0.0011302488,16.234787,807.57,0.7686789929866791,300,163840,100.81,525.3237271308899,0.07358398,0.6803726
81,165888,0.008824419,-0.007092748,11.449283,803.5,0.7783889621496201,303,165888,100.78,532.0746285915375,0.12036133,1.0038824
82,167936,0.014402116,-0.00108407,2.5881894,808.04,0.7786794304847717,301,167936,95.83,538.872213602066,0.17763671,0.79126203
83,169984,0.00849279,0.0026118928,17.036688,813.86,0.6970339715480804,309,169984,96.96,545.4809045791626,0.11333008,1.0640476
84,172032,0.010814977,-0.004740275,3.1682608,822.69,0.7429094016551971,295,172032,93.72,552.4056906700134,0.14179687,0.8292087
85,174080,0.0050214957,-0.0013889233,7.476287,805.7,0.687229335308075,291,174080,88.53,559.4301025867462,0.06728516,0.5266267
86,176128,0.008574513,-0.00068956765,7.3395014,803.41,0.8424206525087357,282,176128,84.73,566.6855506896973,0.10239258,0.7350361
87,178176,0.0068921433,1.4058908e-05,8.567881,805.14,0.667707234621048,306,178176,83.64,573.3638112545013,0.08232422,0.97938955
88,180224,0.010154011,-0.009748659,17.094149,805.3,0.6810431182384491,285,180224,82.36,580.5358397960663,0.12670898,0.9502767
89,182272,0.005268678,-0.00057992875,15.112085,813.1,0.7208521664142609,320,182272,84.9,586.9293382167816,0.061083984,1.0818665
90,184320,0.011349702,-0.003305992,16.64368,816.57,0.73883256316185,287,184320,84.88,594.0565416812897,0.12290039,0.8153368
91,186368,0.0144319935,-0.008565644,15.429153,823.22,0.6859104931354523,313,186368,83.18,600.5902779102325,0.1508789,0.8924596
