nupdates,serial_timesteps,time_elapsed,fps,value_loss,policy_entropy,approxkl,explained_variance,policy_loss,total_timesteps,eprewmean,eplenmean,clipfrac
40,60000,160.69391679763794,392,21.95572,0.94857943,0.007318564,0.9519059732556343,-0.005553404,60000,914.205487,1500.0,0.12366667
41,61500,164.6666979789734,377,25.947882,0.93220466,0.0027308073,0.9386366233229637,-0.0007820106,61500,858.792909,1500.0,0.0065333317
42,63000,168.59046721458435,382,21.556103,0.89044535,0.0053411108,0.9605062454938889,-0.003403343,63000,856.639281,1500.0,0.037599992
43,64500,172.45035457611084,388,24.74644,1.033073,0.0020703787,0.9625384695827961,-0.0006784314,64500,790.228228,1500.0,0.007199999
44,66000,176.41333103179932,378,181.0597,0.8607061,0.00025034574,0.8236542195081711,-0.0003641174,66000,872.159154,1348.0,0.00026666667
45,67500,180.28585767745972,387,24.265461,1.0152966,0.003724694,0.9546984508633614,-0.006502902,67500,811.160838,1500.0,0.057266638
46,69000,184.31776928901672,372,21.72254,0.8914183,0.0068623014,0.9531180076301098,-0.0056522805,69000,901.574168,1500.0,0.11453333
47,70500,188.17432498931885,388,20.924822,0.9104248,0.0033218956,0.9627469666302204,-0.0013802361,70500,871.801926,1500.0,0.036933333
48,72000,192.0960693359375,382,24.106339,1.001865,0.0048936596,0.9655942469835281,-0.0059220274,72000,792.456162,1500.0,0.07426664
49,73500,195.96080040931702,388,46.667946,0.9939884,0.0031174286,0.9355086833238602,-0.001672993,73500,681.773397,1500.0,0.032999996
50,75000,199.9425802230835,376,30.192772,0.9396995,0.000870797,0.9573031738400459,-0.00035102025,75000,633.383788,1500.0,0.0015999998
51,76500,203.734534740448,395,23.470776,0.9638923,0.00624937,0.9656009189784527,-0.0048337798,76500,772.714633,1500.0,0.11733334
52,78000,207.60793662071228,387,172.80122,0.97754306,0.002160099,0.8084085434675217,-0.001501394,78000,1116.398705,1500.0,0.013399998
53,79500,211.49158143997192,386,1978.5895,0.95018953,0.00011348412,0.2898296117782593,-0.00044363356,79500,1694.301562,1500.0,0.0
54,81000,215.4105634689331,382,44.302982,0.9033619,0.003776063,0.9242419824004173,-0.000776922,81000,861.000155,1500.0,0.0422
55,82500,219.3750762939453,378,22.435219,0.9725897,0.0034890384,0.9664796516299248,-0.0034240186,82500,745.107955,1500.0,0.055266663
56,84000,223.2385151386261,388,22.885391,1.0143813,0.0011190005,0.9510940350592136,-0.0008768215,84000,758.391469,1500.0,0.004933333
57,85500,227.05636072158813,392,20.841877,0.8974398,0.0043467525,0.9627891927957535,-0.0009127086,85500,940.058251,1500.0,0.04526666
58,87000,230.95362091064453,384,52.918514,0.9643157,0.00056009134,0.9024468660354614,-0.0005682483,87000,638.731841,1500.0,0.0
59,88500,234.80559062957764,389,20.320944,0.8118024,0.0050183465,0.96131357178092,-0.0021726647,88500,909.458915,1500.0,0.048999976
60,90000,238.71503162384033,383,22.820158,1.0070081,0.00398883,0.9506904110312462,-0.0035171725,90000,763.32432,1500.0,0.053733326
61,91500,242.71542930603027,374,19.961126,0.8337888,0.0016423858,0.9497667960822582,-0.0007070388,91500,926.369917,1500.0,0.014733335
62,93000,246.66994261741638,379,20.086536,0.8353613,0.0007352044,0.9473912976682186,-0.00083072326,93000,931.232583,1500.0,0.0072
63,94500,250.56263184547424,385,20.039925,0.8201342,0.0072554983,0.9498531259596348,-0.004181529,94500,929.374942,1500.0,0.08066665
64,96000,254.52546429634094,378,51.64814,0.8481239,0.00076178723,0.9084051847457886,-0.0016659406,96000,743.430888,1500.0,0.0063333325
65,97500,258.52122712135315,375,78.75712,0.9551909,0.0016165941,0.8704371601343155,-0.0011563004,97500,558.274336,1500.0,0.008333333
66,99000,262.3898735046387,387,46.52943,0.86293954,0.0004661397,0.8895998746156693,-0.0004274159,99000,792.82366,1500.0,0.00046666668
67,100500,266.1755168437958,396,19.611124,0.89265084,0.0021330684,0.9617956019937992,-0.0017157911,100500,860.949057,1500.0,0.0036000002
68,102000,270.0454227924347,387,23.103859,1.0118842,0.006406042,0.9551953598856926,-0.004546708,102000,749.034089,1500.0,0.10633335
69,103500,273.848516702652,394,20.105955,0.8492848,0.0029465389,0.963813878595829,-0.0022146606,103500,843.650042,1500.0,0.0016666666
70,105000,277.62303495407104,397,39.565327,0.9846093,0.0038493583,0.9437726549804211,-0.0019531127,105000,685.593847,1500.0,0.031133322
71,106500,281.5977077484131,377,46.78059,1.0567094,0.0029426496,0.901546336710453,-0.0029847913,106500,770.075273,1500.0,0.020333325
72,108000,285.40746569633484,393,21.43014,0.87602407,9.3697876e-05,0.960217297077179,-0.00011537264,108000,890.417884,1500.0,0.0
