clipfrac,explained_variance,nupdates,eprewmean,policy_entropy,value_loss,time_elapsed,eplenmean,serial_timesteps,approxkl,fps,policy_loss,total_timesteps
0.0,0.2648313045501709,21,106.11747505357143,1.019115,33.893345,120.89018845558167,1501.0,21504,0.00024053059,700,0.0001567232,86016
0.005126953,0.23921769857406616,22,116.99297671666666,1.0243423,26.043928,126.88430047035217,1501.0,22528,0.0018452974,683,-0.0014266489,90112
0.012613933,0.2775842547416687,23,116.99297671666666,1.0168169,8.880218,132.14920806884766,1501.0,23552,0.003189375,778,-0.0015905757,94208
0.0025227864,0.32939231395721436,24,143.868415671875,1.0056046,49.831314,138.18613934516907,1501.0,24576,0.001346407,678,-0.001125931,98304
0.00016276042,0.27862536907196045,25,165.9938029852941,1.0328256,58.390522,144.41089296340942,1501.0,25600,0.0007881291,658,-0.00036598157,102400
0.0008951823,0.3229541778564453,26,165.9938029852941,1.0111654,5.760161,149.7311234474182,1501.0,26624,0.0015745638,769,-0.0010098846,106496
0.0133463545,0.3541472554206848,27,181.7441472638889,1.0031174,41.239525,155.98323678970337,1501.0,27648,0.003181925,655,-0.0016267918,110592
8.138021e-05,0.28433746099472046,28,200.69182372368422,1.0338037,62.99065,161.98012828826904,1501.0,28672,0.00039507667,683,-0.00028156233,114688
0.03930664,0.25629764795303345,29,200.69182372368422,1.0277654,27.483437,167.16405296325684,1501.0,29696,0.0036018768,790,-0.0017748987,118784
0.033854168,0.3812330961227417,30,219.74473253750003,1.0184866,36.237843,173.31632709503174,1501.0,30720,0.004076488,665,-0.0021052354,122880
0.0,0.3194286823272705,31,234.55450717857144,1.04395,59.57301,179.26548743247986,1501.0,31744,0.00057708094,688,-7.3645504e-05,126976
0.0038248699,0.3594713807106018,32,234.55450717857144,1.0420643,40.385086,184.63238906860352,1501.0,32768,0.0017800202,763,-0.0009484587,131072
0.013183594,0.43579190969467163,33,252.51793867045455,1.0436182,26.926954,190.64327716827393,1501.0,33792,0.002053432,681,-0.0011873676,135168
0.00040690103,0.433857262134552,34,265.54976742391307,1.043323,59.41904,196.4506447315216,1501.0,34816,0.0011172064,705,-0.00095366087,139264
0.007080078,0.43955737352371216,35,265.54976742391307,1.0263659,11.833149,201.70222187042236,1501.0,35840,0.0030160479,780,-0.0014999957,143360
0.0072428384,0.47539031505584717,36,267.9331104479167,1.0081288,19.985037,207.7946801185608,1501.0,36864,0.0033341134,672,-0.0012479309,147456
