#{"t_start": 1532345515.349414, "env_id": "SetDown-v3"}
r,l,t
0,1501,4.910202
0,1501,8.713658
11.505883,1501,12.486394
3.862788,1501,16.247141
1.540812,1501,20.080996
10.563616,1501,23.864755
56.380034,1501,27.641873
278.956513,1501,31.381623
0,1501,35.185855
14.750862,427,36.457248
10.08959,444,37.710615
1.553516,293,38.724392
0,231,39.55745
18.536735,335,40.869853
0,1501,45.049823
0,246,45.92472
9.271064,339,47.127848
0,424,48.403175
5.390302,204,49.168672
11.690111,444,50.715651
7.782049,434,51.966763
0,1501,55.744753
0,401,56.944974
0.775036,250,57.818173
0,233,58.911627
0,60,59.381136
0,132,59.990959
0,218,60.782701
0,219,61.57832
0,224,62.380093
0,225,63.183501
0,229,64.255582
0.77412,262,65.139075
0,185,65.881591
1.545956,344,66.943659
4.659898,242,67.776436
0,132,68.379528
9.302202,339,69.702203
0.768849,319,70.693093
0,323,71.683892
0,150,72.331745
13.256392,343,73.370632
1.553517,259,74.224516
1.559393,246,75.323619
0,63,75.782182
0,229,76.580182
0,243,77.415251
6.181869,155,78.064079
3.892131,246,78.968403
2.31724,170,79.68993
3.871387,345,81.041965
0,306,82.006764
4.624874,249,82.857534
0,131,83.454003
0,142,84.076474
0,221,84.862055
0,40,85.273503
16.294225,334,86.605611
0.775122,251,87.497346
2.332749,254,88.36078
0,218,89.157983
4.617714,157,89.824694
6.155419,209,90.592114
17.109894,445,92.141067
0,137,92.762499
0,684,94.559905
2.308833,354,95.637254
1.548984,265,96.84264
3.871635,297,97.812456
3.083083,343,98.876233
0,658,100.583184
8.536753,285,101.793166
0,183,102.514523
3.857987,350,103.589976
6.225622,452,104.868606
4.661444,247,105.71877
0,341,107.091645
0,137,107.736187
6.175871,339,108.791145
3.863868,348,109.893478
0,439,111.14764
22.520465,438,112.669689
0,107,113.224646
35.756032,904,115.457956
0,1501,119.264565
0,219,120.365353
2.312413,362,121.469358
13.951087,349,122.570863
10.812468,344,123.637638
0,62,124.099502
14.712894,339,125.484266
3.083398,541,126.953885
0,317,127.94692
13.17281,548,129.44035
19.384228,451,131.013724
4.618083,206,131.79858
2.320116,543,133.270309
0,287,134.179878
0,204,135.202183
0,333,136.247382
0,427,137.488378
0,408,138.770633
0,474,140.377831
0,51,140.823948
0,439,142.076731
0,326,143.093895
2.314358,340,144.145369
8.546099,446,145.713883
16.226384,331,146.741633
0,506,148.139256
0,6,148.485028
20.169522,529,150.229255
0,510,151.667075
0,417,152.884007
7.012379,528,154.608879
7.75765,245,155.503218
0,679,157.334442
6.971911,337,158.423307
11.627143,430,160.018648
0,1414,163.794369
0,232,164.649004
14.925384,1019,167.524508
0,1301,170.788229
4.639017,244,171.99847
15.529226,437,173.29688
7.746326,339,174.377817
5.396623,166,175.065163
8.499941,334,176.140985
0,232,177.261696
1.546041,249,178.139097
9.29519,438,179.45917
12.430536,436,180.734827
0,369,182.127172
0,297,183.093841
0,347,184.194095
0,348,185.298634
0,122,185.883671
0,242,186.73169
0,1063,189.624709
11.62785,812,192.028936
0,1501,195.935093
24.846255,528,197.423015
0,304,198.399049
23.210082,529,200.148846
0,352,201.2426
4.641243,305,202.287208
0,142,202.916082
10.070663,406,204.114516
0,153,205.06746
10.861601,528,206.528893
0,1352,210.227112
20.938635,618,211.875382
0,260,212.755269
2.31238,212,213.80841
0.771477,345,214.861759
30.320846,812,216.90629
0,1501,220.677455
0,1501,224.495624
0,450,226.067924
0,245,226.961118
36.37503,769,229.008817
1.527819,1501,232.84705
0,342,234.193997
