eplenmean,policy_loss,clipfrac,time_elapsed,fps,nupdates,policy_entropy,value_loss,eprewmean,explained_variance,serial_timesteps,total_timesteps,approxkl
nan,-0.0021862022,0.14066668,3.8002283573150635,394,1,1.5905477,2.0267193,nan,-2.3807127475738525,1500,1500,0.009810055
1501.0,-0.0016342903,0.05819999,7.6119468212127686,394,2,1.5824418,1.9063176,0.0,-0.7723491191864014,3000,3000,0.0068399035
1501.0,-0.008080314,0.16260003,11.38224983215332,397,3,1.5872321,1.5201821,0.0,0.0473172664642334,4500,4500,0.011317158
1501.0,-0.0035227337,0.14173336,15.139816522598267,399,4,1.5784377,0.8584368,3.8352943333333336,-0.39498114585876465,6000,6000,0.010695627
1501.0,-0.007032856,0.16946667,18.972525358200073,391,5,1.5536835,0.5642315,3.84216775,-0.01191556453704834,7500,7500,0.012815055
1501.0,-0.0068459893,0.18520004,22.754022121429443,396,6,1.5224974,0.65803176,3.3818966,-0.017847537994384766,9000,9000,0.0137260845
1501.0,-0.004909401,0.09926666,26.52858304977417,397,7,1.498665,1.6017817,4.578849833333334,0.0012148618698120117,10500,10500,0.00814706
1501.0,-0.0044122958,0.1410667,30.26702618598938,401,8,1.4510014,13.79464,11.979019,0.05244171619415283,12000,12000,0.011766506
1501.0,-0.002793556,0.100066684,34.06988334655762,394,9,1.3904582,0.30775625,45.35120575,0.3323214054107666,13500,13500,0.0077100657
1146.4615384615386,-0.003326007,0.11426666,39.25643706321716,289,10,1.3531746,0.9274868,29.938739538461537,0.1508738398551941,15000,15000,0.009445557
1088.5,-0.00624838,0.10806666,43.41602158546448,360,11,1.2926282,0.28398722,29.124310642857143,0.350738525390625,16500,16500,0.010094281
944.8947368421053,-0.004650175,0.10420001,48.776774406433105,279,12,1.2756654,0.28992918,22.231669210526317,0.41371673345565796,18000,18000,0.007854616
896.7142857142857,-0.0016631054,0.095999986,52.851542949676514,368,13,1.238958,0.2961527,21.041613095238095,0.4428004026412964,19500,19500,0.0074887746
874.2916666666666,-0.0020012134,0.066133305,57.352861166000366,333,14,1.2879283,0.03746331,18.443704625,0.7158767580986023,21000,21000,0.0080927815
719.1612903225806,-0.00229232,0.107800044,63.10947346687317,260,15,1.3572495,0.10647011,14.278997129032257,0.19618964195251465,22500,22500,0.008146155
640.2162162162163,-0.0039673094,0.060133304,68.5472993850708,275,16,1.0462335,0.20414597,12.152132027027026,0.2866724133491516,24000,24000,0.0045031714
591.1860465116279,-0.0009673981,0.035933327,73.87469911575317,281,17,1.169975,0.23208797,11.035112674418604,0.35849225521087646,25500,25500,0.0032643704
535.46,-0.0005780633,0.054866657,79.69729590415955,257,18,1.1274072,0.17253962,9.76920956,0.4315111041069031,27000,27000,0.0041118283
494.859649122807,-0.0031609663,0.093399994,85.41246509552002,262,19,1.1178318,0.33369076,8.718539280701753,0.3674810528755188,28500,28500,0.007831657
470.3174603174603,-0.0021660842,0.049133316,90.88051319122314,274,20,1.0005691,0.44284442,8.367174095238095,0.2741546034812927,30000,30000,0.004585595
466.4179104477612,-0.0020498433,0.08813333,95.71277475357056,310,21,1.1795313,0.03104454,8.157473059701493,0.8166210055351257,31500,31500,0.007236476
462.15492957746477,-0.0020788386,0.10339997,100.48339033126831,314,22,1.1346872,0.19924124,7.817667563380281,0.4631287455558777,33000,33000,0.005974539
451.7105263157895,-0.0026510782,0.09339998,105.60780501365662,292,23,1.0326338,0.11717678,7.609686881578947,0.5575439035892487,34500,34500,0.0074956254
443.6296296296296,-0.0020311812,0.046866644,110.78867197036743,289,24,0.9846829,0.07354813,7.263900518518518,0.7118761539459229,36000,36000,0.0047822422
445.0357142857143,-8.355118e-05,0.045933314,115.21883940696716,338,25,0.9132202,0.910905,7.698243321428571,0.22285109758377075,37500,37500,0.0031759187
457.45882352941175,-0.00045453,0.073466636,119.02120208740234,394,26,0.99021125,0.01368338,7.607675752941176,0.5350015163421631,39000,39000,0.005123234
446.8888888888889,-0.0036268812,0.0799333,124.26384496688843,286,27,0.92349786,0.46226165,7.485871188888888,0.35044217109680176,40500,40500,0.0058166687
446.43617021276594,-0.0025429856,0.035399985,129.029926776886,314,28,0.9353927,0.16066368,7.496782010638298,0.6029376685619354,42000,42000,0.0039146882
443.38775510204084,-0.0013117251,0.10800007,133.77600717544556,316,29,0.76626813,0.38813728,7.459387102040815,0.3982554078102112,43500,43500,0.0071317838
418.22,-0.0029375192,0.066933304,138.64761400222778,307,30,1.0509334,0.024315776,7.3101993599999995,0.3455914855003357,45000,45000,0.005065565
359.47,-0.0052696364,0.059466634,143.76207041740417,293,31,0.9741881,0.01455361,6.494811609999999,0.6606059670448303,46500,46500,0.005297181
333.63,-0.0013420336,0.093399964,148.54611468315125,313,32,0.9372705,0.34358716,3.70456679,0.4053477644920349,48000,48000,0.005766683
339.6,0.0014811689,0.10086672,153.0164029598236,335,33,1.0085092,0.23098953,3.7053595000000006,0.41653335094451904,49500,49500,0.007035223
332.39,-0.007588989,0.1713333,157.97454953193665,302,34,0.9774992,0.16548748,3.8300682600000004,0.5382676422595978,51000,51000,0.012730326
334.65,-0.006080344,0.1738,161.9660267829895,375,35,1.0544107,0.09379826,3.8924366699999995,0.6919494271278381,52500,52500,0.0114645995
342.33,-0.0028137313,0.069799975,166.24245190620422,350,36,0.8020283,0.16720906,3.6977150699999997,0.5555311739444733,54000,54000,0.0044135475
346.51,-0.0009401616,0.11566669,170.623309135437,342,37,1.112185,0.040377993,3.8469689099999997,0.80411696434021,55500,55500,0.01063002
