total_timesteps,eprewmean,approxkl,value_loss,serial_timesteps,explained_variance,policy_loss,fps,eplenmean,time_elapsed,nupdates,policy_entropy,clipfrac
66000,509.5217391304348,1.1745327e-05,23.64256,66000,0.9447504356503487,-0.00013810526,391,1419.0,175.8380365371704,44,0.6259435,0.0
67500,508.2340425531915,4.675091e-05,22.007383,67500,0.9436674267053604,-0.00033584636,382,1415.7659574468084,179.75789952278137,45,1.0214343,0.0
69000,516.5,1.456436e-05,25.361397,69000,0.9328808858990669,1.921133e-05,377,1417.5208333333333,183.72775292396545,46,1.0672318,0.0
70500,522.0816326530612,3.8252624e-06,27.751629,70500,0.9441824592649937,-6.0638595e-05,373,1419.204081632653,187.74150681495667,47,0.97550344,0.0
72000,522.84,1.18300195e-05,24.82202,72000,0.9373388886451721,-0.00019315536,388,1420.82,191.60688471794128,48,1.1125436,0.0
73500,529.2549019607843,3.4181896e-05,29.688078,73500,0.9438590556383133,-0.00026792035,377,1422.3725490196077,195.57738828659058,49,1.0074675,0.0
75000,528.5961538461538,3.517589e-05,27.889875,75000,0.9536191038787365,-0.00026300066,374,1422.826923076923,199.5849630832672,50,0.97011286,0.0
76500,516.9629629629629,2.2443113e-05,40.164207,76500,0.9317403435707092,-0.00014598461,350,1411.0740740740741,203.86380076408386,51,0.7143571,0.0
78000,510.7818181818182,4.706632e-05,29.856932,78000,0.9404180832207203,-0.000240882,386,1406.8545454545454,207.74638056755066,52,0.73545504,0.0
79500,506.625,3.7289535e-06,30.80468,79500,0.9271780401468277,-0.00023380472,384,1403.3035714285713,211.64812517166138,53,0.9662236,0.0
81000,512.9473684210526,1.0044863e-05,22.651724,81000,0.9570289365947247,-0.00024839875,372,1405.0,215.67460179328918,54,0.94896585,0.0
82500,511.94827586206895,1.2303367e-06,31.520937,82500,0.9485150650143623,-2.2149841e-05,362,1404.344827586207,219.81774187088013,55,0.96912557,0.0
84000,507.23333333333335,0.00013111316,40.200996,84000,0.9330298155546188,-0.0012247898,334,1399.5333333333333,224.3027904033661,56,1.0162307,0.0
85500,507.6885245901639,2.9423638e-05,23.49476,85500,0.9642318934202194,-0.00018602703,344,1398.5245901639344,228.65787386894226,57,0.8320015,0.0
87000,512.0806451612904,2.2910146e-05,24.905989,87000,0.9419586583971977,-0.00023057693,386,1400.1612903225807,232.53622770309448,58,1.0300634,0.0
88500,513.6825396825396,7.78118e-05,36.171803,88500,0.8950746133923531,-0.00031941966,371,1401.7460317460318,236.57410645484924,59,1.0595261,0.0
90000,518.1875,5.7968777e-05,25.165752,90000,0.9434625059366226,-0.00037189477,382,1403.28125,240.4979372024536,60,0.9948008,0.0
91500,518.0,1.44508285e-05,25.450512,91500,0.9623555056750774,-0.00017414284,382,1402.753846153846,244.41542220115662,61,0.84770375,0.0
93000,513.3939393939394,1.9849927e-05,28.8343,93000,0.941191665828228,-0.00017400018,370,1396.8484848484848,248.4645276069641,62,0.7987723,0.0
94500,511.8955223880597,4.3867356e-05,27.092867,94500,0.9383049160242081,-0.00041499615,367,1394.2089552238806,252.5413613319397,63,1.0725359,0.0
96000,516.3970588235294,1.0383744e-05,22.941416,96000,0.9453970044851303,-3.5130593e-05,364,1395.764705882353,256.65858483314514,64,1.0678633,0.0
97500,521.9130434782609,1.1989352e-05,22.106628,97500,0.960911750793457,-0.0001713093,379,1397.2753623188405,260.6136951446533,65,0.9800917,0.0
99000,520.2142857142857,7.3693474e-05,25.878384,99000,0.9401084072887897,-0.0006834513,366,1395.0714285714287,264.71166038513184,66,1.0674537,0.0
100500,520.8333333333334,9.927476e-06,45.31937,100500,0.9204136431217194,-0.00017744102,312,1393.1805555555557,269.5129232406616,67,0.7984241,0.0
102000,520.6712328767123,6.322085e-05,31.253206,102000,0.9468441270291805,-0.00042171087,359,1394.6438356164383,273.6835858821869,68,1.0445828,0.0
103500,519.1756756756756,5.3330226e-05,31.79152,103500,0.9491346068680286,-0.00048049854,370,1395.8783783783783,277.7361798286438,69,0.9447682,0.0
105000,516.3866666666667,6.732229e-05,29.208128,105000,0.9409375414252281,-0.00036304566,371,1394.7066666666667,281.778621673584,70,0.8934732,0.0
106500,521.0,0.000150338,25.587156,106500,0.9496808983385563,-0.0006911741,381,1396.092105263158,285.7111852169037,71,1.0849189,0.0
108000,516.6363636363636,1.4374654e-06,31.02408,108000,0.9355379343032837,-2.1344184e-05,380,1390.3896103896104,289.65698432922363,72,0.834556,0.0
109500,515.2692307692307,1.673592e-06,26.413685,109500,0.9572501368820667,-5.4575685e-05,389,1389.6410256410256,293.5083706378937,73,0.9776958,0.0
111000,513.0506329113924,4.7352205e-06,27.584295,111000,0.9312737286090851,-9.1291375e-05,389,1387.126582278481,297.3550989627838,74,1.0794636,0.0
112500,516.2625,0.0003408034,22.775217,112500,0.9444356746971607,-0.0016370529,376,1388.5375,301.34195613861084,75,1.0704814,0.0
114000,518.0487804878048,1.9238794e-06,39.23211,114000,0.9332555308938026,-2.492623e-05,356,1387.7560975609756,305.55272579193115,76,0.76787317,0.0
115500,517.3373493975904,2.2328726e-05,23.437395,115500,0.9623307250440121,-0.0001406575,388,1386.1566265060242,309.41898345947266,77,0.81126094,0.0
117000,516.0357142857143,1.8817707e-05,30.536528,117000,0.9297904595732689,-0.00025912712,372,1384.857142857143,313.44468116760254,78,0.99973303,0.0
118500,520.6941176470589,0.00042500754,23.205517,118500,0.9513595066964626,-0.0016144147,386,1386.2117647058824,317.322909116745,79,1.0277925,0.0
120000,523.7441860465116,0.00018135711,21.38152,120000,0.9674640037119389,-0.0009840243,379,1387.5348837209303,321.28002190589905,80,0.9799745,0.0
121500,519.9770114942529,1.43489415e-05,36.788754,121500,0.9300473630428314,-0.0001462373,384,1386.4367816091954,325.1854798793793,81,0.9545825,0.0
123000,517.2613636363636,3.4856346e-06,26.094263,123000,0.9438316524028778,-8.5942615e-05,385,1384.090909090909,329.0803723335266,82,1.048084,0.0
124500,520.6404494382023,4.2211384e-05,25.053328,124500,0.9462663270533085,-0.00024736975,382,1385.3932584269662,332.9997806549072,83,1.0119253,0.0
126000,523.2444444444444,0.0001405493,24.096813,126000,0.9608682729303837,-0.00079946505,385,1386.6666666666667,336.8885464668274,84,0.98244387,0.0
127500,522.8791208791209,4.689604e-05,30.045033,127500,0.9236510545015335,-0.00031054055,387,1386.901098901099,340.75744676589966,85,1.107361,0.0
129000,525.6739130434783,4.880278e-05,25.024681,129000,0.9437167793512344,-0.0002921836,379,1388.1304347826087,344.7134988307953,86,1.0066369,0.0
130500,527.8387096774194,8.4535575e-05,26.944952,130500,0.9359185621142387,-0.00045205146,383,1389.3333333333333,348.6258010864258,87,1.0664873,0.0
132000,528.0947368421052,1.344689e-05,44.007896,132000,0.9113084226846695,-0.00014548215,341,1387.9473684210527,353.0202808380127,88,0.95129466,0.0
133500,531.21875,0.00027829042,24.655508,133500,0.9500405937433243,-0.0014025387,374,1389.1145833333333,357.02861738204956,89,1.0194207,0.0
135000,531.659793814433,0.00015229921,24.57385,135000,0.9573655985295773,-0.0007449629,377,1390.2577319587629,361.0046634674072,90,1.0264168,0.0
136500,531.2551020408164,7.7099985e-06,27.891655,136500,0.949882872402668,-8.533731e-06,382,1390.3367346938776,364.92888283729553,91,0.9320668,0.0
138000,532.5050505050505,0.00015203215,19.473152,138000,0.9548168033361435,-0.0009998946,382,1388.4040404040404,368.84992814064026,92,0.8414232,0.0
139500,527.11,6.343189e-05,44.76556,139500,0.9188019931316376,-0.0007028875,337,1379.03,373.291232585907,93,0.78918374,0.0
141000,524.38,0.00029214294,35.827084,141000,0.9208252280950546,-0.0014021428,389,1376.8,377.144504070282,94,0.8328808,0.0002
142500,530.2,2.4690802e-05,26.689856,142500,0.9491616860032082,-0.00013452228,389,1376.8,380.9918797016144,95,0.9946742,0.0
144000,528.36,7.2182156e-06,32.47193,144000,0.9391552545130253,-0.00013782599,387,1376.04,384.8663589954376,96,0.9767959,0.0
145500,530.03,1.1547759e-05,24.496183,145500,0.9533091709017754,-8.6579326e-05,386,1377.87,388.74359941482544,97,0.9065236,0.0
147000,532.58,5.5827836e-06,25.03363,147000,0.955199096351862,-9.3479684e-05,362,1376.4,392.88487482070923,98,0.96929526,0.0
148500,532.28,9.108314e-05,28.072565,148500,0.9449512623250484,-0.0005480658,374,1375.02,396.88826632499695,99,0.99592024,0.0
