eprewmean,policy_loss,total_timesteps,nupdates,clipfrac,eplenmean,approxkl,fps,policy_entropy,explained_variance,serial_timesteps,time_elapsed,value_loss
3.8210210307692307,-0.0013270165,2000,1,0.0,30.29230769230769,0.0011217403,699,1.0977273,0.041175901889801025,1000,2.857274293899536,8.968882
5.095912696296296,-0.0012441018,4000,2,0.0,29.45925925925926,0.0008658122,771,1.0943049,0.03461569547653198,2000,5.458348751068115,10.315091
5.196794072115385,-0.00042496392,6000,3,0.0,28.682692307692307,0.00031717468,768,1.0891646,-0.0041980743408203125,3000,8.05967664718628,10.45741
5.523040790940766,-0.00017044855,8000,4,0.0,27.829268292682926,0.00022416023,766,1.0818862,-0.027095317840576172,4000,10.668678760528564,11.378635
6.127177870000001,-0.0009060347,10000,5,0.0,26.44333333333333,0.00061831286,757,1.074375,-0.05580711364746094,5000,13.30906081199646,11.81979
6.056134386666667,-0.00083896867,12000,6,0.0,25.87,0.001153631,769,1.0545044,-0.06749165058135986,6000,15.910233974456787,11.949977
5.95185059,8.850347e-06,14000,7,0.0,25.116666666666667,0.00011363741,749,1.0314593,-0.06734037399291992,7000,18.57756781578064,10.542954
5.980951086666667,-8.241442e-05,16000,8,0.0,24.633333333333333,5.654817e-05,759,1.0274781,-0.13717317581176758,8000,21.210134744644165,11.230608
5.513848973333333,-0.0019636583,18000,9,0.0126,23.733333333333334,0.002341181,748,1.0019639,-0.09580028057098389,9000,23.88307476043701,9.984139
6.033964563333333,-0.00015393853,20000,10,0.0,23.456666666666667,8.488248e-05,761,0.9750266,-0.21498870849609375,10000,26.51121711730957,10.650027
6.104899529999999,-0.00030735665,22000,11,0.0,23.09,0.00022054136,754,0.9657414,-0.13110637664794922,11000,29.162188053131104,11.082105
6.066882166666666,-0.00047376525,24000,12,1e-04,23.24,0.0005569625,753,0.9474349,-0.15032875537872314,12000,31.815996408462524,10.111407
5.743413566666667,-0.00047913074,26000,13,0.0,23.006666666666668,0.00032366742,762,0.9321567,-0.17786788940429688,13000,34.43847298622131,9.559528
5.9711429733333325,-1.8146166e-05,28000,14,0.0,22.30666666666667,3.2958094e-05,739,0.9566157,-0.17937910556793213,14000,37.14349627494812,10.682884
5.711125606666667,-0.00051098375,30000,15,0.0,22.30666666666667,0.00046957715,749,0.9406449,-0.22799968719482422,15000,39.812052488327026,9.414938
5.566909483333333,-0.00020568763,32000,16,0.0,22.013333333333332,0.00010661033,744,0.93220323,-0.1624394655227661,16000,42.499473094940186,9.134641
5.442193073333334,-0.00016198259,34000,17,0.0,22.326666666666668,0.00020245247,752,0.9389926,-0.21268725395202637,17000,45.158782720565796,10.572514
5.425103999999999,-0.0003534254,36000,18,0.0,22.373333333333335,0.00023337864,751,0.9238876,-0.2514634132385254,18000,47.82090401649475,8.055174
5.834369546666667,-0.0007430152,38000,19,0.0004,22.77,0.00046734774,744,0.9357597,-0.2862069606781006,19000,50.50607490539551,8.047681
5.697964,-0.0002542086,40000,20,0.0,22.71,0.00019511442,736,0.9319798,-0.21914184093475342,20000,53.223775148391724,12.3221855
5.861061426666666,-0.0014091623,42000,21,0.019499999,22.416666666666668,0.0024477923,736,0.8850202,-0.20827770233154297,21000,55.938385248184204,10.324864
5.699505193333333,-0.00013715106,44000,22,0.0,22.523333333333333,0.00020963747,758,0.8782325,-0.22695612907409668,22000,58.57493829727173,8.6554165
5.674214559999999,-6.832897e-05,46000,23,0.0,22.786666666666665,0.00010472177,752,0.8869988,-0.2672703266143799,23000,61.23396873474121,8.527282
5.989521673333334,-1.9675503e-05,48000,24,0.0,22.933333333333334,4.7125406e-05,742,0.90377516,-0.26024651527404785,24000,63.92776894569397,8.993316
6.219951013333334,-0.00044397239,50000,25,0.0,23.016666666666666,0.00024081508,748,0.89683115,-0.21582889556884766,25000,66.60109949111938,8.517569
6.226923866666666,-0.0012459378,52000,26,0.0016,22.69333333333333,0.0010404409,746,0.8841736,-0.21597445011138916,26000,69.28100252151489,10.1164
6.347891176666666,-0.0005453527,54000,27,0.0046,22.58,0.00082210003,748,0.86845076,-0.21335136890411377,27000,71.95191836357117,7.31755
6.07140204,-0.00035473143,56000,28,0.0,22.29,0.00027506484,738,0.88203514,-0.19884836673736572,28000,74.66078495979309,8.951819
5.904369303333333,-0.0012066596,58000,29,0.0072,22.19,0.0015086622,750,0.84248626,-0.19076311588287354,29000,77.32502675056458,9.000409
5.936088053333334,-0.0006184944,60000,30,0.0013,22.483333333333334,0.00053054263,763,0.8011779,-0.2693493366241455,30000,79.94408869743347,8.879132
6.05515547,-0.0013919807,62000,31,0.0135,23.403333333333332,0.0011603907,763,0.8035391,-0.289806604385376,31000,82.56292724609375,7.7682104
6.288431056666667,-0.0002493262,64000,32,0.0,23.673333333333332,0.00046358525,745,0.85282785,-0.17637848854064941,32000,85.24687623977661,8.415125
6.210274636666666,-7.360446e-05,66000,33,0.0,23.563333333333333,0.0002865787,742,0.87252486,-0.16850900650024414,33000,87.94149255752563,8.7667885
5.441285106666666,-6.5753384e-06,68000,34,0.0,22.383333333333333,1.8953982e-05,737,0.8803064,-0.1314777135848999,34000,90.65381526947021,10.266979
5.404244216666667,-0.00047930374,70000,35,0.0,22.0,0.0006509213,739,0.8797781,-0.16212141513824463,35000,93.35871887207031,7.8561625
5.779893179999999,-8.474433e-05,72000,36,0.0,22.216666666666665,2.1104344e-05,744,0.8574071,-0.12664413452148438,36000,96.04531455039978,8.623702
6.21555853,-0.00016945793,74000,37,0.0,22.163333333333334,0.00016252312,734,0.8336444,-0.1323692798614502,37000,98.76787877082825,9.222021
