#{"t_start": 1532959683.9465976, "env_id": "SetDown-v2"}
r,l,t
10,14,21.809202
10,30,22.021971
-0.020139,12,22.052634
10,23,22.110109
-11.145967,21,22.165433
10,38,22.268247
-2.168223,35,22.358969
10,23,22.414668
10,20,22.463815
10,22,22.521236
-2.467024,27,22.583318
10,21,22.642131
10,27,22.708372
-2.870637,22,22.761231
10,24,22.820362
-3.731947,18,22.861764
10,30,22.940393
10,16,22.983523
10,12,23.013386
10,15,23.054772
10,13,23.088496
10,15,23.128789
10,16,23.165994
10,29,23.239475
-3.714706,29,23.311664
10,19,23.363496
10,29,23.435276
10,12,23.470108
-0.970116,18,23.519034
10,29,23.592101
10,17,23.639666
10,38,23.736921
10,35,23.812422
10,21,23.864263
10,16,23.905103
-4.348528,22,23.95891
-1.587287,14,23.992584
10,18,24.041247
10,32,24.126041
10,39,24.223004
-2.442118,27,24.287938
-0.055774,24,24.345425
10,20,24.396876
-0.020083,20,24.447467
10,29,24.514915
10,27,24.727946
10,42,24.826209
10,20,24.880722
10,22,24.938769
10,28,25.01323
10,20,25.06068
-4.268628,21,25.112694
10,21,25.168904
10,20,25.214778
10,29,25.281692
10,27,25.349258
10,38,25.447009
10,21,25.495476
10,23,25.554141
10,18,25.599186
10,22,25.655116
10,13,25.688389
10,27,25.756319
10,31,25.833526
-1.653379,25,25.894026
10,24,25.952535
10,19,26.000345
-0.172316,18,26.04563
10,25,26.108855
-1.765943,16,26.152119
10,19,26.198738
10,24,26.250873
10,22,26.304901
10,10,26.33389
10,20,26.384786
10,22,26.439395
10,33,26.520076
10,29,26.587748
10,32,26.663039
10,25,26.728595
10,32,26.802301
-1.526122,22,26.864264
-1.28041,24,26.922982
-1.663906,22,26.978417
-2.167719,15,27.016721
10,21,27.071818
10,34,27.297595
10,27,27.361614
-5.223075,22,27.419746
10,34,27.501441
10,23,27.564543
10,17,27.610179
-0.880377,34,27.697365
10,24,27.754725
10,25,27.820146
10,50,27.939257
-10.607238,16,27.980274
10,13,28.013092
10,22,28.072999
-6.317754,13,28.106201
10,21,28.159094
-2.296644,20,28.21737
10,26,28.274907
10,23,28.330347
10,22,28.385089
10,23,28.439916
10,26,28.501472
10,24,28.559322
10,29,28.630718
10,18,28.676593
10,18,28.724353
10,18,28.772136
10,24,28.827502
10,25,28.889909
10,19,28.932213
10,15,28.974354
-6.405207,35,29.05592
10,20,29.108633
10,25,29.172284
-0.36678,18,29.219639
10,16,29.263708
10,29,29.331663
-0.401491,20,29.382996
-0.234629,19,29.431093
10,26,29.492614
10,25,29.552097
10,16,29.59407
10,27,29.663536
10,20,29.716475
10,25,29.781584
10,27,29.991943
10,21,30.040615
-0.493934,29,30.114696
-9.188329,11,30.141113
10,23,30.206534
10,33,30.2981
10,23,30.349359
10,16,30.39182
10,20,30.443912
10,33,30.523639
10,28,30.594856
-0.711701,24,30.65605
-6.398781,18,30.705439
-0.06218,25,30.766622
-2.269378,28,30.842032
10,21,30.896117
10,18,30.93987
10,26,31.004241
-0.047037,19,31.053803
10,39,31.146738
-2.847008,16,31.189245
-5.509782,24,31.248595
10,17,31.292013
10,18,31.33811
10,23,31.388672
10,23,31.444654
10,15,31.486229
-11.020301,17,31.530748
10,18,31.574817
-7.244765,17,31.62063
10,21,31.671932
10,30,31.743008
-13.741089,15,31.782722
10,17,31.823895
10,23,31.880112
-6.084032,19,31.928161
10,24,31.987009
10,17,32.033751
10,28,32.100986
10,22,32.156832
10,31,32.235025
-2.0528,18,32.281188
10,17,32.325758
10,31,32.397964
10,33,32.620223
10,29,32.695045
10,24,32.754323
-2.339547,12,32.790932
10,14,32.833952
10,37,32.922448
-2.606581,25,32.980285
-2.419169,21,33.032494
10,16,33.076678
10,17,33.12392
10,20,33.174304
10,23,33.230053
-8.020615,30,33.299754
10,33,33.379431
-4.710467,30,33.448565
10,26,33.510725
10,24,33.571018
-8.416366,25,33.630265
10,24,33.689428
10,23,33.747642
-0.207411,31,33.813706
10,33,33.893077
10,34,33.97712
-6.582119,16,34.014916
10,23,34.071728
-0.801781,20,34.120853
10,25,34.181713
10,20,34.232755
10,26,34.296811
10,19,34.346632
10,21,34.407591
10,32,34.483371
-1.867625,14,34.520962
10,17,34.561425
-3.695522,20,34.612473
10,15,34.654618
10,27,34.714381
10,28,34.781769
10,27,34.851484
-4.942259,10,34.876409
10,25,34.940903
-0.641675,18,34.985061
10,27,35.048843
-2.92595,17,35.237887
-1.03996,29,35.307806
10,30,35.380924
10,21,35.437928
10,15,35.483193
10,28,35.559584
10,22,35.61672
-1.25865,21,35.670141
10,28,35.74033
10,29,35.80952
-2.369793,21,35.867002
10,16,35.90574
10,19,35.958057
-9.498573,20,36.011087
10,21,36.063708
-1.193031,12,36.093515
10,21,36.145561
10,21,36.199358
-5.273113,26,36.263902
10,19,36.318274
-0.242067,15,36.354658
10,17,36.398392
-6.974243,23,36.457602
-4.181642,31,36.536506
10,21,36.591397
10,27,36.659231
10,20,36.716699
10,17,36.760797
10,12,36.7923
10,15,36.832498
10,25,36.894629
10,23,36.953237
10,15,36.99411
10,19,37.036894
10,16,37.077576
10,17,37.124934
10,27,37.192138
10,16,37.230517
10,17,37.274625
10,23,37.334921
10,16,37.377113
10,23,37.436559
10,24,37.497082
-1.162635,22,37.551177
10,30,37.628295
10,17,37.668183
10,25,37.731487
10,24,37.934481
10,24,37.991785
