serial_timesteps,total_timesteps,nupdates,eprewmean,value_loss,approxkl,explained_variance,policy_loss,clipfrac,eplenmean,time_elapsed,fps,policy_entropy
68000,136000,68,6.283404733749999,10.45439,0.00014333242,-0.07349765300750732,-0.00025473846,0.0,22.28325,166.61643648147583,811,0.7695359
69000,138000,69,6.2779122225,8.324932,0.0008894402,-0.03980553150177002,-0.00070269493,0.00029999999,22.29175,169.05196952819824,821,0.74568594
70000,140000,70,6.2930183425,6.7792835,0.00018600946,0.0189286470413208,-0.0005636324,0.0,22.2695,171.47455430030823,826,0.7125478
71000,142000,71,6.2575003035,10.289441,8.567978e-05,0.022428691387176514,-3.3416192e-05,0.0,22.30275,173.89256763458252,827,0.6683042
72000,144000,72,6.12449138925,12.399522,0.00083501666,0.0033811330795288086,-0.0011718328,0.005,22.30375,176.29428243637085,833,0.6611321
73000,146000,73,6.09972081925,5.72198,0.0015887164,0.005447864532470703,-0.0014481959,0.028199993,22.345,178.70106601715088,831,0.66652226
74000,148000,74,6.12383776525,3.9129963,0.001288363,0.09706652164459229,-0.0019447956,0.019100001,22.3905,181.1056249141693,832,0.7011705
75000,150000,75,6.1655839735,4.1729646,0.00016235183,0.03566640615463257,-0.000391753,0.0017,22.3745,183.5216052532196,828,0.7566478
76000,152000,76,6.136350018,7.3863106,0.00012717202,0.007317900657653809,-0.00053867174,0.0,22.3475,185.98034405708313,814,0.74626535
77000,154000,77,5.929800504249999,19.41358,1.5710746e-05,-0.041072845458984375,-4.3395354e-05,0.0,22.332,188.411518573761,823,0.68665004
78000,156000,78,5.91643364425,5.5321026,0.0020052004,0.0662992000579834,-0.0012651697,0.0297,22.3145,190.88113284111023,810,0.7660258
79000,158000,79,5.92356769025,6.8827705,0.0009790532,-0.015053749084472656,-0.00048717356,0.001,22.309,193.37759804725647,802,0.7563037
80000,160000,80,5.89926881375,11.846762,0.00027053157,0.017591238021850586,-0.00040873396,0.0,22.30475,195.83027529716492,816,0.71574765
81000,162000,81,5.8761672777500005,7.2289042,0.0017670165,0.060601115226745605,-0.0023808822,0.016400002,22.3235,198.24622082710266,828,0.688191
82000,164000,82,5.9570805490000005,2.8962028,0.0056361216,0.18760007619857788,-0.0042625726,0.060399994,22.4195,200.66309070587158,828,0.7431452
83000,166000,83,5.911993217749999,11.054388,0.00014406949,-0.13835573196411133,-0.00031286062,0.0,22.40525,203.1187505722046,815,0.74869126
84000,168000,84,5.942350683250001,10.49138,1.8648658e-05,0.04964172840118408,-0.00014411756,0.0,22.41375,205.55808401107788,820,0.7398995
85000,170000,85,5.997513102000001,5.610941,3.860453e-05,0.06246727705001831,-0.00022926275,0.0,22.4025,208.0171070098877,813,0.75439626
86000,172000,86,6.01433315225,4.733082,0.00035303365,0.08489972352981567,-0.00055288506,0.0032,22.3635,210.47466945648193,814,0.76640147
87000,174000,87,5.9581664514999995,7.9801483,0.00017772467,0.060379862785339355,-0.00068800745,0.0,22.30725,212.91845655441284,818,0.79738045
88000,176000,88,5.8761393884999995,8.306653,0.0005876375,-0.023463129997253418,-0.0008515229,0.0015999998,22.2995,215.38171005249023,812,0.7703275
89000,178000,89,5.8341129745,6.819353,0.0017121172,0.025713801383972168,-0.0016992592,0.011,22.32725,217.8246774673462,819,0.7339762
90000,180000,90,5.79234649825,11.768638,7.9338526e-05,0.06956213712692261,-0.00022411028,0.0,22.3545,220.25501012802124,823,0.6876724
91000,182000,91,5.793547425000001,5.805851,0.00016235751,0.05441337823867798,-0.00041708007,0.0,22.40175,222.67882132530212,825,0.68980634
92000,184000,92,5.837772761999999,3.7341926,0.00016451276,0.09184354543685913,-0.00041228152,0.0011,22.45275,225.13103818893433,816,0.7135993
93000,186000,93,5.873780614999999,4.4023085,0.0010144317,0.1029813289642334,-0.0005185715,0.0111,22.50875,227.60071539878845,810,0.74650955
94000,188000,94,5.8987190475,8.533522,8.716447e-05,0.02977675199508667,-0.00017529972,0.0,22.53325,230.065039396286,812,0.74645895
95000,190000,95,5.87905072775,6.279729,0.0017438586,0.06200283765792847,-0.0011663609,0.018499998,22.5615,232.51156282424927,818,0.7337219
96000,192000,96,5.836040893250001,8.938277,0.00012267346,0.07201552391052246,3.8639224e-05,0.0,22.596,234.9230830669403,829,0.67240494
97000,194000,97,5.8165844585,4.956122,0.0018445846,0.08656889200210571,-0.0011062016,0.018299999,22.63675,237.33078837394714,831,0.63558173
98000,196000,98,5.78852866525,8.869336,1.6669292e-05,0.1292296051979065,-4.618869e-05,0.0,22.717,239.69364643096924,847,0.6017642
99000,198000,99,5.750260272249999,5.4672766,0.0015440726,0.08756321668624878,-0.0016756597,0.015700001,22.8285,242.03939723968506,853,0.58128625
100000,200000,100,5.7402162699999995,6.12836,0.00034015908,0.10088711977005005,-0.000649282,0.0008,22.9455,244.37024998664856,858,0.5233622
101000,202000,101,5.706588873500001,7.3258815,4.022424e-05,0.11488932371139526,-6.0401788e-05,0.0,23.0815,246.71229362487793,855,0.5006377
102000,204000,102,5.7075522105,4.941519,5.153603e-05,0.03260833024978638,-8.276433e-05,0.0,23.202,249.05443716049194,854,0.50932556
103000,206000,103,5.7287217385,3.0077198,0.0013864823,0.23044073581695557,-0.0018056231,0.026199996,23.31875,251.40756368637085,850,0.5910976
104000,208000,104,5.78172183975,3.6134014,0.00020208943,0.18584775924682617,-0.00042952946,0.0,23.40725,253.80234289169312,836,0.6157031
105000,210000,105,5.8127646735,4.6397743,0.00051518716,0.10115385055541992,-0.00062300777,0.0025,23.50075,256.179078578949,842,0.5640585
106000,212000,106,5.731144162500001,10.5649185,5.0597144e-05,0.038488686084747314,-2.6645486e-05,0.0,23.55075,258.56087923049927,840,0.58298874
107000,214000,107,5.850800153500001,5.8995028,0.00081303495,0.1250782012939453,-0.0009831626,0.0064,23.69175,260.9188265800476,848,0.5587246
108000,216000,108,5.88826936825,5.05684,0.00030430418,0.1411948800086975,-0.0006594266,0.00049999997,23.702,263.28027391433716,847,0.54012156
109000,218000,109,5.7837434665,6.666951,0.0011420606,0.08624511957168579,-0.0013260342,0.019500002,23.72425,265.6742594242096,836,0.60932326
110000,220000,110,5.6325450547500004,17.954426,0.0010101214,0.11503291130065918,-0.0026850048,0.007900001,23.7495,268.0871777534485,829,0.5639661
111000,222000,111,5.64686269525,5.301993,0.00014669356,0.1614970564842224,-0.00020551223,0.00049999997,23.8585,270.50194478034973,828,0.6080999
112000,224000,112,5.585977677000001,8.956137,0.00050323317,0.10321170091629028,-0.00042662193,0.00089999987,23.94425,272.90422534942627,833,0.60127026
113000,226000,113,5.59531082425,4.2486095,0.0007589709,0.0964813232421875,-0.0012027812,0.0109,24.05325,275.2939019203186,837,0.6250543
114000,228000,114,5.6282776875,5.2726026,0.0018046601,0.07108694314956665,-0.0024466405,0.028699994,24.08975,277.7149188518524,826,0.6770985
115000,230000,115,5.498350855999999,10.456149,0.00091936335,0.12298566102981567,-0.0012456137,0.0042999997,24.09825,280.1348180770874,827,0.64398795
116000,232000,116,5.5255341947500005,4.2708297,0.0007965695,0.24915051460266113,-0.0015536388,0.008900001,24.181,282.5367577075958,833,0.6852195
117000,234000,117,5.639778927749999,3.182416,0.0017130182,0.1941518783569336,-0.001994213,0.0231,24.226,284.9764151573181,820,0.73852646
118000,236000,118,5.63434083875,4.036903,0.00023627526,0.15752941370010376,-0.0008085229,0.0011999999,24.171,287.45760345458984,806,0.7461859
119000,238000,119,5.685901121749999,9.388337,0.00058649085,0.12248992919921875,-0.0007922819,0.0009999999,24.1825,289.90285778045654,818,0.66110444
120000,240000,120,5.7282521725,6.063765,8.060504e-05,0.11183148622512817,-0.00024771303,0.0,24.1815,292.30391240119934,833,0.6515514
121000,242000,121,5.741097122000001,7.313925,0.0008460264,0.13232046365737915,-0.0005455057,0.0055,24.11925,294.7697970867157,811,0.6545495
122000,244000,122,5.671040418749999,7.93641,8.091913e-05,0.14643549919128418,-0.0005706751,0.0,24.12075,297.19060015678406,826,0.6343089
123000,246000,123,5.5984500575,8.951722,0.0011296318,0.15578722953796387,-0.0017571908,0.0083,24.10025,299.5946624279022,832,0.5875914
124000,248000,124,5.57244793575,5.7072597,0.00018723862,0.15587013959884644,-0.00062395044,0.0006999999,24.217,301.9386670589447,853,0.52573675
125000,250000,125,5.6224317565,5.1685004,0.0010201456,0.18318980932235718,-0.0017939946,0.0172,24.2925,304.3139364719391,842,0.6051712
126000,252000,126,5.74475161125,4.224348,0.0013048402,0.20657402276992798,-0.0012128993,0.013299999,24.30475,306.85060477256775,788,0.6155921
127000,254000,127,5.723715152749999,5.178844,0.0010744254,0.12999951839447021,-0.0012284339,0.0096,24.3775,309.42236042022705,778,0.5625731
128000,256000,128,5.76941733375,2.488419,0.0015745753,0.2774731516838074,-0.0038558152,0.023899999,24.50825,311.78393483161926,847,0.5805057
129000,258000,129,5.858816210750001,4.0201745,0.00056849676,0.16759157180786133,-0.0010603329,0.0055999993,24.589,314.180775642395,835,0.6043436
130000,260000,130,5.813934733,11.691332,0.001132532,0.15257316827774048,-0.00084041,0.0083,24.62475,316.57156205177307,837,0.52719176
131000,262000,131,5.8170878485,2.291974,0.004268802,0.24713057279586792,-0.005029238,0.04900001,24.683,318.91573095321655,853,0.59862626
132000,264000,132,5.80713488825,3.0785687,0.00043387993,0.16208189725875854,-0.00022612035,0.0034999994,24.70675,321.3128161430359,834,0.63647294
133000,266000,133,5.9199941495,2.7380767,0.0007023652,0.15773659944534302,-0.0007922057,0.008199999,24.72625,323.7750520706177,812,0.6929006
134000,268000,134,5.87925327675,10.591384,0.00013076114,0.13312441110610962,-0.00029560225,0.0,24.74725,326.17886424064636,832,0.5977811
135000,270000,135,5.8817068315,5.070129,0.0010624503,0.1519826054573059,-0.00078111707,0.0056,24.7695,328.6307108402252,816,0.6376537
136000,272000,136,5.896344484499999,7.1748176,0.00018530406,0.08470553159713745,-0.00024565938,0.0007,24.80525,331.04364252090454,829,0.600755
137000,274000,137,5.90426475425,5.2894573,0.000282617,0.188357412815094,-0.0011179064,0.00029999999,24.8415,333.46288228034973,827,0.647136
138000,276000,138,5.959726485749999,2.969501,0.0004888532,0.13007092475891113,-0.0009916471,0.0028,24.8605,335.90935230255127,818,0.6770715
139000,278000,139,6.00774994,5.6933136,0.00011952799,0.06856697797775269,-0.00034797657,0.0,24.83375,338.37038588523865,813,0.6615517
140000,280000,140,6.00262218525,5.145429,0.0013100061,0.12258273363113403,-0.00083106087,0.0183,24.8715,340.81921887397766,817,0.6596987
141000,282000,141,6.021336236499999,5.310473,0.0011048501,0.1211702823638916,-0.00082866347,0.0092,24.83425,343.2753098011017,814,0.67108744
142000,284000,142,5.9872276305,4.9562416,0.0020919184,0.12145256996154785,-0.0021561924,0.026399996,24.7915,345.72193455696106,818,0.7090718
143000,286000,143,5.98187020775,5.923359,0.00039895665,0.14409977197647095,-0.00062100234,1e-04,24.76225,348.16847586631775,818,0.7194403
144000,288000,144,5.98117715425,6.3500347,0.0017274175,0.14281314611434937,-0.0014903528,0.016700001,24.70775,350.66069531440735,803,0.72688323
145000,290000,145,6.051262062,4.088231,0.00038174997,0.1313653588294983,-0.0008096441,0.0,24.65375,353.1673038005829,798,0.6972676
146000,292000,146,6.013139665250001,8.649878,0.0008102048,0.19479572772979736,-0.0013259859,0.0059,24.589,355.6371626853943,810,0.6700909
147000,294000,147,6.075466210500001,5.749303,0.0011099786,0.16049975156784058,-0.00097416935,0.006499999,24.4955,358.10132908821106,812,0.7076925
148000,296000,148,6.1527016025000005,2.7865436,9.378023e-05,0.16480964422225952,-0.00018016122,0.0002,24.25925,360.6052658557892,799,0.738821
149000,298000,149,6.197053621,6.3952417,2.6912261e-05,0.1309415102005005,-0.0001498262,0.0,24.09,363.05824542045593,815,0.7083136
150000,300000,150,6.269034883000001,4.1625094,0.0011797128,0.07672333717346191,-0.00047343425,0.011799999,23.89375,365.5264117717743,810,0.7519496
151000,302000,151,6.232448778,3.8894706,0.00064205035,0.07772564888000488,-0.0005680817,0.0018,23.72525,368.0160412788391,803,0.73501325
152000,304000,152,6.21116702875,5.4992313,0.00036513538,0.12280845642089844,-0.00031715285,0.0,23.62625,370.48155879974365,811,0.6635945
153000,306000,153,6.306708785250001,4.344216,0.000798364,0.15521079301834106,-0.0005364329,0.0044,23.572,372.9106693267822,823,0.6679991
154000,308000,154,6.3452642702499995,5.9451447,0.00351832,0.1744810938835144,-0.002245452,0.034,23.5025,375.3331184387207,826,0.58428746
155000,310000,155,6.36103188375,2.7023785,0.00354921,0.12994253635406494,-0.0020683869,0.0551,23.4595,377.76164197921753,824,0.66633743
156000,312000,156,6.44103482275,2.5839405,0.00015838309,0.16382485628128052,-0.00015493746,0.0,23.488,380.16423654556274,833,0.6419353
157000,314000,157,6.615694285,3.5612237,0.0030179077,0.11213940382003784,-0.0025908041,0.045600004,23.4665,382.6100273132324,818,0.732963
158000,316000,158,6.5941004012499995,5.409541,0.00075711095,0.1313706636428833,-0.0015251487,0.0022,23.42475,385.06139159202576,816,0.68898207
159000,318000,159,6.70016781125,2.9564974,0.0014826048,0.16251212358474731,-0.001123751,0.0112999985,23.376,387.5239405632019,812,0.6405192
160000,320000,160,6.753384141250001,1.4572067,0.0035746105,0.2875699996948242,-0.00044555974,0.0523,23.336,389.94910192489624,825,0.6894597
161000,322000,161,6.795230289499999,3.561898,0.0007476288,0.16141456365585327,-0.0011736889,0.0038999997,23.34225,392.3669466972351,827,0.66813904
162000,324000,162,6.916754560499999,3.2604718,0.0013884163,0.13608676195144653,-0.001329953,0.017199997,23.333,394.85727167129517,803,0.6970045
163000,326000,163,6.839875890499999,4.4537063,0.0001282013,0.1699114441871643,-0.00057064346,0.0006999999,23.29725,397.3505609035492,802,0.71831477
164000,328000,164,6.835116255499999,3.8674088,0.0016045886,0.09202772378921509,-0.00078248815,0.0106,23.3435,399.7609269618988,830,0.67081076
