eprewmean,value_loss,nupdates,policy_loss,clipfrac,total_timesteps,approxkl,serial_timesteps,fps,explained_variance,policy_entropy,eplenmean,time_elapsed
0.0,1.9867948,1,0.00061956013,0.11694336,2048,0.009523034,2048,384,0.08525800704956055,1.5854267,1501.0,5.32051682472229
0.0,1.5651424,2,-0.009875929,0.2076172,4096,0.01400354,4096,418,0.1516125202178955,1.5723166,1501.0,10.230742454528809
0.0,1.2607472,3,-0.0055742664,0.13574219,6144,0.01027263,6144,386,0.3899382948875427,1.5382904,1501.0,15.533820629119873
16.4,2.8792348,4,-0.0030289085,0.08095703,8192,0.00739137,8192,423,0.21334117650985718,1.5289866,1501.0,20.374567985534668
20.166666666666668,1.3376768,5,-0.0012443115,0.10629883,10240,0.009048728,10240,421,0.2927783727645874,1.4706134,1501.0,25.228309631347656
15.125,0.3653632,6,-0.0072785704,0.17016602,12288,0.012120316,12288,386,0.8272095620632172,1.4405439,1501.0,30.52851438522339
24.77777777777778,3.180762,7,-0.0032431341,0.077539064,14336,0.0064804656,14336,428,0.2594122290611267,1.4316001,1501.0,35.309412240982056
22.3,0.14258105,8,-0.006133328,0.1430664,16384,0.0116859395,16384,421,0.8864373937249184,1.4350071,1501.0,40.174232721328735
19.25,0.24616781,9,-0.0059525366,0.1331543,18432,0.009190792,18432,389,0.6327634453773499,1.4129603,1501.0,45.430023431777954
17.76923076923077,0.07973982,10,-0.0039662635,0.12294922,20480,0.0088223545,20480,418,0.8538122624158859,1.4535537,1501.0,50.324440002441406
15.4,0.05867908,11,-0.008408021,0.16523437,22528,0.01093291,22528,396,0.813604086637497,1.4299784,1501.0,55.487361431121826
26.25,9.083805,12,-0.0037370794,0.17661133,24576,0.014896174,24576,418,0.1794721484184265,1.3943603,1501.0,60.380532026290894
24.705882352941178,3.5326645,13,-0.0051063406,0.14760742,26624,0.011206174,26624,426,0.03763473033905029,1.421426,1501.0,65.1875786781311
32.73684210526316,2.413031,14,-0.0043641236,0.11674805,28672,0.0077095605,28672,390,0.04289132356643677,1.3553613,1501.0,70.43530058860779
31.1,0.011351042,15,-0.0051095122,0.14057617,30720,0.010784899,30720,418,0.9371206760406494,1.3992255,1501.0,75.33190608024597
29.61904761904762,0.005686711,16,-0.007826274,0.1703125,32768,0.013022736,32768,421,0.9231582507491112,1.353987,1501.0,80.19368863105774
27.043478260869566,0.006615358,17,-0.008584088,0.122851565,34816,0.0116361845,34816,389,0.9546082690358162,1.3022797,1501.0,85.44993448257446
25.958333333333332,1.1927865,18,-0.005521576,0.107421875,36864,0.008752439,36864,409,-0.00768589973449707,1.2662212,1501.0,90.44673252105713
26.92,0.004153224,19,-0.005861071,0.09887695,38912,0.012074861,38912,419,0.9266193881630898,1.2836971,1497.88,95.33000183105469
26.666666666666668,3.0135837,20,0.00046996586,0.123535156,40960,0.008525165,40960,397,-0.07079911231994629,1.2211431,1498.0740740740741,100.4823739528656
28.107142857142858,1.1118783,21,-0.0035749685,0.15864258,43008,0.011272293,43008,423,-0.05308353900909424,1.1656313,1498.1785714285713,105.31494760513306
27.633333333333333,0.0019065315,22,-0.011219503,0.1527832,45056,0.01299649,45056,396,0.9088965281844139,1.2315125,1497.5,110.47883105278015
26.741935483870968,0.0012691424,23,-0.0039362004,0.16381836,47104,0.01083387,47104,424,0.9323830604553223,1.2516078,1497.6129032258063,115.30740332603455
25.90625,0.5428964,24,0.00036454844,0.12080078,49152,0.009038378,49152,393,0.027015626430511475,1.2628753,1497.71875,120.51635074615479
26.058823529411764,0.28125927,25,-0.0013298172,0.115429685,51200,0.009782925,51200,391,0.23393070697784424,1.2025946,1494.6470588235295,125.74644804000854
25.314285714285713,0.0013071548,26,-0.0039989506,0.10463867,53248,0.009201126,53248,417,0.5148905515670776,1.2585456,1494.8285714285714,130.6509952545166
25.18918918918919,1.1053468,27,-0.0046611046,0.10683594,55296,0.008622013,55296,395,0.15060991048812866,1.2711054,1493.837837837838,135.83256196975708
25.105263157894736,0.76742584,28,-0.0031075375,0.14399414,57344,0.012520386,57344,415,0.2764325737953186,1.0957023,1494.0263157894738,140.76634764671326
25.256410256410255,0.0041221245,29,-0.009760156,0.18310547,59392,0.015439311,59392,416,0.21504276990890503,1.1747227,1491.128205128205,145.68580985069275
24.024390243902438,0.01787072,30,-0.0039530983,0.07514648,61440,0.0061522676,61440,394,0.8180960267782211,1.2183127,1491.6097560975609,150.8773250579834
24.285714285714285,0.6581724,31,-0.0011981827,0.081445314,63488,0.006634053,63488,414,0.2413346767425537,1.0811385,1489.595238095238,155.82327222824097
24.25,0.5561819,32,-0.0027785276,0.15830079,65536,0.014212471,65536,393,0.4098687767982483,1.1321563,1484.25,161.0216760635376
24.444444444444443,0.9983352,33,0.00043776026,0.09458008,67584,0.0070631006,67584,420,0.3361492156982422,0.99912757,1478.5777777777778,165.89235496520996
24.595744680851062,1.2042867,34,-0.0015502159,0.102832034,69632,0.008042951,69632,391,0.3597182631492615,1.0609418,1467.1063829787233,171.12931942939758
24.3265306122449,0.004872168,35,-0.0023027472,0.1621582,71680,0.011647988,71680,387,0.9551769196987152,1.308442,1460.2448979591836,176.41309785842896
24.12,0.09338786,36,-0.0040115714,0.0746582,73728,0.0064487075,73728,410,0.7602507174015045,1.2029408,1453.06,181.4020218849182
23.423076923076923,0.1517416,37,-0.0006963493,0.1703125,75776,0.012301599,75776,395,0.7272569239139557,1.2807186,1448.423076923077,186.58561396598816
