serial_timesteps,total_timesteps,value_loss,time_elapsed,nupdates,clipfrac,fps,policy_loss,explained_variance,policy_entropy,approxkl,eprewmean,eplenmean
60000,60000,25.620909,169.1267373561859,40,0.0006000001,389,-0.00072801666,0.9484381787478924,0.47104087,0.00040734536,183.312922,659.0
61500,61500,19.548803,173.27816009521484,41,0.0086,361,-0.0011716563,0.9672167040407658,0.55850637,0.00083570654,452.813214,1039.0
63000,63000,5.2711186,177.15298461914062,42,0.0023333328,387,-0.0005229813,0.9847172750160098,0.8338321,0.0007597126,317.696073,909.0
64500,64500,12.963095,181.4567892551422,43,0.004333333,348,-0.0014786945,0.9806288350373507,0.53398967,0.0007988851,528.984016,1000.0
66000,66000,4.6816463,185.77172017097473,44,0.035599988,347,-0.004319526,0.9922182564623654,0.8135239,0.004018714,306.36218,866.0
67500,67500,20.271223,189.79903888702393,45,0.083933316,372,-0.004408786,0.93886623904109,0.884818,0.00713392,989.42863,1500.0
69000,69000,17.043688,193.7439465522766,46,0.0,380,-0.0012123043,0.972790714353323,0.5079071,0.0002713696,539.803571,953.0
70500,70500,23.745037,197.58643913269043,47,0.009733334,390,-0.002346633,0.9413650333881378,0.8159003,0.0011914397,120.334048,881.0
72000,72000,19.121222,201.5019245147705,48,0.018266663,383,-0.0017608313,0.9447358250617981,0.9477422,0.0013199789,885.957243,1500.0
73500,73500,19.15106,205.74943113327026,49,0.04106665,353,-0.004289556,0.9668978527188301,0.7682697,0.004074805,577.74388,1027.0
75000,75000,19.849876,209.74268078804016,50,0.017866667,375,-0.0014803202,0.9445858187973499,0.9809074,0.0015415997,956.414933,1500.0
76500,76500,20.31913,213.80719566345215,51,0.006533333,369,-0.0019675896,0.9520007334649563,0.93298364,0.0013785362,860.222652,1500.0
78000,78000,21.551664,217.66767525672913,52,0.0013333334,388,-0.0020825993,0.9552888423204422,0.898356,0.0017757018,841.14924,1500.0
79500,79500,2.7184467,221.5516664981842,53,0.00053333334,386,-0.0011251216,0.995253870729357,0.6450856,0.00058273994,478.809806,1066.0
81000,81000,165200.77,225.43435764312744,54,0.05733332,386,-0.003608177,0.014734208583831787,0.9008476,0.0052600987,8117.258743,1106.0
82500,82500,11.712385,229.35292196273804,55,0.04546665,382,-0.008303364,0.975170660763979,0.9246173,0.0038980702,758.514913,1305.0
84000,84000,38.68241,233.65104460716248,56,0.0212,349,-0.0020145627,0.9433618076145649,0.7861827,0.0018761453,447.779225,1013.0
85500,85500,3.8130517,237.59999108314514,57,0.0,379,-0.00092128175,0.9914596872404218,0.77254456,0.0001830219,451.945889,1012.0
87000,87000,20.33122,241.4231035709381,58,0.09586666,392,-0.006181776,0.9650101028382778,0.88886446,0.005028749,911.071742,1500.0
88500,88500,654093060.0,245.76740145683289,59,0.0,345,-0.0014561177,0.00024390220642089844,0.8697107,0.0007151453,476604.176737,1199.0
90000,90000,19.989042,249.64514470100403,60,0.021533333,386,-0.0015839881,0.9494109526276588,0.98402214,0.0011131127,901.767322,1500.0
91500,91500,19.75348,253.53523707389832,61,0.0156,385,-0.0014303242,0.9527068883180618,0.9456471,0.0020968928,908.116851,1500.0
93000,93000,38.20164,257.54495334625244,62,0.01906666,374,-0.0025268996,0.9441378563642502,0.6720911,0.0017984804,667.420327,1124.0
94500,94500,20.49114,261.4553096294403,63,0.03493332,383,-0.002255589,0.9458596222102642,1.0026737,0.003426352,895.762253,1500.0
96000,96000,2.8856726,265.4507300853729,64,0.030599989,375,-0.0039393427,0.9942681738175452,0.8501229,0.003653748,783.866524,1278.0
97500,97500,5.396634,269.61782908439636,65,0.0043333326,359,-0.0009237768,0.9909241599962115,0.7214482,0.0010415716,257.47889,818.0
99000,99000,19.977995,273.47504329681396,66,0.088066645,388,-0.0070406375,0.9588307105004787,0.91811484,0.0070050997,917.409836,1500.0
100500,100500,1.9910179,277.3480920791626,67,0.012266663,387,-0.0015448749,0.9962901216931641,0.7128636,0.0018726533,576.787333,1120.0
102000,102000,7.065641,281.28300404548645,68,0.015133331,381,-0.003170126,0.9856556877493858,0.949358,0.0025390629,649.354395,1201.0
103500,103500,19.558094,285.15944504737854,69,0.012733333,386,-0.0015942546,0.9561436846852303,1.0230742,0.001932077,905.216498,1500.0
105000,105000,26.282873,289.3455834388733,70,0.017133327,358,-0.0028216294,0.9526972360908985,0.94275594,0.0011499175,488.306983,928.0
106500,106500,3.0359206,293.37306475639343,71,0.0129999975,372,-0.0030598661,0.9951798273250461,0.6926054,0.0023218726,559.174815,1133.0
108000,108000,3.2716944,297.2051932811737,72,0.0,391,-0.0010309655,0.9937642896547914,0.9621806,0.00047947903,872.396886,1440.0
109500,109500,19.890026,301.05393052101135,73,0.021399999,389,-0.0010114156,0.9446555599570274,1.0235122,0.0019941046,887.475264,1500.0
111000,111000,18.474579,304.8796970844269,74,0.0636,392,-0.003113837,0.9706198927015066,1.0309511,0.004733424,940.638083,1500.0
