steps,episode,episode steps,reward,loss,mse,mean_q,test episode,test reward,test steps,test steps(s)
53728/500000,333,120,-78.527,23.06139,38.808964,-0.621678,333,58.839,586,201
53895/500000,334,167,-74.461,16.626163,32.202904,-0.414671,334,-87.992,102,201
53992/500000,335,97,-89.206,19.17803,29.662544,-0.135868,335,51.906,572,121
54218/500000,336,226,-50.917,25.620941,37.485371,-0.412952,336,15.955,396,101
54300/500000,337,82,-94.064,18.227949,31.024843,-0.351686,337,-41.801,293,157
54799/500000,338,499,45.616,30.038033,43.989342,-0.642169,338,22.484,366,186
54920/500000,339,121,-72.737,28.683168,45.167454,-0.666337,339,80.572,719,111
55181/500000,340,261,-27.743,23.77915,40.080746,-0.459083,340,287.511,1002,123
55500/500000,341,319,-15.295,24.983522,38.861877,-0.460451,341,-91.166,92,70
55844/500000,342,344,2.856,18.434973,35.307739,-0.401559,342,96.776,646,142
56016/500000,343,172,-55.453,20.939329,38.688606,-0.41215,343,-61.989,218,194
56195/500000,344,179,-60.746,24.253672,42.175102,-0.495792,344,-76.31,149,201
56247/500000,345,52,-96.078,28.081139,45.3545,-0.682481,345,-19.631,330,201
56406/500000,346,159,-71.454,24.470545,42.664448,-0.553279,346,-0.849,434,159
56735/500000,347,329,-9.282,27.602839,44.314781,-0.60203,347,49.918,568,173
56931/500000,348,196,-52.365,30.398705,47.330303,-0.609091,348,-92.439,76,92
57225/500000,349,294,-19.489,30.305933,47.465656,-0.766168,349,33.455,520,160
57356/500000,350,131,-60.95,19.684328,39.743416,-0.568142,350,-77.196,131,196
57483/500000,351,127,-86.197,22.868574,41.891552,-0.513372,351,90.411,684,123
57544/500000,352,61,-95.557,21.233976,39.418304,-0.526907,352,-35.985,260,201
57625/500000,353,81,-94.144,21.546745,37.1642,-0.308327,353,-0.573,397,201
57709/500000,354,84,-91.689,32.081944,48.292625,-0.573824,354,285.594,1002,144
57931/500000,355,222,-58.726,26.187443,42.64299,-0.569208,355,-58.162,192,108
58359/500000,356,428,24.936,24.98447,41.718914,-0.514256,356,-86.952,110,201
58529/500000,357,170,-66.569,23.412914,40.721733,-0.421948,357,-50.859,223,201
58585/500000,358,56,-95.875,15.413642,35.572071,-0.430116,358,28.85,446,119
58782/500000,359,197,-36.305,23.433779,42.073669,-0.58262,359,-24.56,257,153
59219/500000,360,437,90.361,26.742044,44.462914,-0.580541,360,-50.741,178,201
59379/500000,361,160,-61.949,23.265743,43.202568,-0.569096,361,-39.829,241,196
59675/500000,362,296,-24.317,29.064417,47.453163,-0.657697,362,20.65,413,164
59834/500000,363,159,-45.862,30.203554,47.658195,-0.615515,363,-13.755,344,99
59919/500000,364,85,-93.159,29.808504,49.225349,-0.722676,364,-61.02,219,201
60565/500000,365,646,80.004,20.733046,42.894344,-0.477408,365,-86.106,101,163
60848/500000,366,283,-26.403,23.554636,45.123661,-0.440659,366,-85.809,110,141
61167/500000,367,319,-7.554,24.268761,46.90601,-0.516431,367,-86.31,108,201
61307/500000,368,140,-81.544,22.261618,43.87624,-0.508779,368,46.608,509,100
61564/500000,369,257,-32.586,24.952072,45.033348,-0.504386,369,-9.902,399,110
61870/500000,370,306,-10.908,19.91024,39.8242,-0.31921,370,-55.833,159,201
61925/500000,371,55,-95.426,17.86392,39.356388,-0.523006,371,-56.568,208,201
62025/500000,372,100,-87.775,19.481426,40.040512,-0.392137,372,49.205,590,183
62111/500000,373,86,-92.029,23.066542,42.904865,-0.346686,373,45.513,621,122
62173/500000,374,62,-95.835,22.571461,42.044914,-0.346317,374,-34.572,256,201
62617/500000,375,444,57.699,19.242262,40.842579,-0.340027,375,-31.922,277,201
62696/500000,376,79,-93.423,33.047485,55.034447,-0.891914,376,-2.231,366,189
62816/500000,377,120,-67.713,21.695822,42.219418,-0.499826,377,-72.592,141,157
63111/500000,378,295,-6.111,20.778942,41.029518,-0.407646,378,-39.113,236,133
63334/500000,379,223,-43.211,22.261375,43.657784,-0.519424,379,-86.685,115,157
63478/500000,380,144,-71.851,12.527996,33.826023,-0.20591,380,-89.66,97,96
63700/500000,381,222,-47.92,21.210165,42.608353,-0.451029,381,-16.407,392,142
63858/500000,382,158,-55.032,19.083769,39.436882,-0.352163,382,101.701,790,191
63958/500000,383,100,-90.31,20.814651,42.420753,-0.579928,383,-73.771,161,130
64027/500000,384,69,-93.971,25.632677,47.979645,-0.620633,384,-13.493,321,175
64085/500000,385,58,-95.798,28.542231,46.072216,-0.42693,385,-9.328,325,156
64466/500000,386,381,3.646,26.582518,47.68869,-0.615005,386,7.322,420,201
64514/500000,387,48,-96.635,22.537079,47.552929,-0.7558,387,-71.773,172,201
64587/500000,388,73,-94.525,19.66548,43.254951,-0.429851,388,5.189,420,130
65581/500000,389,994,307.705,18.589947,41.429184,-0.404533,389,101.299,779,122
65728/500000,390,147,-69.673,20.929571,45.832504,-0.54618,390,-49.13,234,95
66094/500000,391,366,-10.118,21.740971,44.115044,-0.421494,391,53.549,645,99
66311/500000,392,217,-45.307,19.480991,42.354202,-0.399849,392,-90.549,87,142
66394/500000,393,83,-93.754,25.644932,43.430824,-0.349397,393,-70.28,140,147
66865/500000,394,471,18.884,25.752571,47.340424,-0.528027,394,145.143,901,129
66997/500000,395,132,-85.358,16.495924,39.779602,-0.369311,395,-85.054,100,93
67407/500000,396,410,23.631,19.557096,44.343311,-0.385288,396,-80.361,115,175
67482/500000,397,75,-94.426,14.222712,35.709805,-0.120516,397,-76.706,141,113
67708/500000,398,226,-52.659,22.013245,44.635723,-0.440923,398,-15.558,336,88
67845/500000,399,137,-76.322,14.098953,37.34729,-0.203233,399,-50.447,215,167
68018/500000,400,173,-61.129,18.228132,43.535568,-0.44663,400,-66.978,154,201
68201/500000,401,183,-55.219,15.2057,37.371418,-0.154255,401,-46.761,207,192
68671/500000,402,470,54.739,18.195969,41.366272,-0.336468,402,30.466,473,155
68847/500000,403,176,-70.544,15.799738,38.422184,-0.33435,403,123.497,830,201
68910/500000,404,63,-95.953,14.300884,41.445713,-0.476712,404,-51.619,205,79
68969/500000,405,59,-95.974,28.546606,52.471046,-0.5775,405,-41.822,245,111
69253/500000,406,284,-5.138,20.626568,44.747364,-0.450795,406,-45.16,211,201
69332/500000,407,79,-93.074,32.027729,54.507195,-0.677962,407,112.227,754,201
69448/500000,408,116,-86.034,26.460611,49.850796,-0.513861,408,-35.173,324,201
69762/500000,409,314,-17.859,20.466072,45.700478,-0.535208,409,-12.687,392,104
69888/500000,410,126,-84.705,17.705055,40.673866,-0.366527,410,319.923,1002,201
70286/500000,411,398,9.651,18.177698,44.818684,-0.534504,411,30.01,395,186
70329/500000,412,43,-96.62,31.197691,56.700901,-0.53759,412,53.081,455,161
70609/500000,413,280,-31.258,22.893639,50.046356,-0.545045,413,-26.959,316,138
70711/500000,414,102,-73.663,27.89065,57.039337,-0.775234,414,45.392,552,136
70761/500000,415,50,-95.257,14.11509,43.139904,-0.530997,415,60.48,697,174
70871/500000,416,110,-88.018,9.921591,39.982899,-0.346923,416,110.872,886,131
71045/500000,417,174,-57.086,27.767136,54.023876,-0.51757,417,-76.871,116,87
71346/500000,418,301,-21.218,18.494091,49.337654,-0.597043,418,-76.602,144,111
71660/500000,419,314,-13.38,21.507328,51.203674,-0.634131,419,-82.825,126,133
71718/500000,420,58,-95.448,21.019615,45.544121,-0.236292,420,-34.567,214,126
71850/500000,421,132,-72.928,23.801281,52.033203,-0.654902,421,-15.7,395,201
72015/500000,422,165,-55.099,25.591974,53.193668,-0.713166,422,-27.101,379,116
72112/500000,423,97,-91.712,17.876646,49.083401,-0.715252,423,4.913,473,173
72161/500000,424,49,-96.12,31.131981,57.297897,-0.573674,424,-73.948,144,148
72275/500000,425,114,-87.585,17.165625,45.503418,-0.571532,425,-53.71,184,201
72562/500000,426,287,-15.954,19.749802,47.751465,-0.529875,426,31.233,337,201
72613/500000,427,51,-96.306,29.703228,54.134113,-0.578156,427,-27.133,165,148
72648/500000,428,35,-95.669,18.683144,52.613625,-0.931628,428,45.12,412,201
72844/500000,429,196,-29.932,18.718246,48.368073,-0.554973,429,-24.024,318,117
72914/500000,430,70,-95.339,12.053666,39.818626,-0.304873,430,-73.46,149,111
73247/500000,431,333,-21.241,15.770077,47.040871,-0.547147,431,108.007,635,201
73297/500000,432,50,-96.663,16.399471,42.540192,-0.39963,432,-34.869,280,149
73654/500000,433,357,5.607,20.399668,48.115501,-0.520196,433,-61.976,140,105
73770/500000,434,116,-78.696,20.815754,47.443348,-0.386764,434,138.692,863,137
73984/500000,435,214,-34.165,19.122637,48.741577,-0.457571,435,68.464,717,71
74029/500000,436,45,-96.455,11.22838,34.641624,0.024183,436,28.174,429,201
74358/500000,437,329,-14.728,21.045874,49.151848,-0.503887,437,136.287,786,175
74466/500000,438,108,-87.297,26.370283,56.164108,-0.849999,438,-5.243,308,83
74649/500000,439,183,-70.834,13.880091,45.972427,-0.374726,439,-41.961,255,92
74756/500000,440,107,-89.12,12.371421,41.129795,-0.209282,440,-54.633,214,102
74852/500000,441,96,-89.888,9.269056,41.736645,-0.336218,441,0.435,413,166
74932/500000,442,80,-94.285,13.361461,40.705669,-0.200926,442,-53.113,230,126
75153/500000,443,221,-38.461,21.201042,47.737381,-0.422963,443,-33.936,298,110
75349/500000,444,196,-42.843,15.988404,47.7971,-0.530316,444,-87.038,109,106
75542/500000,445,193,-53.751,14.75246,44.325077,-0.328073,445,-68.914,161,86
75728/500000,446,186,-57.708,15.535337,45.290154,-0.327752,446,-78.626,138,184
75928/500000,447,200,-63.759,20.697031,49.655861,-0.569805,447,137.694,764,201
76096/500000,448,168,-66.757,12.275144,41.849525,-0.409609,448,39.337,404,201
76485/500000,449,389,-13.292,18.338436,47.76907,-0.498444,449,-52.008,234,156
76622/500000,450,137,-82.373,24.663561,52.978737,-0.554944,450,-52.753,190,95
76666/500000,451,44,-96.689,12.975714,41.779606,-0.347252,451,-55.397,249,101
76784/500000,452,118,-63.806,19.182659,48.540871,-0.606826,452,-79.191,83,132
76889/500000,453,105,-88.664,30.027914,57.934414,-0.791253,453,-88.065,106,109
77013/500000,454,124,-83.151,19.958271,47.996201,-0.541346,454,-20.189,318,100
77270/500000,455,257,-40.776,19.628082,49.364651,-0.600148,455,-75.886,132,120
77548/500000,456,278,-35.496,24.428709,53.550426,-0.584256,456,7.866,423,130
77694/500000,457,146,-82.851,18.915247,49.198658,-0.512006,457,-45.153,219,201
77780/500000,458,86,-93.541,22.261232,51.101585,-0.553275,458,-55.368,164,99
78103/500000,459,323,-0.967,18.102154,49.236614,-0.493705,459,-84.556,116,118
78193/500000,460,90,-80.813,19.837822,49.110493,-0.434769,460,-84.453,114,197
78284/500000,461,91,-89.739,21.41647,53.270428,-0.710416,461,-35.511,155,201
78539/500000,462,255,-32.47,17.841766,47.463295,-0.492632,462,-47.204,258,165
78716/500000,463,177,-70.186,15.954924,44.310551,-0.385146,463,-89.172,98,117
78763/500000,464,47,-96.862,9.288607,36.448769,-0.354308,464,-87.641,101,119
78893/500000,465,130,-75.635,16.85408,43.274483,-0.318348,465,-74.989,156,94
79221/500000,466,328,-21.26,20.373941,52.107712,-0.659575,466,-58.346,206,118
79378/500000,467,157,-37.179,18.56205,51.594994,-0.655257,467,7.517,362,119
79982/500000,468,604,47.621,19.400015,48.310024,-0.491354,468,62.904,641,100
80070/500000,469,88,-91.055,21.296436,50.996536,-0.75426,469,-1.001,335,111
80128/500000,470,58,-94.685,17.681778,55.183647,-1.111809,470,285.162,967,95
80331/500000,471,203,-40.937,26.330435,59.858505,-1.072832,471,-25.148,335,89
80462/500000,472,131,-82.674,14.830793,49.925625,-0.666853,472,39.397,402,201
80509/500000,473,47,-95.963,13.265905,50.092083,-0.706867,473,-12.362,324,192
80761/500000,474,252,-15.871,19.777021,55.745289,-0.865742,474,69.493,678,201
81068/500000,475,307,-19.705,15.134123,53.440224,-0.815566,475,3.251,504,201
81476/500000,476,408,13.861,21.462517,58.967213,-0.856475,476,42.589,621,110
81619/500000,477,143,-67.479,12.782645,54.663822,-0.941269,477,60.423,569,116
81753/500000,478,134,-78.142,17.097956,54.096935,-0.74014,478,-7.385,392,110
81829/500000,479,76,-92.806,16.576078,57.315861,-0.851988,479,-78.795,123,99
81989/500000,480,160,-69.835,17.174448,53.97121,-0.701686,480,-49.917,183,123
82061/500000,481,72,-94.25,15.409897,52.744705,-0.600697,481,-82.412,118,76
82305/500000,482,244,-17.875,20.439009,56.244678,-0.777052,482,175.61,877,108
82455/500000,483,150,-74.788,21.102301,57.207695,-0.960869,483,-70.897,185,161
82504/500000,484,49,-96.238,20.338491,56.691948,-0.789374,484,-21.71,345,103
82701/500000,485,197,-53.867,16.666231,55.845158,-0.849635,485,-29.175,298,120
82793/500000,486,92,-90.056,14.507874,55.857548,-0.826606,486,-26.121,294,201
83023/500000,487,230,-38.399,18.388033,52.693954,-0.668958,487,346.404,1002,201
83299/500000,488,276,-9.9,15.670526,52.997292,-0.735666,488,-60.526,149,201
83387/500000,489,88,-91.832,17.383366,60.182983,-1.137715,489,37.988,417,127
83628/500000,490,241,-46.609,18.925327,56.82571,-0.905242,490,-49.199,164,201
83710/500000,491,82,-93.163,22.973927,58.78714,-0.912824,491,74.119,546,102
83852/500000,492,142,-83.285,23.14451,60.200195,-1.093094,492,-71.789,177,177
84116/500000,493,264,-40.586,19.094704,56.85294,-0.803887,493,-63.923,209,201
84374/500000,494,258,-23.058,18.184483,55.50882,-0.783532,494,41.869,582,201
84493/500000,495,119,-87.586,9.882425,51.33498,-0.763979,495,207.763,882,163
84546/500000,496,53,-96.246,25.330187,57.570137,-0.687717,496,-47.646,197,155
84684/500000,497,138,-65.958,12.694545,52.24334,-0.750172,497,-53.828,208,111
84734/500000,498,50,-95.908,14.884055,56.43956,-0.715615,498,-24.232,277,201
84892/500000,499,158,-53.589,21.391243,59.510506,-0.767409,499,-64.039,148,148
85089/500000,500,197,-66.444,17.783388,56.031219,-0.766073,500,-78.188,109,125
85192/500000,501,103,-88.236,19.627859,55.543053,-0.614459,,,,
85297/500000,502,105,-89.043,14.223824,52.720802,-0.662338,,,,
85397/500000,503,100,-85.635,21.251892,62.475266,-0.915527,,,,
85501/500000,504,104,-91.413,14.672796,56.141254,-0.774707,,,,
85610/500000,505,109,-87.88,24.100105,57.425102,-0.573508,,,,
86141/500000,506,531,43.837,22.836552,59.795536,-0.901473,,,,
86260/500000,507,119,-85.414,13.617871,53.834602,-0.653725,,,,
86532/500000,508,272,-24.076,18.242317,58.656998,-0.83154,,,,
86620/500000,509,88,-90.93,16.598274,57.197498,-0.720071,,,,
86702/500000,510,82,-91.923,15.095971,51.39571,-0.364553,,,,
86787/500000,511,85,-83.171,20.035191,59.833054,-0.82832,,,,
86866/500000,512,79,-94.465,21.91198,56.166283,-0.664203,,,,
87007/500000,513,141,-79.27,17.705965,57.892563,-0.859334,,,,
87090/500000,514,83,-91.531,10.541523,50.455688,-0.745192,,,,
87484/500000,515,394,-2.188,13.919512,54.244312,-0.681679,,,,
87704/500000,516,220,-46.207,17.239586,55.327469,-0.699543,,,,
87773/500000,517,69,-93.671,21.927053,59.052181,-0.880181,,,,
88655/500000,518,882,232.678,17.835657,56.919514,-0.737266,,,,
88755/500000,519,100,-92.839,20.065941,56.924717,-0.807976,,,,
88841/500000,520,86,-93.501,16.118071,55.927605,-0.709892,,,,
89026/500000,521,185,-63.186,20.517132,60.16338,-0.871877,,,,
89716/500000,522,690,111.673,16.988588,55.546673,-0.672596,,,,
89856/500000,523,140,-84.279,21.825424,62.099415,-0.848602,,,,
89945/500000,524,89,-92.928,9.917179,49.885288,-0.50522,,,,
90347/500000,525,402,17.12,14.865409,58.848633,-0.677864,,,,
90528/500000,526,181,-72.503,17.673723,58.370079,-0.464824,,,,
90589/500000,527,61,-95.308,13.068468,63.645382,-0.736613,,,,
90764/500000,528,175,-57.538,15.605293,57.960495,-0.578655,,,,
90961/500000,529,197,-35.792,15.483474,57.059467,-0.527156,,,,
91078/500000,530,117,-81.823,19.817558,71.638138,-0.934154,,,,
91833/500000,531,755,207.366,18.489906,63.079433,-0.612699,,,,
92061/500000,532,228,-50.95,14.433637,58.831356,-0.471161,,,,
92140/500000,533,79,-93.156,17.495102,69.670876,-0.899117,,,,
92353/500000,534,213,-5.208,15.51881,60.705738,-0.476316,,,,
92475/500000,535,122,-71.369,20.365738,65.363243,-0.652269,,,,
92756/500000,536,281,9.245,20.989346,66.943367,-0.618619,,,,
93189/500000,537,433,60.777,15.011028,62.566811,-0.488791,,,,
93273/500000,538,84,-90.532,11.462709,59.206074,-0.51573,,,,
93487/500000,539,214,-52.267,20.844555,68.784988,-0.743749,,,,
93824/500000,540,337,11.198,14.213995,60.416481,-0.513302,,,,
94007/500000,541,183,-37.844,19.674536,65.407822,-0.486333,,,,
94052/500000,542,45,-96.799,8.806543,56.226418,-0.392559,,,,
94101/500000,543,49,-96.314,26.388281,66.450356,-0.465354,,,,
94140/500000,544,39,-97.177,12.00107,66.352386,-0.814388,,,,
94223/500000,545,83,-91.698,13.717335,62.331055,-0.585119,,,,
94388/500000,546,165,-46.259,16.600077,64.180992,-0.436922,,,,
94622/500000,547,234,-48.166,19.173481,68.315857,-0.626947,,,,
95038/500000,548,416,12.582,17.995449,66.400383,-0.57511,,,,
95319/500000,549,281,-28.8,15.174537,62.5783,-0.466724,,,,
95524/500000,550,205,4.554,17.158001,67.014877,-0.573828,,,,
95702/500000,551,178,-49.328,16.338289,70.65966,-0.691081,,,,
96032/500000,552,330,7.373,15.978966,64.870834,-0.505891,,,,
96083/500000,553,51,-96.665,22.426596,65.774544,-0.517223,,,,
96338/500000,554,255,-26.95,14.494292,64.485191,-0.573822,,,,
96539/500000,555,201,-48.391,15.663919,60.343224,-0.378399,,,,
96820/500000,556,281,-45.414,18.017881,64.588631,-0.506315,,,,
97252/500000,557,432,33.181,14.334379,65.559959,-0.497199,,,,
97536/500000,558,284,-1.635,16.850754,65.709671,-0.489343,,,,
97666/500000,559,130,-77.588,12.835579,60.183983,-0.478808,,,,
97974/500000,560,308,-20.25,10.789948,60.233944,-0.352923,,,,
98387/500000,561,413,2.782,15.761222,65.494072,-0.463175,,,,
98563/500000,562,176,-58.746,20.863768,69.039925,-0.552356,,,,
98742/500000,563,179,-44.596,16.675362,69.523964,-0.577106,,,,
99001/500000,564,259,-34.273,15.288803,68.769875,-0.560872,,,,
99149/500000,565,148,-58.078,20.748806,70.197884,-0.658904,,,,
99261/500000,566,112,-89.513,20.719522,70.59301,-0.556412,,,,
99397/500000,567,136,-67.137,19.773487,69.285721,-0.569356,,,,
99726/500000,568,329,-10.831,12.005874,62.464874,-0.390786,,,,
99785/500000,569,59,-96.162,20.375858,71.28215,-0.58189,,,,
99949/500000,570,164,-78.677,21.191877,71.144165,-0.531029,,,,
99995/500000,571,46,-96.403,13.998126,70.075508,-0.695379,,,,
100336/500000,572,341,5.838,19.625732,69.716095,-0.440881,,,,
100711/500000,573,375,41.594,18.258795,73.890221,-0.543857,,,,
101063/500000,574,352,-10.449,11.104125,64.737053,-0.337615,,,,
101211/500000,575,148,-84.658,12.182086,66.114586,-0.3031,,,,
101349/500000,576,138,-83.677,19.860331,76.72731,-0.469837,,,,
101458/500000,577,109,-88.704,19.158766,76.116119,-0.585602,,,,
101661/500000,578,203,-54.315,14.481289,65.647331,-0.335967,,,,
101776/500000,579,115,-84.457,22.864086,80.131989,-0.574993,,,,
101867/500000,580,91,-92.737,17.04812,71.062035,-0.489715,,,,
101985/500000,581,118,-78.339,16.309853,71.843178,-0.42593,,,,
102129/500000,582,144,-59.981,12.404943,67.107315,-0.306903,,,,
102226/500000,583,97,-74.191,13.008195,72.772942,-0.59739,,,,
102471/500000,584,245,-35.677,19.746979,76.88633,-0.546571,,,,
102863/500000,585,392,15.493,17.345945,73.26236,-0.473686,,,,
103083/500000,586,220,-58.855,20.306883,74.09034,-0.428169,,,,
103197/500000,587,114,-88.569,21.319622,76.160217,-0.561359,,,,
103259/500000,588,62,-95.287,16.087376,68.947754,-0.283418,,,,
103472/500000,589,213,-43.893,15.784581,72.723686,-0.467016,,,,
103574/500000,590,102,-80.227,12.671972,70.749374,-0.373262,,,,
103911/500000,591,337,-6.896,14.624851,69.830803,-0.341893,,,,
104484/500000,592,573,130.406,16.616911,73.787247,-0.404737,,,,
104535/500000,593,51,-96.128,18.165993,84.161537,-0.726435,,,,
104617/500000,594,82,-93.723,17.744997,76.319557,-0.467904,,,,
104846/500000,595,229,-1.85,13.942264,73.279297,-0.439977,,,,
105043/500000,596,197,-59.959,17.318293,72.307991,-0.414984,,,,
105518/500000,597,475,21.841,16.779509,72.291496,-0.455373,,,,
105949/500000,598,431,3.081,13.692231,71.470093,-0.348086,,,,
106025/500000,599,76,-94.749,22.465958,72.383873,-0.362178,,,,
106304/500000,600,279,-12.533,18.082045,75.879395,-0.621239,,,,
106860/500000,601,556,101.754,13.625332,73.320961,-0.481009,,,,
107054/500000,602,194,-50.168,12.871766,66.392693,-0.278193,,,,
107160/500000,603,106,-77.661,21.643677,78.945656,-0.548477,,,,
107295/500000,604,135,-31.042,14.070484,73.546143,-0.47694,,,,
107808/500000,605,513,102.586,14.680199,74.890427,-0.503249,,,,
108659/500000,606,851,195.803,15.170138,71.777168,-0.366398,,,,
108830/500000,607,171,-65.234,20.01758,74.557693,-0.342841,,,,
109698/500000,608,868,207.87,17.894171,77.62114,-0.499971,,,,
109795/500000,609,97,-92.774,18.511499,82.107216,-0.629693,,,,
109978/500000,610,183,-73.625,18.235069,80.632088,-0.551568,,,,
110176/500000,611,198,-59.087,14.339882,78.313538,-0.463987,,,,
110254/500000,612,78,-94.111,20.80159,81.503265,-0.400644,,,,
110357/500000,613,103,-87.368,14.197643,76.488464,-0.399653,,,,
110438/500000,614,81,-93.462,15.589488,78.790413,-0.470127,,,,
110795/500000,615,357,-2.444,17.389641,82.011726,-0.5006,,,,
110922/500000,616,127,-87.511,12.873774,76.721413,-0.422919,,,,
111071/500000,617,149,-57.167,13.970965,79.156296,-0.431248,,,,
111413/500000,618,342,-26.566,19.071196,80.860107,-0.413797,,,,
111476/500000,619,63,-95.984,8.503243,66.998466,-0.030601,,,,
111877/500000,620,401,-11.962,11.294271,77.718475,-0.275293,,,,
112029/500000,621,152,-50.888,12.577454,74.90731,-0.278925,,,,
112119/500000,622,90,-92.314,14.004356,82.754433,-0.481107,,,,
112403/500000,623,284,-18.91,13.267002,76.384727,-0.333582,,,,
112502/500000,624,99,-92.618,12.057916,78.612854,-0.428498,,,,
112671/500000,625,169,-66.736,14.058646,79.111885,-0.281772,,,,
112835/500000,626,164,-38.973,19.547363,83.450211,-0.44622,,,,
113071/500000,627,236,-22.792,13.526554,85.819626,-0.465552,,,,
113390/500000,628,319,-33.718,14.623087,81.119492,-0.426757,,,,
113542/500000,629,152,-57.067,14.174532,80.713036,-0.376738,,,,
113637/500000,630,95,-92.014,9.263114,66.657188,0.071727,,,,
113702/500000,631,65,-94.515,23.2113,82.518135,-0.093624,,,,
113770/500000,632,68,-94.958,8.369431,75.746803,-0.225654,,,,
113969/500000,633,199,-34.276,12.098882,78.695312,-0.248344,,,,
114079/500000,634,110,-89.91,14.823421,80.71006,-0.321591,,,,
114215/500000,635,136,-81.885,16.713593,78.690361,-0.206774,,,,
114434/500000,636,219,-41.341,11.480636,81.463936,-0.425642,,,,
114659/500000,637,225,-46.951,15.834639,83.624863,-0.397627,,,,
114791/500000,638,132,-70.23,10.354097,70.878647,-0.063176,,,,
115252/500000,639,461,44.818,16.600866,83.294907,-0.415758,,,,
115439/500000,640,187,-67.828,20.176975,88.539207,-0.577654,,,,
115545/500000,641,106,-89.918,14.310344,79.870857,-0.316491,,,,
116220/500000,642,675,164.921,15.336748,85.230934,-0.408911,,,,
116272/500000,643,52,-95.716,18.411058,85.16468,-0.351142,,,,
116603/500000,644,331,33.806,16.523254,87.152176,-0.409253,,,,
116700/500000,645,97,-89.344,12.79762,76.339836,-0.216921,,,,
116828/500000,646,128,-48.311,9.193359,73.983276,-0.06042,,,,
116895/500000,647,67,-94.892,7.666628,85.92495,-0.281021,,,,
117704/500000,648,809,138.973,15.746176,87.460945,-0.447386,,,,
117836/500000,649,132,-73.067,19.436676,85.477081,-0.341068,,,,
117956/500000,650,120,-86.82,14.066335,80.458984,-0.055248,,,,
118026/500000,651,70,-95.531,15.527211,86.472412,-0.154526,,,,
118080/500000,652,54,-96.833,8.690668,85.080017,-0.320906,,,,
118286/500000,653,206,-43.052,13.892399,81.577858,-0.196595,,,,
118646/500000,654,360,44.647,16.810562,86.54805,-0.337307,,,,
118809/500000,655,163,-56.127,15.2377,78.858597,-0.108699,,,,
119261/500000,656,452,50.41,12.965652,81.755081,-0.195797,,,,
119443/500000,657,182,-47.08,11.668935,84.438431,-0.238196,,,,
119697/500000,658,254,13.558,11.577453,84.342522,-0.26455,,,,
119807/500000,659,110,-84.308,14.511249,88.048599,-0.263982,,,,
119865/500000,660,58,-95.408,10.813059,84.840019,-0.322458,,,,
120209/500000,661,344,-4.926,13.497666,81.609375,-0.027452,,,,
120255/500000,662,46,-96.936,19.42503,90.782715,-0.355371,,,,
120465/500000,663,210,-40.97,11.295056,80.22731,0.065882,,,,
120584/500000,664,119,-43.091,18.115765,92.498444,-0.128443,,,,
120711/500000,665,127,-73.376,13.587945,85.701141,-0.072342,,,,
120886/500000,666,175,-5.854,12.960141,87.529724,-0.146345,,,,
121059/500000,667,173,-51.974,12.898337,87.017334,-0.011522,,,,
121214/500000,668,155,-69.053,15.597134,91.803261,-0.241783,,,,
121318/500000,669,104,-90.794,14.413151,87.219536,0.020493,,,,
121644/500000,670,326,6.644,11.809058,80.44413,0.074215,,,,
121812/500000,671,168,-64.014,18.051662,89.163101,-0.11266,,,,
122142/500000,672,330,-14.298,11.8202,85.150436,0.052075,,,,
122295/500000,673,153,-59.491,18.074705,88.523911,0.011273,,,,
122554/500000,674,259,-41.556,13.53833,84.487137,0.141112,,,,
122698/500000,675,144,-72.048,14.577889,84.71505,0.110638,,,,
122809/500000,676,111,-69.94,11.502349,79.165001,0.190294,,,,
123521/500000,677,712,133.613,14.022461,86.385445,0.018967,,,,
123793/500000,678,272,-38.818,15.875625,83.38385,0.185602,,,,
124233/500000,679,440,61.137,14.145158,86.302826,0.056064,,,,
124590/500000,680,357,-9.116,13.027838,85.982277,0.128561,,,,
124653/500000,681,63,-95.554,20.363251,89.65107,-0.028839,,,,
124902/500000,682,249,-30.299,17.365551,96.250244,-0.158942,,,,
125044/500000,683,142,-73.533,16.550751,95.348167,-0.177448,,,,
125246/500000,684,202,-44.19,13.219996,81.609749,0.181626,,,,
125489/500000,685,243,-50.943,18.401539,85.050667,0.184379,,,,
125919/500000,686,430,42.55,11.85032,83.84433,0.132614,,,,
126071/500000,687,152,-69.527,10.210248,81.803055,0.237157,,,,
126192/500000,688,121,-83.857,15.045385,85.17115,0.094469,,,,
126292/500000,689,100,-90.866,14.322701,87.470314,0.042193,,,,
126463/500000,690,171,-57.77,18.435881,84.591125,0.140142,,,,
126616/500000,691,153,-59.866,13.813586,86.820221,-0.019582,,,,
126686/500000,692,70,-95.099,21.874216,98.500122,-0.157374,,,,
127064/500000,693,378,45.4,18.515718,94.010933,-0.116764,,,,
127182/500000,694,118,-85.276,8.824666,86.470993,-0.020494,,,,
127367/500000,695,185,-58.689,8.181157,85.316116,0.146939,,,,
127775/500000,696,408,40.023,14.662908,90.426971,0.053124,,,,
127970/500000,697,195,-59.969,14.965465,84.937363,0.103648,,,,
128228/500000,698,258,28.938,17.212027,96.043449,-0.092234,,,,
129017/500000,699,789,122.955,13.031041,86.527565,0.120204,,,,
129262/500000,700,245,-30.424,13.629164,83.787758,0.185042,,,,
