steps,episode,episode steps,reward,loss,mse,mean_q,test episode,test reward,test steps,test steps(s)
10491/500000,77,88,-91.779,25.716438,19.394926,-0.457988,77,197.361,854,97
10584/500000,78,93,-92.38,38.662338,27.907923,-0.403721,78,-86.379,116,110
10667/500000,79,83,-93.012,27.239473,20.35676,-0.344704,79,-50.611,235,106
10801/500000,80,134,-69.038,33.329815,24.519363,-0.288168,80,130.136,844,88
10916/500000,81,115,-85.545,35.292336,26.004593,-0.407367,81,-64.312,193,169
11037/500000,82,121,-75.584,32.290478,23.951878,-0.301443,82,-22.665,357,152
11131/500000,83,94,-89.251,34.721069,25.476665,-0.29032,83,15.093,447,101
11282/500000,84,151,-72.993,27.948874,21.05171,-0.2204,84,30.102,472,136
11393/500000,85,111,-33.821,35.132938,25.890568,-0.269548,85,104.806,674,156
11504/500000,86,111,-83.172,43.236938,31.57527,-0.366259,86,-36.114,243,201
11655/500000,87,151,-63.28,35.690861,26.668789,-0.407982,87,273.706,1002,201
11754/500000,88,99,-85.944,36.494591,27.176817,-0.433819,88,5.527,492,109
11990/500000,89,236,-21.019,43.083546,31.786852,-0.462217,89,-72.054,149,139
12089/500000,90,99,-91.979,40.554714,29.889126,-0.433684,90,150.584,760,105
12337/500000,91,248,-26.254,26.749262,20.449928,-0.244634,91,-89.811,89,201
12531/500000,92,194,-58.585,35.955269,26.829252,-0.271761,92,122.579,763,149
12628/500000,93,97,-89.41,32.043129,24.525496,-0.407386,93,-85.194,123,174
12728/500000,94,100,-87.489,40.82164,30.308538,-0.356907,94,-45.576,210,98
12843/500000,95,115,-89.291,40.126209,29.951654,-0.399416,95,-29.38,339,109
12949/500000,96,106,-89.769,45.864174,34.33157,-0.557313,96,-56.065,184,172
13111/500000,97,162,-80.871,26.833376,20.951794,-0.277607,97,-71.993,135,128
13232/500000,98,121,-86.329,31.276724,23.705252,-0.199028,98,-61.527,183,189
13399/500000,99,167,-69.565,32.093575,24.376053,-0.221694,99,24.438,473,201
13489/500000,100,90,-92.582,49.25666,36.133541,-0.425079,100,-5.121,288,91
13618/500000,101,129,-75.739,47.272205,34.968632,-0.497709,101,36.091,484,201
13709/500000,102,91,-76.083,34.266666,26.313154,-0.504827,102,157.556,960,113
13885/500000,103,176,-58.52,28.489996,22.187004,-0.30935,103,-74.114,111,201
14110/500000,104,225,-48.755,36.631481,27.909819,-0.339558,104,-26.791,264,171
14269/500000,105,159,-75.608,35.858017,27.655107,-0.389682,105,-70.94,170,151
14467/500000,106,198,-69.959,36.033726,27.567165,-0.415821,106,-74.445,146,195
14545/500000,107,78,-92.635,32.397259,24.977804,-0.333179,107,-2.784,426,113
14752/500000,108,207,-38.425,34.342442,26.369131,-0.315901,108,57.566,538,170
14811/500000,109,59,-95.626,22.942991,18.740919,-0.308867,109,-43.456,259,157
15557/500000,110,746,94.859,32.707977,25.274458,-0.306053,110,-67.213,141,201
15615/500000,111,58,-95.344,38.409676,29.623917,-0.436151,111,-80.661,164,168
15952/500000,112,337,-19.143,36.117481,27.882326,-0.318459,112,-75.044,112,126
16020/500000,113,68,-94.408,37.106167,28.73138,-0.374866,113,-61.194,204,188
16069/500000,114,49,-96.625,50.888798,37.979561,-0.421435,114,-93.61,73,123
16246/500000,115,177,-68.818,35.43026,27.525936,-0.404141,115,-15.424,371,131
16422/500000,116,176,-72.439,41.095592,31.480715,-0.450492,116,-79.727,141,201
16577/500000,117,155,-63.656,37.184578,28.912447,-0.487014,117,-81.906,122,201
16656/500000,118,79,-93.269,40.443481,30.991774,-0.462462,118,-43.389,216,201
16772/500000,119,116,-75.142,38.042313,29.57645,-0.410018,119,-36.671,266,120
16915/500000,120,143,-80.287,31.096416,24.824297,-0.422369,120,-18.069,349,108
17014/500000,121,99,-82.572,24.435308,20.214622,-0.293704,121,-90.676,88,121
17242/500000,122,228,-39.062,32.791977,25.706312,-0.284832,122,38.187,521,201
17399/500000,123,157,-74.268,27.358774,22.177523,-0.211774,123,-34.064,300,136
17694/500000,124,295,-30.719,42.082573,32.624012,-0.530304,124,-50.516,235,201
17747/500000,125,53,-95.584,38.85059,29.93227,-0.324673,125,47.191,578,201
17834/500000,126,87,-80.369,33.406715,26.981892,-0.405252,126,-56.984,233,201
18068/500000,127,234,-39.478,36.600227,28.909882,-0.419463,127,-77.378,118,201
18161/500000,128,93,-91.497,25.48238,21.092438,-0.337338,128,51.695,464,103
18226/500000,129,65,-80.406,23.342876,19.309006,-0.197507,129,44.579,614,201
18442/500000,130,216,-53.049,36.327511,28.501442,-0.306082,130,-62.604,184,169
18514/500000,131,72,-93.238,43.210484,33.137966,-0.528984,131,-84.943,122,120
18594/500000,132,80,-91.47,33.373711,26.814917,-0.485941,132,66.083,703,102
19097/500000,133,503,5.065,42.562691,33.072617,-0.503771,133,-31.356,307,114
19175/500000,134,78,-80.445,32.360542,26.721714,-0.464039,134,-76.365,132,122
19658/500000,135,483,45.162,28.9275,23.772738,-0.318204,135,6.341,440,125
19839/500000,136,181,-62.207,31.281731,25.116024,-0.258389,136,37.01,479,201
