mode,reward,step,vel,action
monkey,-10.932,1,0,1
monkey,-4.426,1,0,1
monkey,-26.207,1,0,1
monkey,-2.819,1,0,1
monkey,-25.031,1,0,1
monkey,-4.319,1,0,1
monkey,-5.227,1,0,1
monkey,-103.839,1,0,1
monkey,-15.963,1,0,1
monkey,-5.955,1,0,1
monkey,-53.08,1,0,1
monkey,-29.14,1,0,1
monkey,-2.557,1,0,1
monkey,-1.909,1,0,1
monkey,-13.977,1,0,1
monkey,-7.712,1,0,1
monkey,-3.215,1,0,1
monkey,-40.373,1,0,1
monkey,-47.153,1,0,1
monkey,-8.001,1,0,1
monkey,-0.862,1,0,1
monkey,-3.23,1,0,1
monkey,-20.583,1,0,1
monkey,-3.414,1,0,1
monkey,-29.758,1,0,1
monkey,-9.434,1,0,1
monkey,-49.154,1,0,1
monkey,-13.446,1,0,1
monkey,-12.987,1,0,1
monkey,-19.967,1,0,1
monkey,-10.231,1,0,1
monkey,-17.398,1,0,1
monkey,-3.024,1,0,1
monkey,-12.312,1,0,1
monkey,-4.736,1,0,1
monkey,-71.019,1,0,1
monkey,-9.772,1,0,1
monkey,-118.132,1,0,1
monkey,-19.677,1,0,1
monkey,-13.119,1,0,1
monkey,-53.96,1,0,1
monkey,-1.855,1,0,1
monkey,-132.011,1,0,1
monkey,-1.569,1,0,1
monkey,-6.336,1,0,1
monkey,-29.837,1,0,1
monkey,-61.278,1,0,1
monkey,-60.115,1,0,1
monkey,-21.586,1,0,1
monkey,-29.833,1,0,1
monkey,-30.82,1,0,1
monkey,-52.545,1,0,1
monkey,-20.446,1,0,1
monkey,-25.649,1,0,1
monkey,-1.203,1,0,1
monkey,-90.431,1,0,1
monkey,-91.774,1,0,1
monkey,-2.904,1,0,1
monkey,-1.278,1,0,1
monkey,-185.3,1,0,1
monkey,-70.71,1,0,1
monkey,-0.622,1,0,1
monkey,-0.862,1,0,1
monkey,-7.468,1,0,1
monkey,-96.219,1,0,1
monkey,-11.395,1,0,1
monkey,-3.606,1,0,1
monkey,-20.089,1,0,1
monkey,-20.594,1,0,1
monkey,-68.774,1,0,1
monkey,-0.056,1,0,1
monkey,-2.639,1,0,1
monkey,-9.01,1,0,1
monkey,-5.412,1,0,1
monkey,-68.959,1,0,1
monkey,-60.418,1,0,1
monkey,-21.956,1,0,1
monkey,-6.324,1,0,1
monkey,-3.966,1,0,1
monkey,-5.439,1,0,1
monkey,-0.904,1,0,1
monkey,-69.023,1,0,1
monkey,-15.716,1,0,1
