clipfrac,eplenmean,explained_variance,eprewmean,policy_loss,value_loss,fps,nupdates,approxkl,total_timesteps,policy_entropy,serial_timesteps,time_elapsed
0.12200001,1394.0229885057472,0.8409008979797363,265.11651214942526,-0.00436951,25.23453,368,81,0.007595615,121500,1.3145262,121500,313.4535367488861
0.016599998,1395.2386363636363,0.8691945672035217,262.1038245113637,-0.00305868,23.488022,395,82,0.0027899432,123000,1.2616802,123000,317.24281072616577
0.0007333334,1392.8651685393259,0.9477299638092518,263.45900073033715,-0.00058405375,15.681069,389,83,0.00025140517,124500,0.78354937,124500,321.09709548950195
0.0013999998,1389.6777777777777,0.9398934096097946,264.88111463333337,-0.001203843,16.1639,399,84,0.0007404438,126000,1.16227,126000,324.85404682159424
0.00040000002,1390.901098901099,0.9452686570584774,261.9703331538462,-0.0016554566,20.283405,387,85,0.00025530937,127500,1.0640069,127500,328.72791624069214
0.0,1384.6344086021506,0.9348053261637688,262.81286043010755,-0.0004804683,19.361616,336,86,9.099567e-05,129000,0.8295966,129000,333.1830379962921
0.047533322,1385.872340425532,0.8929559588432312,260.01697893617023,-0.001999688,20.596458,390,87,0.0042229514,130500,1.2926232,130500,337.0210781097412
0.0,1385.0947368421052,0.9537573680281639,262.20564857894743,-0.00021248568,14.636471,376,88,1.881188e-05,132000,0.89252067,132000,341.0036551952362
0.0,1379.8125,0.9356466680765152,260.8362248541667,-0.00055135036,19.948944,391,89,8.912124e-05,133500,0.9746658,133500,344.8352744579315
0.0,1380.5360824742268,0.9508516304194927,264.46822648453616,-0.0010913773,12.331204,400,90,0.00014465953,135000,1.0686336,135000,348.584077835083
0.025466664,1381.765306122449,0.9140510633587837,268.395615367347,-0.002988383,15.813545,384,91,0.002570738,136500,1.2564815,136500,352.4868743419647
0.0,1382.969696969697,0.9544329941272736,265.6845485454546,-0.00069702516,17.466763,387,92,0.0001386946,138000,1.0091237,138000,356.35809206962585
0.0,1383.35,0.9621758237481117,268.12794700000006,-0.00025645518,11.798415,392,93,1.385617e-05,139500,1.0213981,139500,360.17662382125854
0.0,1383.960396039604,0.8953507542610168,270.9354109009901,-0.00020999173,16.712317,371,94,3.2136122e-05,141000,1.215006,141000,364.2189428806305
0.06793329,1385.1078431372548,0.7495884597301483,268.279181382353,-0.003679142,20.354029,400,95,0.006642171,142500,1.3860617,142500,367.96400213241577
0.0,1386.2330097087379,0.9576825462281704,265.6745291359224,-0.00021989437,14.928479,400,96,0.00023028761,144000,1.0525864,144000,371.71226024627686
0.00026666667,1387.3365384615386,0.9605192244052887,269.0356168269231,-0.0007653746,13.006094,395,97,0.00024710185,145500,1.0649546,145500,375.5097644329071
0.0,1388.4190476190477,0.9525369815528393,272.01692036190485,-5.8365786e-05,16.837303,390,98,1.4830422e-05,147000,1.0482246,147000,379.35027551651
0.0,1389.311320754717,0.9260539337992668,274.7620515377359,-0.0009893985,17.719536,385,99,0.00021114016,148500,1.267596,148500,383.2456314563751
0.00053333334,1390.3551401869158,0.9682308733463287,272.1941818971963,-0.0011404329,12.506539,390,100,0.0003023367,150000,1.06135,150000,387.0906445980072
0.0,1391.3796296296296,0.9648019894957542,275.27230334259264,-0.00082328724,11.886265,396,101,9.632603e-05,151500,1.0582542,151500,390.8745391368866
6.666667e-05,1392.3853211009175,0.9779738001525402,278.2629107981652,-0.0011726414,8.842402,386,102,0.00023757106,153000,1.033956,153000,394.75934958457947
0.00033333336,1393.3727272727272,0.9487911015748978,281.2958570454546,-0.0014780164,16.247322,397,103,0.0005749856,154500,1.0616516,154500,398.5364670753479
0.0,1394.3423423423424,0.9737818650901318,284.2863131171172,-0.00045577876,10.914777,379,104,5.0979354e-05,156000,0.9797523,156000,402.49093890190125
0.0038666665,1395.107142857143,0.9164711311459541,287.5173231696429,-0.0016874281,17.276678,318,105,0.0015062151,157500,1.3098893,157500,407.2034010887146
0.06726663,1396.0442477876106,0.8095635622739792,284.972922079646,-0.0037365297,15.774218,347,106,0.004952557,159000,1.2973515,159000,411.52515864372253
6.666667e-05,1396.9649122807018,0.979782659560442,282.47315960526316,-0.00042108924,8.096911,372,107,0.000106915635,160500,0.98451334,160500,415.5472710132599
0.0,1395.1724137931035,0.967793170362711,286.43276195689657,-0.00016278494,13.155839,355,108,1.881864e-05,162000,0.9131443,162000,419.7712895870209
0.0,1393.4871794871794,0.9659410640597343,287.5995035470086,-0.00028570573,13.464845,375,109,1.4817823e-05,163500,0.82367986,163500,423.76802110671997
0.0,1393.6101694915253,0.9722041133791208,289.8806825084746,-0.00022904814,11.565003,365,110,2.7291882e-05,165000,1.0016946,165000,427.8705494403839
0.0,1392.4873949579833,0.967475451529026,291.8622348907563,-0.0001533717,14.065446,382,111,1.0841559e-05,166500,0.9274424,166500,431.7894995212555
0.0,1393.2666666666667,0.9735593646764755,294.203290325,-0.0003558589,10.061497,362,112,4.987956e-05,168000,1.1726912,168000,435.925320148468
0.013333333,1394.1570247933885,0.8129682391881943,291.7718581735537,-0.0019244734,15.721716,392,113,0.002847221,169500,1.318556,169500,439.74554085731506
0.030199986,1395.032786885246,0.7316157817840576,289.3802855655738,-0.0040444373,15.564962,375,114,0.003950065,171000,1.3399098,171000,443.7423765659332
0.010600001,1395.8943089430895,0.7885664850473404,287.02760031707317,-0.0028849884,15.120101,370,115,0.0023117445,172500,1.2779516,172500,447.789381980896
0.00093333336,1396.741935483871,0.8527443706989288,284.71286160483874,-0.0006103934,13.573239,376,116,0.0007510281,174000,1.2196311,174000,451.7707631587982
0.0008666667,1397.576,0.9598921686410904,282.43515871200003,-0.000697154,11.714534,347,117,0.00029786292,175500,1.1103792,175500,456.0863673686981
