nupdates,value_loss,total_timesteps,policy_entropy,clipfrac,eprewmean,policy_loss,explained_variance,serial_timesteps,approxkl,time_elapsed,fps,eplenmean
32,35.49369,65536,0.8845898,0.03491211,400.04615384615386,-0.0068514957,0.8619523197412491,65536,0.003742921,195.44451642036438,274,999.2923076923076
33,30.21104,67584,0.6202613,0.14316407,375.72857142857146,0.004608023,0.920969620347023,67584,0.019890232,205.1846661567688,210,958.1142857142858
34,21.085163,69632,1.1901839,0.08164062,387.80281690140845,-0.0015048569,0.9573748223483562,69632,0.0071816975,212.55329704284668,277,965.7605633802817
35,28.408245,71680,1.0471333,0.037890624,400.24657534246575,-0.0038419436,0.8845553174614906,71680,0.005221562,219.1838915348053,308,980.4246575342465
36,18.29993,73728,0.866537,0.089257814,394.36,0.0013884768,0.9183124601840973,73728,0.010843131,225.63224983215332,317,970.08
37,27.452686,75776,1.2592064,0.15795898,414.7402597402597,0.0018543154,0.9077078551054001,75776,0.016966816,231.9758369922638,322,982.3636363636364
38,41.73478,77824,1.0480465,0.054492187,407.5875,-0.005385447,0.9069243744015694,77824,0.004639684,238.714102268219,303,971.0625
39,22.29237,79872,1.1380465,0.09282227,411.2439024390244,-0.0012284358,0.9462102390825748,79872,0.0078115473,245.40491223335266,306,969.1585365853658
40,30.428778,81920,1.2409743,0.06381836,415.5595238095238,-0.0012132296,0.9183200672268867,81920,0.0054122154,252.0275740623474,309,966.5714285714286
41,39.1393,83968,1.1913664,0.083300784,427.93023255813955,-0.001950675,0.8875817954540253,83968,0.009271088,258.46628880500793,318,972.6046511627907
42,21.523453,86016,0.98139465,0.12211914,428.24719101123594,-0.006959227,0.9712003115564585,86016,0.015951019,265.6915626525879,283,963.3483146067416
43,21.34256,88064,1.0554414,0.14418945,427.85869565217394,0.002383836,0.9671618565917015,88064,0.015016432,272.6756238937378,293,955.75
44,18.574078,90112,1.227749,0.15239258,437.9462365591398,-0.0043284507,0.9703603964298964,90112,0.009865673,278.6091094017029,345,961.6129032258065
45,14.113749,92160,1.0794138,0.09047852,434.7684210526316,-0.008245493,0.9696726892143488,92160,0.008242339,284.9917995929718,320,962.1368421052632
46,31.93104,94208,1.1524103,0.03569336,441.41237113402065,-0.0011050036,0.9485649019479752,94208,0.0037243187,291.2923457622528,325,965.5876288659794
47,19.872648,96256,1.1508116,0.022851562,443.2244897959184,-0.00020728896,0.8383046686649323,96256,0.003594696,297.3410270214081,338,971.0510204081633
48,27.720684,98304,1.0616024,0.11391602,436.17,-0.0018960515,0.6299708485603333,98304,0.009423839,303.7224233150482,320,981.65
49,27.124746,100352,1.2547964,0.036865234,444.06,-0.0006821964,0.8930001333355904,100352,0.0036707968,309.5427987575531,351,994.05
50,26.770035,102400,1.2809461,0.009814453,456.99,-0.00038562735,0.87663684040308,102400,0.002079529,315.107754945755,368,1005.56
51,42.042213,104448,1.0678982,0.076171875,474.8,-0.0049777655,0.9282276034355164,104448,0.007275994,321.06908535957336,343,1005.56
52,23.066359,106496,1.1091845,0.03671875,480.79,-0.0011013862,0.9361793026328087,106496,0.004720992,326.64463090896606,367,1005.56
53,27.87643,108544,1.2157915,0.070214845,494.66,-0.0025116324,0.903690829873085,108544,0.0070945374,332.5118308067322,349,1007.67
54,33.571293,110592,1.0078042,0.080566406,510.37,-0.0026530714,0.9432516358792782,110592,0.008100891,338.39204144477844,348,1002.66
55,20.647364,112640,1.0716326,0.22128907,522.78,-0.0033680603,0.96974185295403,112640,0.017624391,344.20782256126404,352,1002.52
56,15.5012,114688,1.0733926,0.010351563,526.65,-0.000659332,0.8097629845142365,114688,0.0031662476,349.78125953674316,367,1015.31
57,77.819244,116736,1.1228878,0.059033204,534.65,-0.0012137995,0.7506963461637497,116736,0.0051117274,355.6183109283447,350,1026.79
58,22.717426,118784,1.1478313,0.009472656,543.42,-8.358797e-05,0.8830233439803123,118784,0.0021898975,361.13807249069214,371,1026.79
59,40.309807,120832,1.1269865,0.1421875,553.2,-0.0037023623,0.9427703283727169,120832,0.011191661,366.91387605667114,354,1026.79
60,18.419037,122880,1.0376866,0.1963379,546.8,-0.00786859,0.7054726481437683,122880,0.026436497,372.8663830757141,344,1038.74
61,15.530787,124928,1.205239,0.06728516,540.69,0.00047956122,0.9794839471578598,124928,0.006724865,378.46210289001465,366,1038.74
62,50.697296,126976,1.0716515,0.03491211,551.66,8.571973e-05,0.888372115790844,126976,0.0039421376,384.3658125400543,346,1053.85
63,22.579487,129024,1.1776302,0.08842774,551.32,-0.0029862116,0.9652043431997299,129024,0.0077836188,390.0485804080963,360,1053.85
64,24.22649,131072,1.2067997,0.09091797,541.49,-0.0032132543,0.9431311935186386,131072,0.009491591,396.12433791160583,337,1053.85
65,20.945766,133120,1.2026637,0.12319336,538.54,-0.00788883,0.9687152802944183,133120,0.013588978,402.1496548652649,339,1045.55
66,21.673176,135168,1.1190221,0.08549805,547.54,-0.00108748,0.9706963747739792,135168,0.008666911,408.2170524597168,337,1058.41
67,6.7622275,137216,1.189971,0.07670899,542.4,-0.00431453,0.9890119573101401,137216,0.0071533686,414.21031069755554,341,1057.52
68,26.478184,139264,1.3307996,0.11230469,554.68,7.379792e-05,0.969981512054801,139264,0.0104262745,419.9247155189514,358,1070.02
69,19.598667,141312,1.2353858,0.0715332,559.6,-0.0028265782,0.9739626087248325,141312,0.0060844375,425.88027691841125,343,1082.43
70,26.50231,143360,1.1304486,0.07446289,549.63,-0.001887871,0.9645368531346321,143360,0.0066266074,432.03265142440796,332,1073.82
71,4.859926,145408,1.1656135,0.11757813,550.24,-0.00139297,0.8730032294988632,145408,0.011381288,437.5953941345215,368,1085.96
72,5.024747,147456,1.1785522,0.036230467,539.92,-0.002281664,0.891594260931015,147456,0.00588605,443.525767326355,345,1086.43
73,8.985833,149504,1.0401013,0.07495117,504.72,-0.002848498,0.986799318343401,149504,0.0058639986,449.79815435409546,326,1059.95
74,13.520925,151552,1.0173521,0.035986327,495.27,-0.0023533306,0.9742730483412743,151552,0.0035818587,456.02120900154114,329,1055.45
75,26.339306,153600,0.999189,0.15244141,507.44,-0.0040129065,0.9664066918194294,153600,0.01409844,462.22460651397705,330,1044.52
76,34.760536,155648,1.0705146,0.08173828,513.9,-0.004405291,0.946795679628849,155648,0.006404082,468.39402508735657,331,1028.88
77,34.726223,157696,1.1089504,0.07788086,513.12,0.00018499218,0.9592075683176517,157696,0.006316117,474.20535802841187,352,1031.46
78,18.123753,159744,1.1131922,0.07944336,518.68,-0.004803425,0.8942958489060402,159744,0.006955676,480.0628356933594,349,1034.92
79,12.047514,161792,1.277725,0.06889649,521.04,-0.005049442,0.9096476957201958,161792,0.0064544575,485.64298009872437,367,1034.92
80,21.231297,163840,1.3109919,0.048193358,521.3,-0.0008419676,0.9157043397426605,163840,0.0074437945,491.11374044418335,374,1034.92
81,27.05331,165888,1.1774622,0.07290039,528.07,-0.0024764203,0.9044718742370605,165888,0.0057801283,497.030766248703,346,1050.97
82,82.68582,167936,1.1891638,0.08178711,529.43,0.000311783,0.8064363747835159,167936,0.007662823,502.89919924736023,349,1061.81
83,34.59533,169984,1.2650546,0.1373047,527.97,-0.0026825967,0.8957108482718468,169984,0.012780649,508.5216853618622,364,1057.25
84,69.99948,172032,1.1727659,0.13632813,528.86,-0.0021796173,0.8786788061261177,172032,0.010442942,514.5022661685944,342,1070.19
85,21.631245,174080,1.2583004,0.03564453,534.98,-0.0020392886,0.9084760546684265,174080,0.0036374456,520.0633344650269,368,1080.68
86,52.846558,176128,1.07175,0.14785156,539.54,-0.013906752,0.7715092599391937,176128,0.013923002,526.3446474075317,326,1090.96
87,20.91234,178176,1.2827655,0.18564454,549.86,0.007198751,0.9409050643444061,178176,0.02993634,531.8798673152924,370,1102.19
88,26.136465,180224,1.1219828,0.08564453,557.47,-0.0038251784,0.9238512143492699,180224,0.006941691,537.8771641254425,341,1113.34
89,18.11352,182272,1.2313873,0.047265626,560.2,-0.0021557538,0.9395550861954689,182272,0.00577178,543.6255834102631,356,1113.34
90,13.75561,184320,1.2786672,0.22485352,560.84,-0.0005599261,0.9454922266304493,184320,0.018214317,549.215817451477,366,1113.34
91,39.298347,186368,1.2173718,0.13408203,580.67,0.00055401376,0.9026337340474129,186368,0.010572294,555.1159284114838,347,1131.51
92,27.253546,188416,1.3069508,0.18896484,582.34,0.0009649758,0.943030122667551,188416,0.015644792,560.6715385913849,368,1132.67
93,44.131523,190464,1.3168137,0.14194337,585.7,-0.0057264725,0.8226529806852341,190464,0.010382957,566.5575830936432,347,1135.7
94,17.643505,192512,0.94949913,0.05366211,589.22,-0.0040692086,0.940658550709486,192512,0.00414296,572.4470970630646,347,1144.38
95,21.909536,194560,1.191949,0.12163086,592.23,-0.0043656114,0.965808093547821,194560,0.009956785,578.4333279132843,342,1148.56
96,54.62575,196608,1.1708845,0.11875,589.13,-0.003526216,0.933064341545105,196608,0.009877572,584.3876461982727,343,1150.57
97,27.466766,198656,1.1618984,0.059423827,571.72,-0.0058234143,0.969667587429285,198656,0.00663409,590.302428483963,346,1135.73
98,47.546196,200704,1.2904316,0.047216795,578.54,-0.0019739757,0.8887306451797485,200704,0.0057470556,596.2302629947662,345,1146.96
99,50.42385,202752,1.0659363,0.20205078,589.24,-0.010802991,0.9461284801363945,202752,0.013836117,602.1900908946991,343,1163.42
100,38.390797,204800,1.3289595,0.06044922,590.66,0.00014292284,0.9059448912739754,204800,0.005313314,608.0519502162933,349,1167.95
101,30.102322,206848,1.2089804,0.13393554,588.39,-0.0029464737,0.9529084265232086,206848,0.008639706,613.6370666027069,366,1167.95
102,52.963135,208896,1.2716514,0.0362793,589.03,-0.0020147734,0.8850342184305191,208896,0.004864905,619.5198028087616,348,1169.47
103,70.7947,210944,1.3769939,0.0690918,592.23,-0.0055111954,0.8049955368041992,210944,0.0060467743,625.0560305118561,369,1176.9
104,60.429585,212992,1.2881848,0.011621093,588.08,-0.00069766026,0.8758512660861015,212992,0.0022482118,631.1795411109924,334,1162.24
105,18.871769,215040,1.094167,0.1046875,596.52,0.0007869089,0.9487117566168308,215040,0.010251304,636.643524646759,374,1162.24
106,40.09146,217088,1.1045648,0.11298828,577.99,-0.005831578,0.9470130875706673,217088,0.0077770934,642.7965078353882,332,1143.41
107,17.321947,219136,0.9783719,0.16425781,565.71,-0.0033982825,0.9557765610516071,219136,0.01468586,648.9901945590973,330,1124.53
108,37.25674,221184,1.1872756,0.0836914,541.4,-0.002358206,0.9536932557821274,221184,0.006748172,655.23535323143,327,1108.12
109,20.750738,223232,1.2434132,0.0703125,535.7,-0.0024903845,0.9513703659176826,223232,0.0058047213,661.6627972126007,318,1091.03
110,45.729362,225280,1.3098494,0.051464844,535.43,-0.00092922524,0.8827362582087517,225280,0.005034804,667.1132161617279,375,1091.03
111,25.486221,227328,1.1812117,0.062646486,521.12,-0.0066437363,0.9501690417528152,227328,0.006046599,673.2858934402466,331,1064.82
112,40.541542,229376,1.2900836,0.03857422,540.58,-0.0029801729,0.920240506529808,229376,0.0042040115,679.2201945781708,345,1064.82
113,12.350088,231424,1.2694709,0.1684082,544.29,-0.0045333127,0.9681988470256329,231424,0.011853231,684.7055053710938,373,1059.45
114,40.776,233472,1.2322181,0.20683594,555.95,-0.00064474565,0.9080953896045685,233472,0.01287431,690.5279483795166,351,1068.4
115,20.59014,235520,1.09227,0.17705078,552.36,-0.0043629906,0.9737779591232538,235520,0.010914955,696.4692623615265,344,1056.32
116,29.350964,237568,1.095431,0.24882813,545.84,-0.005775067,0.954348262399435,237568,0.01933223,702.609965801239,333,1054.96
117,53.181908,239616,1.1561692,0.043603517,540.67,-0.0009115029,0.9114362597465515,239616,0.0044801687,708.7377474308014,334,1031.38
118,15.483836,241664,1.0145797,0.1409668,539.91,-0.008803236,0.9668249227106571,241664,0.010435676,714.8394865989685,335,1034.34
119,38.381294,243712,1.2287167,0.14331055,535.32,-0.0051083816,0.8988312184810638,243712,0.01057045,721.4120228290558,311,1018.14
120,35.173286,245760,1.0753729,0.09873047,536.14,-0.0030024596,0.95685600861907,245760,0.007905332,728.176976442337,302,1008.08
121,60.187805,247808,0.85870373,0.09838867,530.39,-0.002827622,0.9124725982546806,247808,0.007240303,735.3440310955048,285,982.78
122,59.95751,249856,0.93578005,0.11694336,523.93,-0.004591304,0.9126252382993698,249856,0.008327514,741.8390591144562,315,969.65
123,15.9863205,251904,0.9227899,0.12041016,533.3,-0.0064350655,0.9652558900415897,251904,0.011342534,747.6978185176849,349,978.11
124,17.62228,253952,1.0735795,0.066503905,534.8,-0.0070480267,0.9444608129560947,253952,0.0060469,753.1742672920227,373,981.58
125,35.59973,256000,1.0557551,0.11206055,533.87,-0.0009044409,0.8993596360087395,256000,0.008894606,758.9880182743073,352,980.96
126,45.911674,258048,1.0351837,0.095654294,540.6,-0.004169315,0.9240085631608963,258048,0.0072265766,765.2142012119293,328,981.11
127,26.37147,260096,0.95860255,0.13828126,522.25,-0.0037265967,0.9519552998244762,260096,0.01329343,771.3579168319702,333,955.2
128,66.78785,262144,1.257186,0.15253906,519.01,3.4874847e-05,0.7836613804101944,262144,0.011352797,777.1790745258331,351,948.41
129,57.825085,264192,1.364249,0.14331055,517.65,-0.004646213,0.8232346028089523,264192,0.012725903,782.680013179779,372,955.27
130,35.629753,266240,0.9361351,0.12758788,508.31,-0.00871109,0.8512563407421112,266240,0.00877098,788.6210730075836,344,947.38
131,56.63626,268288,1.0067582,0.06020508,503.83,-0.0045986725,0.8728217929601669,268288,0.0054567247,795.1498653888702,313,932.77
132,46.847157,270336,0.9911903,0.11899414,493.93,-0.006066153,0.8540052324533463,270336,0.00802668,801.338116645813,330,918.02
133,31.45907,272384,1.2051352,0.0815918,486.64,-0.004900477,0.9034260287880898,272384,0.0073294295,807.1489999294281,352,906.43
134,26.587973,274432,1.2863079,0.13388672,483.29,-0.006139273,0.913140282034874,274432,0.010447474,813.1155338287354,343,899.33
135,38.348404,276480,1.0058825,0.14238282,458.86,-0.004363938,0.9267369210720062,276480,0.009908902,819.2725472450256,332,871.95
136,19.702038,278528,1.3853681,0.07729492,459.44,-0.0010651832,0.9130421280860901,278528,0.0075767078,824.885232925415,364,870.88
137,37.161884,280576,1.3493929,0.039892577,474.79,-0.0025788774,0.8337053060531616,280576,0.0053099412,830.6790704727173,353,883.77
138,15.029493,282624,1.0663873,0.16005859,472.42,-0.0026975034,0.9678050801157951,282624,0.02347154,836.2373585700989,368,883.77
139,19.67856,284672,1.1835386,0.051611327,477.76,-0.0013433197,0.9694035574793816,284672,0.0076120617,842.0552723407745,352,882.98
140,47.665314,286720,1.2052826,0.06918945,489.17,-0.006360677,0.8173797726631165,286720,0.0050339526,848.1902170181274,333,894.9
141,21.122292,288768,1.2477587,0.09008789,489.22,-0.0051918896,0.9399025067687035,288768,0.00736212,853.82044506073,363,892.02
142,29.232197,290816,1.2003002,0.12797852,485.64,-0.0022815717,0.953327339142561,290816,0.009246038,859.7395408153534,346,884.92
143,26.8901,292864,1.1624101,0.11899414,486.91,-0.004990329,0.8957959190011024,292864,0.008781698,865.753458738327,340,892.51
144,23.287943,294912,1.2403709,0.12939453,481.73,-0.0053552175,0.9227403104305267,294912,0.010128936,871.298702955246,369,890.51
145,19.099382,296960,1.1512984,0.095947266,474.12,-0.002437646,0.9553172141313553,296960,0.007225372,877.127763748169,351,889.32
146,23.616549,299008,1.1380639,0.16831055,468.71,-0.0010334032,0.9288037270307541,299008,0.013275914,883.041101694107,346,887.85
147,36.770798,301056,1.1935567,0.21396485,469.64,-0.0033763833,0.9064388796687126,301056,0.013386622,888.8987944126129,349,880.26
148,20.463314,303104,1.2532809,0.095019534,476.23,-0.005873164,0.9600770846009254,303104,0.007480406,894.3725638389587,374,889.1
149,23.53009,305152,1.0965294,0.08945312,478.29,-0.0027065855,0.9440858475863934,305152,0.0077114357,900.2065150737762,351,894.95
