eplenmean,nupdates,policy_entropy,value_loss,explained_variance,clipfrac,total_timesteps,fps,time_elapsed,serial_timesteps,policy_loss,eprewmean,approxkl
1495.575,40,1.0851096,2.7938602,0.8549374639987946,0.10339999,60000,391,156.98977994918823,60000,-0.0015805085,0.72662615,0.0068380274
1495.7073170731708,41,1.0141635,2.8092442,0.8992542922496796,0.14993335,61500,389,160.84223103523254,61500,-0.00438246,0.7089035609756097,0.009559793
1495.8333333333333,42,0.9523845,1.4620131,0.850211039185524,0.048399996,63000,376,164.82274103164673,63000,-0.003161835,0.6920249047619047,0.0035711406
1495.953488372093,43,0.96887505,1.4418668,0.8805790022015572,0.19826669,64500,366,168.91289401054382,64500,-0.0074859182,0.6759313023255814,0.010810535
1496.0681818181818,44,0.923786,0.7930835,0.9008743092417717,0.117400035,66000,374,172.91549968719482,66000,-0.0003241806,0.6605692272727273,0.007978691
1496.1777777777777,45,0.98874587,0.7587589,0.8235560953617096,0.15406667,67500,374,176.92601895332336,67500,-0.0067492016,0.645889911111111,0.009197441
1496.2826086956522,46,1.0254811,2.3708625,0.858668178319931,0.22020002,69000,382,180.84623169898987,69000,-0.0069954502,0.6318488260869565,0.012071217
1496.3829787234042,47,1.010241,0.911992,0.829203188419342,0.17646667,70500,368,184.91872549057007,70500,-0.0065544373,0.6184052340425532,0.010594233
1496.4791666666667,48,1.0463072,2.0694337,0.8037276417016983,0.056999978,72000,384,188.81750011444092,72000,-0.0028648246,0.6055217916666666,0.005042088
1496.5714285714287,49,1.0675486,2.6254501,0.8674395978450775,0.14873338,73500,369,192.8743233680725,73500,-0.0054733697,0.5931642040816326,0.0143155595
1496.66,50,1.033558,1.5852891,0.863910585641861,0.062799975,75000,375,196.8644995689392,75000,-0.00071621255,0.58130092,0.0055320696
1496.7450980392157,51,1.0871235,1.8152983,0.8348659723997116,0.06939998,76500,375,200.8559172153473,76500,-0.0013869958,0.569902862745098,0.0062643313
1496.826923076923,52,1.0504228,1.6293924,0.730520099401474,0.1003333,78000,375,204.85728287696838,78000,-0.0044166707,0.5589431923076923,0.007566959
1496.9056603773586,53,1.0638424,1.4074547,0.8140510767698288,0.24746668,79500,385,208.7450611591339,79500,-0.0092926165,0.5483970943396226,0.0136031415
1496.9814814814815,54,0.97963005,1.9389454,0.7859955877065659,0.16746666,81000,382,212.6717836856842,81000,-0.008340916,0.5382415925925925,0.0102217905
1497.0545454545454,55,0.99656105,1.4625578,0.8378724008798599,0.06526664,82500,382,216.59809589385986,82500,-0.0018226462,0.5284553818181817,0.00606786
1497.125,56,1.0555332,1.2325616,0.7820510715246201,0.15079997,84000,375,220.59588599205017,84000,-0.0071604764,0.5190186785714286,0.009419968
1497.1929824561403,57,1.0172004,1.036942,0.8317254930734634,0.05106665,85500,387,224.46656036376953,85500,-0.0013619888,0.5099130877192982,0.0050608516
1497.2586206896551,58,0.95267427,1.0204749,0.7551068812608719,0.057866644,87000,389,228.32222151756287,87000,-0.00061800913,0.5011214827586207,0.0059127472
1497.322033898305,59,0.96470714,1.3528259,0.8142866492271423,0.15033334,88500,378,232.28274273872375,88500,-0.0073394068,0.49262789830508474,0.008897939
1497.3833333333334,60,0.9559411,0.5050405,0.7154029905796051,0.09406664,90000,379,236.23116183280945,90000,-0.0022420879,0.4844174333333333,0.006669087
1497.4426229508197,61,0.9975494,0.3852675,0.7475659847259521,0.14753336,91500,377,240.2102656364441,91500,-0.002382472,0.4764761639344262,0.010405213
1497.5,62,1.1002436,0.99732405,0.8368026614189148,0.15973334,93000,381,244.14570093154907,93000,-0.0019452352,0.468791064516129,0.011637573
1497.5555555555557,63,1.0353402,0.7657105,0.8132148236036301,0.09093329,94500,385,248.03511714935303,94500,-0.0026653314,0.4613499365079365,0.006839026
1497.609375,64,1.0748992,0.74751264,0.7953465282917023,0.079866625,96000,390,251.88027691841125,96000,-0.0013290009,0.45414134375,0.006598279
1497.6615384615384,65,1.1112556,0.6300037,0.7961146682500839,0.12219998,97500,380,255.82236433029175,97500,0.001012599,0.4471545538461538,0.008582035
1497.7121212121212,66,1.0181098,0.10384205,0.7909696400165558,0.2474,99000,387,259.690425157547,99000,-0.008565564,0.4403794848484848,0.013343961
1497.7611940298507,67,1.0814105,0.6982899,0.7737326472997665,0.051666655,100500,376,263.6730122566223,100500,0.00049121515,0.4338066567164179,0.0050432174
1497.8088235294117,68,0.9731917,0.64485,0.6908586621284485,0.08166662,102000,386,267.55845284461975,102000,-0.0033124709,0.4274271470588235,0.0061384137
1497.855072463768,69,0.97563607,0.17272583,0.6704840064048767,0.23933329,103500,371,271.5979962348938,103500,-0.01102357,0.42123255072463767,0.013721535
1497.9,70,1.1398937,0.48596856,0.8171864300966263,0.11340001,105000,382,275.5175426006317,105000,-0.0038951316,0.41521494285714283,0.00791321
1497.943661971831,71,1.222287,0.3896452,0.7374743223190308,0.23993331,106500,386,279.3953080177307,106500,-0.005238282,0.40936684507042254,0.012722539
