#{"t_start": 1534089714.9137006, "env_id": "SetDown-v3"}
r,l,t
10,532,310.93902
1,1500,327.993338
31,1500,349.496959
6,1500,372.995375
3,1500,397.417759
4,1500,437.68569
1,1500,462.431756
0,1500,487.022111
4,758,513.66919
9,1500,534.736337
13,1500,559.250068
0,575,584.62215
0,1500,609.688562
0,1500,634.182995
8,1500,664.868982
0,109,679.349196
0,1500,699.731712
0,1500,724.984453
46,1500,750.253535
0,1500,774.824236
0,1500,799.095341
0,1500,824.754245
0,1500,850.660885
21,1500,875.650113
9,1500,900.94892
0,1500,926.897186
25,1500,952.186292
0,1500,977.471475
0,1500,1003.334195
9,1500,1026.23035
5,1500,1042.988911
4,1500,1064.014722
12,1500,1085.860662
18,1500,1108.076772
0,1500,1129.188516
3,1500,1150.122485
0,1500,1170.939315
1,1500,1191.580145
4,1500,1212.718042
42,1500,1233.688892
0,1500,1255.729266
0,1500,1277.051918
27,1500,1298.191025
55,1500,1319.383524
15,1500,1336.130518
0,1500,1357.48866
8,1500,1378.731656
6,1500,1400.109728
0,1500,1421.207161
0,1500,1442.5412
355,1500,1464.050873
0,1500,1485.000844
155,1500,1506.072278
3,1500,1527.325261
3,1500,1547.880026
26,1500,1569.411004
1,1500,1590.764569
0,1500,1611.941416
0,995,1626.266391
0,1500,1643.324858
317,1500,1664.31028
1,1500,1685.062551
0,1500,1706.107708
198,1500,1727.523534
0,1500,1748.860547
0,1500,1769.974875
291,1500,1791.849734
47,1500,1812.763888
37,1500,1834.100511
39,1500,1855.320087
98,1500,1876.502623
0,1500,1897.766169
93,1500,1918.899487
0,1500,1936.030103
78,1500,1957.749331
282,1500,1978.531935
92,1500,1999.64206
47,1500,2020.702129
13,1500,2042.463076
65,1500,2064.037692
1,1500,2085.744062
0,1500,2108.042726
0,1500,2131.174078
0,1500,2152.992562
88,1500,2174.051534
12,1500,2195.392593
78,1500,2216.212825
0,1500,2232.808773
196,1500,2254.010719
1,1500,2275.159478
0,1500,2296.010818
181,1500,2316.46899
0,1500,2337.248789
37,1500,2358.220908
26,1500,2379.423328
268,1500,2400.948234
0,820,2414.414355
0,1500,2431.324642
56,1500,2452.924632
8,1500,2473.907543
0,1500,2496.034116
0,1500,2517.824484
0,1500,2539.073765
0,1500,2560.419348
208,1500,2582.060424
0,1500,2602.848273
32,1349,2629.332267
0,1500,2647.399906
52,1500,2668.340994
146,1500,2689.447625
0,1500,2710.820031
0,1500,2731.66444
0,1500,2752.635987
46,1500,2773.488656
138,1500,2794.391365
0,1500,2814.682148
2,1500,2836.537214
328,1500,2857.180297
0,1500,2877.897812
36,1500,2898.62621
0,1500,2919.559933
237,1500,2935.680906
0,1500,2955.955736
179,1500,2977.406607
0,1123,3002.418789
0,1500,3020.628312
0,1500,3041.793266
0,1500,3062.610412
84,1500,3083.996651
224,1500,3105.304525
102,1500,3126.392977
0,1500,3146.735187
1,1500,3168.01355
0,1500,3189.296195
6,1500,3210.242276
0,1500,3231.041456
57,1500,3251.91069
0,1500,3273.915734
22,1500,3294.824147
0,1500,3311.927657
0,1500,3332.904964
75,1500,3353.927756
0,1500,3375.187997
37,1500,3396.258868
0,1500,3417.433194
82,1500,3438.800489
8,1500,3460.250738
15,1500,3481.695485
138,1500,3502.896101
20,1500,3523.492957
23,1500,3544.698474
35,1500,3565.922018
15,1500,3586.967074
1,1500,3603.766192
0,1500,3624.751203
124,1500,3646.380784
49,1500,3667.340614
1,1500,3689.27998
0,1500,3711.128054
3,1500,3732.345502
1,1500,3753.254696
10,1500,3774.388882
23,1500,3795.398047
0,1500,3816.515392
442,1500,3838.006181
26,1500,3859.435802
0,1500,3880.833642
0,1500,3897.522542
90,1500,3919.589721
2,1500,3940.897823
22,1500,3961.591241
88,1500,3982.744239
7,1500,4003.386447
0,1500,4024.547296
22,1500,4045.976505
144,1500,4066.716308
0,1500,4088.0036
34,1500,4109.428586
262,1500,4130.979456
0,1500,4151.839779
0,1500,4172.996809
0,1500,4189.826728
110,1500,4210.825237
68,1500,4233.152983
183,1500,4254.547026
193,1500,4275.519302
149,1500,4296.072053
0,1500,4316.78885
0,1500,4338.379415
149,1500,4359.254216
0,1500,4380.453206
119,1500,4401.926051
88,1500,4422.964306
0,1500,4444.23121
214,1500,4465.329472
0,1500,4485.956761
0,1500,4502.280893
0,1500,4523.740609
1,1500,4544.707182
0,1500,4565.812786
0,1500,4587.031563
203,1200,4607.054882
0,1500,4624.296963
133,1500,4645.396813
0,1500,4666.223619
0,1500,4687.26824
0,1500,4708.055156
57,1204,4727.835212
0,1500,4745.071762
194,1500,4766.252836
47,1500,4787.427209
21,1500,4808.443491
0,1500,4829.716044
0,1500,4851.179269
86,1500,4872.285853
0,1500,4894.272007
3,1500,4915.3698
1,1500,4936.662701
0,1500,4957.957425
244,1500,4979.098665
175,1500,5000.904581
288,1500,5022.34428
0,1500,5038.682173
0,1500,5059.367631
0,1500,5080.301841
227,1500,5101.741737
105,1500,5123.83268
88,1500,5144.835609
0,1500,5166.08057
105,1500,5187.924737
128,1500,5209.119512
72,1500,5229.6111
247,1500,5250.484446
0,1500,5271.849448
11,936,5288.366835
114,1500,5309.709332
149,1500,5333.00441
0,1500,5354.51073
96,1500,5375.822954
175,1500,5396.678971
0,1500,5418.035598
0,1500,5439.276944
55,1500,5460.100783
115,1500,5480.916116
37,1500,5501.716281
0,1500,5522.73232
0,1500,5543.918629
0,1500,5565.310159
0,1500,5586.261075
83,1500,5602.839311
149,1500,5623.736632
0,1500,5644.533036
0,1500,5665.707608
66,1500,5686.828095
0,1500,5707.603576
131,1500,5729.004341
